Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Corbin Carroll*,24.0,ARI,NL,2.2,50.0,233.0,209.0,40.0,58.0,9.0,6.0,15.0,34.0,9.0,3.0,20.0,58.0,0.278,0.352,0.593,0.945,158.0,0.401,155.0,124.0,1.0,4.0,0.0,0.0,1.0,*9/H,
2.0,Jarren Duran*,28.0,BOS,AL,0.9,50.0,233.0,215.0,26.0,57.0,11.0,6.0,3.0,29.0,12.0,5.0,13.0,51.0,0.265,0.313,0.414,0.727,103.0,0.328,106.0,89.0,1.0,3.0,0.0,2.0,0.0,*7/89,
3.0,Rafael Devers*,28.0,BOS,AL,2.0,51.0,230.0,188.0,31.0,54.0,14.0,0.0,10.0,39.0,1.0,1.0,39.0,55.0,0.287,0.409,0.521,0.93,160.0,0.404,165.0,98.0,2.0,1.0,0.0,2.0,3.0,*D,
4.0,Kyle Tucker*,28.0,CHC,NL,2.1,50.0,230.0,194.0,38.0,54.0,9.0,4.0,12.0,35.0,14.0,0.0,35.0,27.0,0.278,0.387,0.552,0.939,164.0,0.416,163.0,107.0,4.0,0.0,0.0,1.0,5.0,*9/D,
5.0,Shohei Ohtani*,30.0,LAD,NL,2.6,48.0,226.0,194.0,52.0,59.0,9.0,4.0,17.0,31.0,11.0,3.0,31.0,53.0,0.304,0.398,0.655,1.053,194.0,0.44,187.0,127.0,2.0,0.0,0.0,1.0,6.0,*D,
6.0,Francisco Lindor#,31.0,NYM,NL,1.3,49.0,225.0,198.0,30.0,56.0,9.0,0.0,10.0,29.0,9.0,2.0,16.0,35.0,0.283,0.351,0.48,0.831,136.0,0.369,137.0,95.0,4.0,7.0,0.0,4.0,0.0,*6,
7.0,Lars Nootbaar*,27.0,STL,NL,1.5,48.0,225.0,191.0,31.0,48.0,10.0,0.0,7.0,25.0,4.0,2.0,31.0,37.0,0.251,0.356,0.414,0.769,115.0,0.344,116.0,79.0,3.0,1.0,0.0,2.0,2.0,*79/D8H,
8.0,Alex Bregman,31.0,BOS,AL,2.8,50.0,223.0,195.0,32.0,58.0,17.0,0.0,11.0,35.0,1.0,1.0,21.0,42.0,0.297,0.381,0.554,0.935,159.0,0.401,162.0,108.0,3.0,6.0,0.0,1.0,1.0,*5,
9.0,Bobby Witt Jr.,25.0,KCR,AL,2.8,51.0,223.0,197.0,29.0,60.0,19.0,3.0,5.0,28.0,16.0,5.0,19.0,38.0,0.305,0.368,0.508,0.875,144.0,0.388,148.0,100.0,1.0,3.0,0.0,4.0,5.0,*6/D,
10.0,Willy Adames,29.0,SFG,NL,0.0,50.0,221.0,196.0,29.0,42.0,10.0,1.0,5.0,23.0,2.0,2.0,22.0,57.0,0.214,0.294,0.352,0.646,86.0,0.293,89.0,69.0,1.0,1.0,0.0,2.0,0.0,*6/D,
11.0,Bo Bichette,27.0,TOR,AL,1.0,48.0,221.0,205.0,21.0,59.0,15.0,0.0,4.0,24.0,4.0,2.0,13.0,38.0,0.288,0.335,0.42,0.754,113.0,0.338,117.0,86.0,3.0,2.0,0.0,1.0,1.0,*6,
12.0,Elly De La Cruz#,23.0,CIN,NL,0.9,51.0,221.0,198.0,32.0,48.0,8.0,0.0,8.0,33.0,16.0,4.0,20.0,63.0,0.242,0.317,0.404,0.721,95.0,0.322,88.0,80.0,2.0,2.0,0.0,1.0,2.0,*6,
13.0,Pete Alonso,30.0,NYM,NL,1.7,50.0,220.0,185.0,28.0,54.0,16.0,1.0,9.0,37.0,0.0,1.0,28.0,48.0,0.292,0.395,0.535,0.931,165.0,0.398,163.0,99.0,8.0,5.0,0.0,2.0,1.0,*3,
14.0,Bryce Harper*,32.0,PHI,NL,1.4,49.0,220.0,185.0,29.0,51.0,12.0,0.0,8.0,31.0,8.0,0.0,33.0,40.0,0.276,0.382,0.47,0.852,136.0,0.38,135.0,87.0,2.0,0.0,0.0,2.0,2.0,*3/D,
15.0,Jackson Chourio,21.0,MIL,NL,0.4,49.0,219.0,212.0,25.0,51.0,14.0,1.0,7.0,26.0,9.0,2.0,5.0,48.0,0.241,0.26,0.415,0.675,86.0,0.31,88.0,88.0,5.0,1.0,0.0,1.0,0.0,*789/D,
