Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1.0,Zack Wheeler,35.0,PHI,NL,2.7,6.0,1.0,0.857,2.42,11.0,11.0,0.0,0.0,0.0,0.0,70.2,48.0,19.0,19.0,8.0,14.0,0.0,88.0,2.0,0.0,0.0,269.0,171.0,2.74,0.877,6.1,1.0,1.8,11.2,6.29,
2.0,Max Fried*,31.0,NYY,AL,2.8,7.0,0.0,1.0,1.29,11.0,11.0,0.0,0.0,0.0,0.0,70.0,49.0,15.0,10.0,3.0,16.0,0.0,67.0,4.0,0.0,4.0,277.0,306.0,2.58,0.929,6.3,0.4,2.1,8.6,4.19,
3.0,Framber Valdez*,31.0,HOU,AL,1.5,4.0,4.0,0.5,3.39,11.0,11.0,0.0,1.0,0.0,0.0,69.0,56.0,26.0,26.0,5.0,23.0,0.0,64.0,3.0,0.0,2.0,278.0,117.0,3.3,1.145,7.3,0.7,3.0,8.3,2.78,
4.0,Paul Skenes,23.0,PIT,NL,2.2,3.0,5.0,0.375,2.36,11.0,11.0,0.0,1.0,0.0,0.0,68.2,47.0,20.0,18.0,4.0,18.0,0.0,70.0,1.0,0.0,1.0,267.0,179.0,2.63,0.947,6.2,0.5,2.4,9.2,3.89,
5.0,Tarik Skubal*,28.0,DET,AL,2.2,5.0,2.0,0.714,2.49,11.0,11.0,0.0,1.0,1.0,0.0,68.2,51.0,19.0,19.0,6.0,7.0,0.0,92.0,3.0,1.0,1.0,263.0,158.0,1.98,0.845,6.7,0.8,0.9,12.1,13.14,
6.0,Kris Bubic*,27.0,KCR,AL,3.1,5.0,2.0,0.714,1.45,11.0,11.0,0.0,0.0,0.0,0.0,68.1,49.0,13.0,11.0,3.0,20.0,1.0,70.0,2.0,0.0,0.0,268.0,282.0,2.57,1.01,6.5,0.4,2.6,9.2,3.5,
7.0,Garrett Crochet*,26.0,BOS,AL,2.2,4.0,3.0,0.571,1.98,11.0,11.0,0.0,0.0,0.0,0.0,68.1,51.0,18.0,15.0,5.0,22.0,0.0,78.0,0.0,2.0,0.0,272.0,209.0,2.72,1.068,6.7,0.7,2.9,10.3,3.55,
8.0,Jake Irvin,28.0,WSN,NL,2.0,4.0,1.0,0.8,3.42,11.0,11.0,0.0,0.0,0.0,0.0,68.1,56.0,26.0,26.0,10.0,19.0,0.0,47.0,1.0,0.0,1.0,278.0,117.0,4.49,1.098,7.4,1.3,2.5,6.2,2.47,
9.0,Spencer Schwellenbach,25.0,ATL,NL,0.5,3.0,4.0,0.429,3.42,11.0,11.0,0.0,0.0,0.0,0.0,68.1,60.0,31.0,26.0,9.0,12.0,1.0,60.0,2.0,0.0,1.0,276.0,120.0,3.65,1.054,7.9,1.2,1.6,7.9,5.0,
10.0,Nathan Eovaldi,35.0,TEX,AL,2.5,4.0,3.0,0.571,1.6,11.0,11.0,0.0,1.0,1.0,0.0,67.1,44.0,14.0,12.0,4.0,9.0,0.0,71.0,4.0,0.0,4.0,257.0,238.0,2.33,0.787,5.9,0.5,1.2,9.5,7.89,
