Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Philadelphia Phillies,34,19,0.642,L 1,4.9,4.1,0.8,-0.3,0.5,31-22,3.0,7-8,7-5,13-4,7-2,17-8,17-11,4-4,10-4,26-12,8-7,13-12,21-7,9-1,15-5,21-9
2.0,Detroit Tigers,34,20,0.63,W 1,5.1,3.7,1.5,-0.1,1.3,35-19,-1.0,10-2,9-5,7-6,8-7,18-8,16-12,2-3,9-5,24-16,10-4,15-14,19-6,5-5,13-7,20-10
3.0,New York Yankees,32,20,0.615,W 2,5.7,3.6,2.1,-0.2,1.9,36-16,-4.0,7-6,5-4,7-2,13-8,18-9,14-11,1-3,8-11,26-15,6-5,16-12,16-8,8-2,13-7,18-12
4.0,Chicago Cubs,32,21,0.604,W 1,6.1,4.3,1.7,0.0,1.7,34-19,-2.0,6-6,6-3,12-11,8-1,15-10,17-11,2-3,7-4,25-15,7-6,10-12,22-9,7-3,12-8,18-12
5.0,Los Angeles Dodgers,32,21,0.604,L 2,5.5,4.4,1.1,-0.1,1.0,32-21,0.0,13-8,5-5,7-3,7-5,19-8,13-13,4-2,8-7,25-12,7-9,8-8,24-13,4-6,9-11,16-14
6.0,New York Mets,32,21,0.604,W 2,4.4,3.2,1.1,0.2,1.3,33-20,-1.0,9-4,9-4,5-4,9-9,19-6,13-15,2-2,11-8,26-15,6-6,15-10,17-11,4-6,10-10,16-14
7.0,San Francisco Giants,31,22,0.585,W 1,4.5,3.6,0.8,-0.1,0.8,31-22,0.0,4-3,8-5,4-5,15-9,17-9,14-13,4-1,11-8,26-10,5-12,13-11,18-11,6-4,11-9,16-14
8.0,San Diego Padres,29,22,0.569,W 1,4.2,3.8,0.3,-0.1,0.3,27-24,2.0,6-1,6-3,7-1,10-17,16-8,13-14,0-3,9-5,20-16,9-6,11-15,18-7,3-7,9-11,14-16
9.0,St. Louis Cardinals,30,23,0.566,W 3,4.8,4.0,0.8,0.2,1.0,31-22,-1.0,10-9,8-5,3-0,9-9,19-8,11-15,0-4,10-8,22-14,8-9,14-11,16-12,7-3,16-4,21-9
10.0,Seattle Mariners,29,23,0.558,L 2,4.6,4.2,0.4,-0.1,0.3,28-24,1.0,5-7,3-3,14-8,7-5,13-11,16-12,3-3,10-7,20-17,9-6,8-11,21-12,6-4,9-11,17-13
11.0,Cleveland Guardians,29,23,0.558,L 1,4.0,4.2,-0.2,0.0,-0.2,25-27,4.0,6-6,14-5,1-2,8-10,14-8,15-15,4-0,8-4,27-15,2-8,14-11,15-12,4-6,11-9,16-14
12.0,Minnesota Twins,29,23,0.558,L 1,4.0,3.4,0.7,-0.1,0.6,30-22,-1.0,8-1,10-12,4-2,7-8,18-8,11-15,2-3,7-7,24-19,5-4,12-16,17-7,7-3,16-4,22-8
13.0,Kansas City Royals,29,25,0.537,W 1,3.3,3.3,0.0,0.0,0.0,27-27,2.0,8-7,11-10,3-3,7-5,17-9,12-16,4-2,10-7,24-21,5-4,16-19,13-6,4-6,11-9,19-11
14.0,Houston Astros,28,25,0.528,W 2,4.0,3.6,0.5,0.2,0.7,29-24,-1.0,4-2,8-7,8-6,8-10,18-10,10-15,2-0,8-7,25-23,3-2,17-17,11-8,6-4,11-9,16-14
15.0,Tampa Bay Rays,26,26,0.5,W 5,4.1,3.8,0.2,-0.1,0.2,27-25,-1.0,9-7,0-3,3-6,14-10,16-18,10-8,3-1,8-8,18-18,8-8,8-11,18-15,7-3,12-8,17-13
16.0,Boston Red Sox,27,28,0.491,L 2,4.9,4.5,0.3,-0.2,0.2,29-26,-2.0,8-9,9-10,4-6,6-3,16-14,11-14,4-4,6-13,22-21,5-7,13-11,14-17,5-5,9-11,13-17
17.0,Arizona Diamondbacks,26,27,0.491,L 5,5.0,5.0,0.0,0.4,0.4,27-26,-1.0,9-9,5-8,7-6,5-4,13-13,13-14,2-4,8-11,20-18,6-9,15-20,11-7,4-6,9-11,12-18
