Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,39,27.9,5.04,53,2053,1802,267,460,107,10,73,260,46,11,195,399,.255,.333,.447,.780,116,806,36,25,8,22,7,376
Athletics,42,26.6,4.28,54,2061,1861,231,477,87,7,67,222,27,7,173,412,.256,.321,.419,.740,104,779,52,10,3,11,5,379
Atlanta Braves,41,28.5,4.15,52,1971,1765,216,437,74,6,56,207,33,9,174,439,.248,.319,.392,.710,98,691,34,16,5,11,4,378
Baltimore Orioles,42,27.5,3.85,52,1927,1736,200,407,75,7,58,188,33,12,151,465,.234,.302,.386,.688,99,670,41,24,1,15,3,339
Boston Red Sox,39,27.6,4.85,55,2131,1910,267,486,103,8,69,256,52,13,183,492,.254,.325,.425,.750,109,812,25,23,4,11,10,398
Chicago Cubs,41,28.6,6.06,53,2100,1862,321,492,102,13,78,313,64,11,201,421,.264,.337,.459,.796,126,854,22,14,5,18,6,378
Chicago White Sox,44,27.1,3.43,53,1917,1723,182,381,74,2,44,177,43,8,163,448,.221,.291,.343,.634,81,591,30,11,5,12,1,345
Cincinnati Reds,40,27.5,4.59,54,2036,1815,248,445,96,6,54,237,54,18,188,484,.245,.321,.394,.715,93,715,30,20,3,10,4,360
Cleveland Guardians,36,27.7,4.02,52,1908,1694,209,392,72,5,55,197,38,13,164,413,.231,.304,.377,.681,92,639,28,21,7,22,6,328
Colorado Rockies,40,27.8,3.25,53,1935,1753,172,386,84,15,44,170,26,11,150,521,.220,.286,.361,.647,74,632,34,16,6,10,5,340
Detroit Tigers,37,26.9,5.15,54,2061,1833,278,464,85,7,64,265,20,5,183,473,.253,.326,.412,.738,109,755,32,24,4,16,4,364
Houston Astros,35,28.7,4.04,53,1970,1761,214,447,73,6,49,203,24,13,161,405,.254,.323,.386,.709,101,679,44,26,8,14,6,377
Kansas City Royals,35,28.5,3.31,54,1991,1812,179,446,94,11,32,177,44,19,130,384,.246,.301,.363,.664,86,658,23,19,11,18,8,383
Los Angeles Angels,42,28.2,4.25,52,1898,1723,221,390,75,6,77,214,23,8,132,512,.226,.288,.411,.699,95,708,30,23,4,14,6,295
Los Angeles Dodgers,43,31.2,5.55,53,2049,1806,294,475,90,9,82,283,37,10,201,437,.263,.340,.459,.799,126,829,42,20,3,18,10,358
Miami Marlins,38,26.1,4.12,51,1935,1741,210,436,83,8,47,201,46,17,159,426,.250,.316,.388,.704,92,676,29,13,10,12,5,366
Milwaukee Brewers,40,27.0,4.30,54,2023,1789,232,416,70,5,45,211,70,17,186,439,.233,.311,.353,.663,86,631,26,22,13,12,7,367
Minnesota Twins,39,28.6,4.04,52,1920,1728,210,413,84,7,49,201,28,11,148,426,.239,.309,.381,.689,93,658,32,31,1,11,4,349
New York Mets,41,28.8,4.36,53,2007,1757,231,431,90,12,55,222,42,8,194,404,.245,.328,.404,.732,110,710,47,32,3,19,10,380
New York Yankees,34,28.1,5.69,52,2033,1770,296,465,98,10,86,284,37,11,212,459,.263,.346,.475,.821,132,841,33,25,1,22,13,384
Philadelphia Phillies,32,30.4,4.91,53,2055,1822,260,475,84,8,58,246,51,10,197,416,.261,.336,.411,.747,107,749,34,17,4,15,6,393
Pittsburgh Pirates,41,29.5,3.04,54,2008,1782,164,399,62,9,37,159,53,13,190,468,.224,.304,.331,.635,78,590,50,20,5,9,10,394
San Diego Padres,36,30.4,4.18,51,1892,1698,213,430,75,7,48,195,38,11,155,364,.253,.318,.390,.709,99,663,33,13,11,14,5,342
Seattle Mariners,42,28.9,4.58,52,2015,1762,238,418,66,3,70,230,49,15,206,469,.237,.325,.397,.722,113,700,30,28,8,11,3,384
San Francisco Giants,30,28.8,4.47,53,1971,1749,237,406,80,8,54,226,26,12,187,451,.232,.310,.380,.689,97,664,31,15,8,12,4,342
St. Louis Cardinals,34,27.1,4.79,53,2020,1798,254,470,100,2,48,240,34,11,174,401,.261,.332,.399,.732,104,718,41,25,6,17,9,375
Tampa Bay Rays,35,27.5,4.08,52,1923,1735,212,421,75,3,49,204,71,14,158,430,.243,.308,.374,.682,95,649,36,12,0,16,0,341
Texas Rangers,39,29.6,3.37,54,1922,1746,182,390,67,5,56,178,47,13,140,432,.223,.286,.364,.650,87,635,27,19,2,14,2,331
Toronto Blue Jays,40,28.2,3.94,52,1962,1741,205,428,85,2,45,196,32,9,173,380,.246,.318,.374,.693,96,652,40,19,11,16,9,377
Washington Nationals,34,26.2,4.25,53,1954,1754,225,422,84,8,52,212,52,17,153,418,.241,.309,.387,.695,97,678,29,25,10,12,1,329
League Average,38,28.2,4.33,53,1988,1774,229,434,83,7,57,219,41,12,173,436,.244,.316,.395,.711,100,701,34,20,6,14,6,362
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1131,28.2,4.33,1586,59648,53228,6868,13005,2494,215,1701,6574,1240,357,5181,13088,.244,.316,.395,.711,100,21032,1021,608,170,434,173,10852
