Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,23,30.3,5.02,26,27,.491,4.67,53,53,53,0,4,0,17,471.2,446,266,245,69,176,9,454,22,6,11,2024,91,4.32,1.319,8.5,1.3,3.4,8.7,2.58,351
Athletics,25,28.9,5.70,23,31,.426,5.29,54,54,54,0,3,0,14,483.1,504,308,284,75,211,8,444,29,3,9,2165,81,4.75,1.479,9.4,1.4,3.9,8.3,2.10,415
Atlanta Braves,22,29.6,3.94,25,27,.481,3.74,52,52,52,0,2,0,10,460.0,400,205,191,60,168,10,437,20,3,17,1917,111,4.11,1.235,7.8,1.2,3.3,8.6,2.60,341
Baltimore Orioles,27,31.1,5.67,18,34,.346,5.52,52,52,52,0,1,0,8,453.1,490,295,278,83,182,3,392,17,2,21,2004,69,5.05,1.482,9.7,1.6,3.6,7.8,2.15,353
Boston Red Sox,23,29.8,4.53,27,28,.491,4.02,55,55,55,0,4,0,12,494.2,486,249,221,51,178,7,456,24,2,13,2118,104,3.81,1.342,8.8,0.9,3.2,8.3,2.56,397
Chicago Cubs,24,30.8,4.34,32,21,.604,4.07,53,53,53,0,5,0,12,473.2,454,230,214,61,164,5,421,18,0,13,2011,97,4.13,1.305,8.6,1.2,3.1,8.0,2.57,367
Chicago White Sox,21,27.6,4.38,17,36,.321,4.10,53,53,53,0,4,0,5,456.1,426,232,208,56,200,7,377,34,2,14,1991,100,4.57,1.372,8.4,1.1,3.9,7.4,1.89,393
Cincinnati Reds,20,29.3,4.13,26,28,.481,3.81,54,54,54,0,3,0,15,479.0,411,223,203,64,165,4,441,20,1,20,2004,118,4.14,1.203,7.7,1.2,3.1,8.3,2.67,350
Cleveland Guardians,22,27.6,4.23,29,23,.558,3.97,52,52,52,0,7,0,15,457.2,442,220,202,55,190,3,445,15,0,18,1969,101,4.05,1.381,8.7,1.1,3.7,8.8,2.34,380
Colorado Rockies,23,28.2,6.47,9,44,.170,5.73,53,53,53,0,0,0,7,460.0,558,343,293,65,187,7,346,16,2,27,2091,80,4.74,1.620,10.9,1.3,3.7,6.8,1.85,373
Detroit Tigers,19,27.9,3.69,34,20,.630,3.31,54,54,53,1,5,1,14,481.0,403,199,177,55,155,4,473,26,1,13,1991,119,3.73,1.160,7.5,1.0,2.9,8.9,3.05,355
Houston Astros,22,29.2,3.58,28,25,.528,3.42,53,53,51,2,4,0,14,465.1,373,190,177,50,166,1,491,16,1,10,1923,117,3.54,1.158,7.2,1.0,3.2,9.5,2.96,341
Kansas City Royals,18,30.1,3.28,29,25,.537,3.03,54,54,54,0,6,0,17,481.1,414,177,162,49,147,7,434,16,2,20,1971,136,3.62,1.166,7.7,0.9,2.7,8.1,2.95,360
Los Angeles Angels,25,29.7,5.21,25,27,.481,4.99,52,52,52,0,2,0,13,456.0,484,271,253,71,213,11,380,16,5,25,2018,84,4.95,1.529,9.6,1.4,4.2,7.5,1.78,382
Los Angeles Dodgers,27,29.3,4.43,32,21,.604,4.09,53,53,53,0,3,0,17,473.0,424,235,215,67,184,10,486,19,0,24,1996,98,4.16,1.285,8.1,1.3,3.5,9.2,2.64,351
Miami Marlins,21,27.6,5.59,21,30,.412,5.31,51,51,51,0,3,0,9,452.2,463,285,267,63,195,7,411,19,4,16,1995,85,4.50,1.454,9.2,1.3,3.9,8.2,2.11,360
Milwaukee Brewers,25,28.4,4.39,26,28,.481,4.11,54,54,54,0,5,0,12,475.1,441,237,217,59,199,9,437,20,5,12,2044,101,4.24,1.346,8.3,1.1,3.8,8.3,2.20,386
Minnesota Twins,20,28.8,3.38,29,23,.558,3.20,52,52,52,0,5,0,12,456.1,398,176,162,45,127,3,465,26,4,10,1892,131,3.33,1.150,7.8,0.9,2.5,9.2,3.66,352
New York Mets,24,30.5,3.25,32,21,.604,2.81,53,53,53,0,5,0,15,471.0,396,172,147,34,190,2,476,20,2,23,1977,137,3.34,1.244,7.6,0.6,3.6,9.1,2.51,400
New York Yankees,19,31.5,3.63,32,20,.615,3.38,52,52,52,0,4,0,15,460.0,353,189,173,44,184,1,498,12,1,19,1906,117,3.44,1.167,6.9,0.9,3.6,9.7,2.71,343
Philadelphia Phillies,17,30.4,4.11,34,19,.642,3.72,53,53,53,0,4,0,18,476.2,444,218,197,52,155,6,520,17,0,16,2006,112,3.40,1.257,8.4,1.0,2.9,9.8,3.35,368
Pittsburgh Pirates,20,28.4,4.28,19,35,.352,4.00,54,54,53,1,5,0,11,481.0,436,231,214,43,174,9,399,23,1,17,2023,106,3.82,1.268,8.2,0.8,3.3,7.5,2.29,362
San Diego Padres,18,29.6,3.84,29,22,.569,3.52,51,51,49,2,9,2,18,450.0,374,196,176,53,167,5,449,19,3,12,1877,115,3.86,1.202,7.5,1.1,3.3,9.0,2.69,335
Seattle Mariners,24,27.6,4.21,29,23,.558,3.69,52,52,52,0,1,0,18,470.2,462,219,193,51,160,11,420,18,1,10,2014,100,3.84,1.322,8.8,1.0,3.1,8.0,2.63,396
San Francisco Giants,16,29.9,3.64,31,22,.585,3.25,53,53,53,0,3,0,15,468.0,408,193,169,40,156,5,446,16,0,16,1937,119,3.39,1.205,7.8,0.8,3.0,8.6,2.86,347
St. Louis Cardinals,18,30.2,3.98,30,23,.566,3.73,53,53,52,1,6,1,14,470.2,424,211,195,40,149,6,373,17,1,14,1961,112,3.66,1.217,8.1,0.8,2.8,7.1,2.50,346
Tampa Bay Rays,17,27.6,3.85,26,26,.500,3.69,52,52,52,0,4,0,14,465.2,410,200,191,71,151,3,397,19,0,7,1913,106,4.46,1.205,7.9,1.4,2.9,7.7,2.63,321
Texas Rangers,20,32.1,3.57,26,28,.481,3.34,54,54,53,1,5,1,15,469.1,394,193,174,48,150,3,423,15,3,18,1924,114,3.67,1.159,7.6,0.9,2.9,8.1,2.82,323
Toronto Blue Jays,23,31.1,4.46,25,27,.481,4.18,52,52,52,0,2,0,15,464.2,418,232,216,75,152,6,468,24,4,15,1942,97,4.30,1.227,8.1,1.5,2.9,9.1,3.08,326
Washington Nationals,18,28.3,5.15,24,29,.453,5.07,53,53,53,0,3,0,16,465.0,469,273,262,52,186,1,429,35,1,28,2044,80,4.12,1.409,9.1,1.0,3.6,8.3,2.31,378
League Average,21,29.4,4.33,26,26,.500,4.02,53,53,53,0,4,0,14,468,434,229,209,57,173,6,436,20,2,16,1988,102,4.03,1.295,8.3,1.1,3.3,8.4,2.53,362
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,630,29.4,4.33,793,793,.500,4.02,1586,1586,1578,8,117,5,407,14043.1,13005,6868,6276,1701,5181,173,13088,608,60,488,59648,102,4.03,1.295,8.3,1.1,3.3,8.4,2.53,10852
