Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Yankees8.5,KCR6.4,PHI5.6,MIN1.7,LAD8.3,CHC1.8,LAD1.7,MIL1.1,BOS2.1,KCR2.1,CLE1.5,CHC2.2,NYY2.4,CHC3.8,LAD1.9,TOR0.3
2,New York Mets7.5,PHI5.6,KCR5.0,NYM1.4,CHC7.3,SEA1.4,ATL1.3,CHC1.0,HOU1.5,ARI1.8,TEX1.4,MIN1.3,SDP2.1,NYY3.7,BOS1.3,LAD0.3
3,Chicago Cubs6.5,NYM4.6,NYM3.2,KCR1.4,NYY6.2,LAD1.2,NYM1.0,SFG0.8,SFG1.5,TEX1.5,STL1.0,TOR1.2,LAD1.8,BOS2.1,PHI1.1,BOS0.1
4,Philadelphia Phillies5.6,MIN4.1,CIN2.9,HOU1.3,BOS4.0,ATL1.1,PHI0.7,ARI0.6,SDP1.1,HOU1.4,WSN1.0,BOS0.9,ARI1.5,MIN1.9,NYY1.0,NYM0.1
5,Detroit Tigers5.6,CIN4.0,LAA2.4,SFG1.3,DET3.7,MIL1.1,MIL0.7,LAD0.5,TEX0.9,WSN1.2,SEA0.8,NYY0.9,CHC1.4,TEX1.8,SEA0.7,ATL0.1
6,Los Angeles Dodgers4.3,NYY2.3,MIN2.3,CIN1.1,NYM2.9,BOS0.8,TBR0.7,STL0.5,CLE0.8,LAD1.2,DET0.7,SEA0.9,NYM1.0,DET1.8,ATL0.7,TBR0.1
7,Minnesota Twins4.1,HOU2.1,TEX2.3,SEA0.8,SEA2.6,CIN0.7,DET0.7,TOR0.4,ATL0.5,SEA1.1,MIN0.5,HOU0.8,BOS1.0,SDP1.4,STL0.2,CIN0.0
8,Seattle Mariners3.0,DET1.9,DET1.8,NYY0.7,STL2.4,DET0.7,NYY0.7,PHI0.3,DET0.4,NYY1.1,NYY0.4,LAD0.8,TBR0.9,LAD1.3,CLE0.1,DET0.0
9,St. Louis Cardinals2.9,SDP1.0,PIT1.7,DET0.1,ARI1.9,NYM0.7,TOR0.5,CLE0.3,COL0.2,LAA1.0,SFG0.3,MIA0.8,DET0.4,SFG1.3,BAL0.1,ATH-0.1
10,Arizona Diamondbacks2.3,PIT0.7,CHW1.7,PHI0.0,TOR1.8,TOR0.5,CHC0.4,NYM0.3,ARI0.2,ATH1.0,BOS0.2,DET0.7,TEX0.4,STL1.0,DET0.0,HOU-0.1
