Date,Favorite,Underdog,Fav Price (Decimal),Dog Price (Decimal),Fav Price (American),Dog Price (American),Line,Fav at Home?,Game Time (EST),Market,Market Timestamp
2025-05-28,TEX,TOR,0.394,0.643,+154,-180,-1.5,1,2025-05-28T20:05:00-04:00,TEX -1.5,2025-05-28T17:31:31.287+00:00
2025-05-28,CHC,COL,0.589,0.426,-143,+135,-1.5,0,2025-05-28T20:05:00-04:00,CHC -1.5,2025-05-28T17:43:21.46+00:00
2025-05-28,HOU,OAK,0.388,0.636,+158,-175,-1.5,1,2025-05-28T14:10:00-04:00,HOU -1.5,2025-05-28T17:45:36.917+00:00
2025-05-28,NYY,LAA,0.495,0.541,+102,-118,-1.5,0,2025-05-28T21:38:00-04:00,LAA +1.5,2025-05-28T17:24:44.391+00:00
2025-05-28,BAL,STL,0.369,0.667,+171,-200,-1.5,1,2025-05-28T18:35:00-04:00,BAL -1.5,2025-05-28T17:32:30.909+00:00
2025-05-28,ARI,PIT,0.373,0.659,+168,-193,-1.5,1,2025-05-28T15:40:00-04:00,ARI -1.5,2025-05-28T17:42:54.659+00:00
2025-05-28,SD,MIA,0.421,0.605,+138,-153,-1.5,0,2025-05-28T16:10:00-04:00,SD -1.5,2025-05-28T17:40:45.712+00:00
2025-05-28,PHI,ATL,0.409,0.625,+144,-167,-1.5,1,2025-05-28T18:45:00-04:00,PHI -1.5,2025-05-28T17:45:56.769+00:00
2025-05-28,CIN,KAN,0.4,0.63,+150,-170,-1.5,0,2025-05-28T19:40:00-04:00,KAN +1.5,2025-05-28T17:35:24.312+00:00
2025-05-28,SEA,WAS,0.498,0.515,+101,-106,-1.5,1,2025-05-28T21:40:00-04:00,SEA -1.5,2025-05-28T17:28:19.388+00:00
