Commence_Time,Home_Team,Away_Team,Bookmaker,Market,Team,Odds
2025-05-25T19:11:00Z,Colorado Rockies,New York Yankees,FanDuel,Moneyline,Colorado Rockies,870
2025-05-25T19:11:00Z,Colorado Rockies,New York Yankees,FanDuel,Moneyline,New York Yankees,-2200
2025-05-25T19:11:00Z,Colorado Rockies,New York Yankees,DraftKings,Moneyline,Colorado Rockies,750
2025-05-25T19:11:00Z,Colorado Rockies,New York Yankees,DraftKings,Moneyline,New York Yankees,-1450
2025-05-25T19:11:00Z,Colorado Rockies,New York Yankees,BetMGM,Moneyline,Colorado Rockies,775
2025-05-25T19:11:00Z,Colorado Rockies,New York Yankees,BetMGM,Moneyline,New York Yankees,-1600
2025-05-25T19:11:00Z,Colorado Rockies,New York Yankees,Bovada,Moneyline,Colorado Rockies,750
2025-05-25T19:11:00Z,Colorado Rockies,New York Yankees,Bovada,Moneyline,New York Yankees,-1600
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,FanDuel,Moneyline,Los Angeles Dodgers,-136
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,FanDuel,Moneyline,New York Mets,106
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,LowVig.ag,Moneyline,Los Angeles Dodgers,101
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,LowVig.ag,Moneyline,New York Mets,-111
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,BetOnline.ag,Moneyline,Los Angeles Dodgers,101
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,BetOnline.ag,Moneyline,New York Mets,-111
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,DraftKings,Moneyline,Los Angeles Dodgers,-145
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,DraftKings,Moneyline,New York Mets,114
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,MyBookie.ag,Moneyline,Los Angeles Dodgers,-105
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,MyBookie.ag,Moneyline,New York Mets,-111
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,Bovada,Moneyline,Los Angeles Dodgers,-105
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,Bovada,Moneyline,New York Mets,-115
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,BetMGM,Moneyline,Los Angeles Dodgers,-135
2025-05-25T23:11:00Z,New York Mets,Los Angeles Dodgers,BetMGM,Moneyline,New York Mets,105
2025-05-26T17:11:00Z,Detroit Tigers,San Francisco Giants,FanDuel,Moneyline,Detroit Tigers,-110
2025-05-26T17:11:00Z,Detroit Tigers,San Francisco Giants,FanDuel,Moneyline,San Francisco Giants,-106
2025-05-26T17:11:00Z,Detroit Tigers,San Francisco Giants,MyBookie.ag,Moneyline,Detroit Tigers,-110
2025-05-26T17:11:00Z,Detroit Tigers,San Francisco Giants,MyBookie.ag,Moneyline,San Francisco Giants,-106
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,FanDuel,Moneyline,Boston Red Sox,-156
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,FanDuel,Moneyline,Milwaukee Brewers,132
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,BetOnline.ag,Moneyline,Boston Red Sox,-147
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,BetOnline.ag,Moneyline,Milwaukee Brewers,133
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,LowVig.ag,Moneyline,Boston Red Sox,-147
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,LowVig.ag,Moneyline,Milwaukee Brewers,133
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,DraftKings,Moneyline,Boston Red Sox,-155
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,DraftKings,Moneyline,Milwaukee Brewers,130
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,BetUS,Moneyline,Boston Red Sox,-147
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,BetUS,Moneyline,Milwaukee Brewers,132
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,MyBookie.ag,Moneyline,Boston Red Sox,-156
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,MyBookie.ag,Moneyline,Milwaukee Brewers,132
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,BetMGM,Moneyline,Boston Red Sox,-160
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,BetMGM,Moneyline,Milwaukee Brewers,135
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,Bovada,Moneyline,Boston Red Sox,-157
2025-05-26T18:11:00Z,Milwaukee Brewers,Boston Red Sox,Bovada,Moneyline,Milwaukee Brewers,131
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,FanDuel,Moneyline,Chicago Cubs,-330
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,FanDuel,Moneyline,Colorado Rockies,265
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,LowVig.ag,Moneyline,Chicago Cubs,-315
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,LowVig.ag,Moneyline,Colorado Rockies,277
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,BetOnline.ag,Moneyline,Chicago Cubs,-315
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,BetOnline.ag,Moneyline,Colorado Rockies,277
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,MyBookie.ag,Moneyline,Chicago Cubs,-333
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,MyBookie.ag,Moneyline,Colorado Rockies,271
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,DraftKings,Moneyline,Chicago Cubs,-340
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,DraftKings,Moneyline,Colorado Rockies,270
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,BetUS,Moneyline,Chicago Cubs,-315
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,BetUS,Moneyline,Colorado Rockies,266
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,BetMGM,Moneyline,Chicago Cubs,-325
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,BetMGM,Moneyline,Colorado Rockies,260
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,Bovada,Moneyline,Chicago Cubs,-330
2025-05-26T18:21:00Z,Chicago Cubs,Colorado Rockies,Bovada,Moneyline,Colorado Rockies,260
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,FanDuel,Moneyline,Baltimore Orioles,-104
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,FanDuel,Moneyline,St. Louis Cardinals,-112
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,BetOnline.ag,Moneyline,Baltimore Orioles,-105
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,BetOnline.ag,Moneyline,St. Louis Cardinals,-105
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,LowVig.ag,Moneyline,Baltimore Orioles,-105
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,LowVig.ag,Moneyline,St. Louis Cardinals,-105
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,MyBookie.ag,Moneyline,Baltimore Orioles,-110
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,MyBookie.ag,Moneyline,St. Louis Cardinals,-106
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,DraftKings,Moneyline,Baltimore Orioles,-112
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,DraftKings,Moneyline,St. Louis Cardinals,-108
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,BetMGM,Moneyline,Baltimore Orioles,-110
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,BetMGM,Moneyline,St. Louis Cardinals,-110
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,Bovada,Moneyline,Baltimore Orioles,-115
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,Bovada,Moneyline,St. Louis Cardinals,-105
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,BetUS,Moneyline,Baltimore Orioles,-108
2025-05-26T19:06:00Z,Baltimore Orioles,St. Louis Cardinals,BetUS,Moneyline,St. Louis Cardinals,-102
2025-05-26T20:06:00Z,Texas Rangers,Toronto Blue Jays,FanDuel,Moneyline,Texas Rangers,-152
