Commence_Time,Home_Team,Away_Team,Bookmaker,Favorite,Underdog,Spread,Home_ML,Away_ML
2025-05-26T22:10:00Z,Cleveland Guardians,Los Angeles Dodgers,FanDuel,Los Angeles Dodgers,Cleveland Guardians,-5.5,2000,-20000
2025-05-26T23:06:00Z,Tampa Bay Rays,Minnesota Twins,FanDuel,Tampa Bay Rays,Minnesota Twins,-1.5,-154,120
2025-05-27T00:11:00Z,Arizona Diamondbacks,Pittsburgh Pirates,FanDuel,Arizona Diamondbacks,Pittsburgh Pirates,-1.5,-190,160
2025-05-27T00:41:00Z,San Diego Padres,Miami Marlins,FanDuel,San Diego Padres,Miami Marlins,-1.5,-152,128
2025-05-27T01:38:00Z,Los Angeles Angels,New York Yankees,BetOnline.ag,New York Yankees,Los Angeles Angels,-1.5,161,-178
2025-05-27T22:11:00Z,Cleveland Guardians,Los Angeles Dodgers,FanDuel,Los Angeles Dodgers,Cleveland Guardians,-1.5,114,-134
2025-05-27T22:36:00Z,Baltimore Orioles,St. Louis Cardinals,FanDuel,St. Louis Cardinals,Baltimore Orioles,-1.5,-112,-104
2025-05-27T22:41:00Z,Detroit Tigers,San Francisco Giants,FanDuel,San Francisco Giants,Detroit Tigers,-1.5,-102,-116
2025-05-27T22:46:00Z,Philadelphia Phillies,Atlanta Braves,FanDuel,Atlanta Braves,Philadelphia Phillies,-1.5,-116,-102
2025-05-27T23:06:00Z,Tampa Bay Rays,Minnesota Twins,FanDuel,Minnesota Twins,Tampa Bay Rays,-1.5,108,-126
2025-05-27T23:11:00Z,New York Mets,Chicago White Sox,FanDuel,New York Mets,Chicago White Sox,-1.5,-275,225
2025-05-27T23:41:00Z,Milwaukee Brewers,Boston Red Sox,FanDuel,Boston Red Sox,Milwaukee Brewers,-1.5,-120,102
2025-05-27T23:41:00Z,Kansas City Royals,Cincinnati Reds,FanDuel,Cincinnati Reds,Kansas City Royals,-1.5,-104,-112
2025-05-28T00:06:00Z,Chicago Cubs,Colorado Rockies,FanDuel,Chicago Cubs,Colorado Rockies,-1.5,-310,250
2025-05-28T00:06:00Z,Texas Rangers,Toronto Blue Jays,FanDuel,Texas Rangers,Toronto Blue Jays,-1.5,-162,136
2025-05-28T00:11:00Z,Houston Astros,Oakland Athletics,FanDuel,Houston Astros,Oakland Athletics,-1.5,-210,176
2025-05-28T01:38:00Z,Los Angeles Angels,New York Yankees,DraftKings,New York Yankees,Los Angeles Angels,-1.5,154,-185
2025-05-28T01:41:00Z,Arizona Diamondbacks,Pittsburgh Pirates,FanDuel,Arizona Diamondbacks,Pittsburgh Pirates,-1.5,-250,205
2025-05-28T01:41:00Z,San Diego Padres,Miami Marlins,FanDuel,San Diego Padres,Miami Marlins,-1.5,-172,144
2025-05-28T01:41:00Z,Seattle Mariners,Washington Nationals,FanDuel,Seattle Mariners,Washington Nationals,-1.5,-144,122
