iter	Logloss
0	0.6928441952
1	0.6924968377
2	0.6922594071
3	0.6919829063
4	0.6916788497
5	0.6914482012
6	0.6911868558
7	0.6908828127
8	0.6906324519
9	0.6903560088
10	0.6900995511
11	0.6898429542
12	0.6895868795
13	0.6893477936
14	0.6890643148
15	0.6888186386
16	0.6885692562
17	0.6883433143
18	0.6880825712
19	0.68786647
20	0.6876875361
21	0.6874431872
22	0.6872352189
23	0.6870247707
24	0.6868026118
25	0.6865960341
26	0.6863930864
27	0.6862138425
28	0.686062006
29	0.6858770216
30	0.6856950508
31	0.6854952579
32	0.6853121412
33	0.6851069537
34	0.684937767
35	0.6848007801
36	0.6846281756
37	0.6844705689
38	0.6843083065
39	0.6841565343
40	0.6839765481
41	0.6838051924
42	0.6836249438
43	0.6834710629
44	0.6833152598
45	0.6832003677
46	0.6830447109
47	0.682893338
48	0.6827444969
49	0.6826053759
50	0.6824740321
51	0.6823653234
52	0.6822356401
53	0.6820886417
54	0.6819689896
55	0.6818459435
56	0.6817333647
57	0.6816282793
58	0.6814890467
59	0.6814012654
60	0.6812970118
61	0.6811892122
62	0.6810666313
63	0.6809465189
64	0.680846711
65	0.6807334247
66	0.6806516131
67	0.6805477024
68	0.6804389855
69	0.6803282257
70	0.6802320953
71	0.680158655
72	0.6800534027
73	0.679968083
74	0.6798839732
75	0.6797943286
76	0.6797004164
77	0.6796231764
78	0.6795420707
79	0.6794655268
80	0.6793810076
81	0.6792954044
82	0.6792104946
83	0.6791290258
84	0.6790659839
85	0.6789803811
86	0.6789014552
87	0.6788374577
88	0.6787585043
89	0.6787072739
90	0.6786359873
91	0.6785592109
92	0.6784795828
93	0.6784028619
94	0.6783266098
95	0.6782618261
96	0.6782137533
97	0.6781544047
98	0.6780907824
99	0.6780468791
100	0.6780067562
101	0.677942044
102	0.6778960276
103	0.6778293185
104	0.677790229
105	0.677734131
106	0.6776770529
107	0.6776237259
108	0.6775695607
109	0.6775136053
110	0.6774725243
111	0.6774284567
112	0.6773766721
113	0.677343964
114	0.6772829745
115	0.6772314757
116	0.6771822756
117	0.6771502208
118	0.6771048003
119	0.6770491836
120	0.6770063595
121	0.6769637464
122	0.6769249956
123	0.6768797574
124	0.6768483978
125	0.6768075713
126	0.6767749773
127	0.6767332608
128	0.6766855175
129	0.6766443541
130	0.676597327
131	0.6765548943
132	0.6765315243
133	0.6765019115
134	0.6764780128
135	0.6764494284
136	0.6764135064
137	0.6763878903
138	0.6763618584
139	0.6763254334
140	0.6762964564
141	0.6762580168
142	0.6762344337
143	0.6761932268
144	0.6761546744
145	0.6761169562
146	0.6760807447
147	0.6760612728
148	0.6760295806
149	0.676010147
150	0.6759868501
151	0.6759635369
152	0.6759385504
153	0.6759044486
154	0.6758899981
155	0.6758706237
156	0.6758494284
157	0.675818557
158	0.6757892597
159	0.6757639839
160	0.6757418892
161	0.6757186427
162	0.6756956149
163	0.6756717799
164	0.6756443024
165	0.6756218331
166	0.6756014063
167	0.6755739546
168	0.6755561608
169	0.6755317187
170	0.6755063685
171	0.6754883943
172	0.6754692522
173	0.6754444105
174	0.675421802
175	0.6754006886
176	0.6753870567
177	0.6753708653
178	0.6753537558
179	0.675327383
180	0.6753072745
181	0.675280757
182	0.6752532371
183	0.6752254496
184	0.6752037676
185	0.6751880748
186	0.6751707996
187	0.675148813
188	0.6751311257
189	0.6751083161
190	0.6750932968
191	0.6750740681
192	0.6750612231
193	0.6750449058
194	0.6750301308
195	0.6750130703
196	0.6749935344
197	0.6749756081
198	0.6749603036
199	0.6749427406
200	0.6749278052
201	0.6749192399
202	0.6748989439
203	0.6748849428
204	0.6748715434
205	0.6748477029
206	0.6748266439
207	0.6748147284
208	0.6747990855
209	0.6747851537
210	0.6747707711
211	0.6747575895
212	0.6747440447
213	0.6747314655
