iter	Passed	Remaining
0	96	53685
1	132	37024
2	189	35175
3	230	31969
4	275	30569
5	327	30187
6	405	31954
7	457	31529
8	507	30994
9	593	32599
10	658	32803
11	718	32767
12	775	32550
13	819	31893
14	878	31843
15	928	31524
16	970	30948
17	1028	30926
18	1069	30402
19	1116	30082
20	1165	29855
21	1204	29405
22	1253	29207
23	1297	28916
24	1346	28767
25	1405	28811
26	1444	28469
27	1465	27798
28	1490	27236
29	1517	26751
30	1544	26305
31	1565	25774
32	1590	25343
33	1615	24949
34	1644	24627
35	1667	24231
36	1716	24218
37	1759	24124
38	1784	23796
39	1807	23453
40	1830	23128
41	1860	22905
42	1906	22873
43	1942	22741
44	1965	22446
45	1993	22234
46	2015	21956
47	2039	21716
48	2064	21489
49	2085	21231
50	2109	21017
51	2136	20832
52	2178	20802
53	2225	20811
54	2281	20905
55	2307	20727
56	2329	20519
57	2359	20380
58	2398	20322
59	2432	20231
60	2459	20075
61	2479	19879
62	2501	19690
63	2523	19517
64	2549	19374
65	2570	19202
66	2594	19054
67	2620	18924
68	2650	18824
69	2671	18661
70	2694	18522
71	2719	18392
72	2752	18326
73	2773	18179
74	2799	18068
75	2828	17974
76	2853	17860
77	2875	17732
78	2901	17629
79	2926	17521
80	2951	17418
81	2973	17296
82	2994	17171
83	3020	17077
84	3047	16996
85	3069	16884
86	3093	16780
87	3117	16685
88	3144	16605
89	3164	16488
90	3192	16417
91	3220	16348
92	3244	16257
93	3265	16155
94	3288	16060
95	3311	15969
96	3334	15880
97	3355	15786
98	3383	15721
99	3411	15658
100	3433	15571
101	3456	15484
102	3480	15410
103	3503	15326
104	3527	15251
105	3548	15164
106	3574	15098
107	3643	15215
108	3709	15313
109	3758	15342
110	3799	15333
111	3847	15356
112	3888	15349
113	3922	15312
114	3965	15309
115	4004	15293
116	4034	15240
117	4075	15229
118	4098	15155
119	4120	15075
120	4143	14998
121	4165	14921
122	4190	14852
123	4212	14779
124	4247	14746
125	4273	14684
126	4301	14633
127	4323	14559
128	4344	14482
129	4367	14412
130	4389	14340
131	4410	14265
132	4434	14204
133	4457	14138
134	4479	14069
135	4501	14002
136	4521	13926
137	4542	13858
138	4564	13791
139	4583	13717
140	4603	13646
141	4625	13584
142	4649	13524
143	4667	13451
144	4687	13382
145	4707	13316
146	4729	13255
147	4751	13194
148	4775	13140
149	4798	13084
150	4825	13037
151	4845	12974
152	4866	12914
153	4886	12849
154	4904	12782
155	4927	12729
156	4950	12675
157	4970	12614
158	4990	12554
159	5014	12505
160	5050	12485
161	5086	12465
162	5112	12421
163	5135	12369
164	5155	12310
165	5174	12250
166	5195	12196
167	5213	12133
168	5246	12106
169	5267	12052
170	5289	12002
171	5315	11959
172	5334	11902
173	5352	11843
174	5374	11792
175	5396	11743
176	5419	11695
177	5438	11640
178	5459	11590
179	5482	11544
180	5508	11503
181	5526	11448
182	5547	11398
183	5568	11348
184	5591	11303
185	5617	11265
186	5639	11219
187	5661	11172
188	5683	11126
189	5705	11081
190	5733	11047
191	5755	11001
192	5783	10967
193	5816	10942
194	5845	10911
195	5867	10866
196	5890	10823
197	5909	10773
198	5933	10734
199	5957	10693
200	5976	10643
201	5997	10599
202	6018	10554
203	6047	10523
204	6089	10515
205	6124	10494
206	6157	10470
207	6184	10435
208	6216	10410
209	6267	10415
210	6303	10395
211	6344	10384
212	6376	10358
213	6397	10313
214	6419	10271
215	6444	10234
216	6465	10189
217	6489	10151
218	6514	10114
219	6534	10069
220	6556	10027
221	6587	10000
222	6619	9974
223	6638	9928
224	6661	9888
225	6682	9845
226	6703	9803
227	6731	9772
228	6796	9794
229	6843	9788
230	6863	9745
231	6887	9707
232	6906	9662
233	6927	9622
234	6948	9580
235	6969	9538
236	6992	9500
237	7012	9458
238	7037	9422
239	7059	9382
240	7078	9340
241	7104	9306
242	7128	9269
243	7147	9227
244	7172	9192
245	7196	9156
246	7220	9120
247	7266	9112
248	7297	9084
249	7334	9065
250	7368	9041
251	7407	9024
252	7446	9006
253	7473	8973
254	7492	8932
255	7519	8900
256	7543	8864
257	7563	8824
258	7586	8787
259	7612	8754
260	7636	8718
261	7659	8682
262	7699	8665
263	7722	8628
264	7741	8588
265	7764	8552
266	7788	8517
267	7811	8481
268	7834	8445
269	7868	8421
270	7909	8405
271	7943	8381
272	7970	8350
273	7992	8313
274	8016	8278
275	8034	8238
276	8063	8208
277	8083	8171
278	8107	8137
279	8130	8101
280	8151	8064
281	8176	8031
282	8201	7998
283	8229	7968
284	8247	7929
285	8278	7902
286	8305	7871
287	8334	7842
288	8355	7806
289	8377	7770
290	8404	7740
291	8425	7703
292	8451	7672
293	8474	7638
294	8498	7605
295	8517	7567
296	8540	7534
297	8562	7499
298	8585	7465
299	8612	7435
300	8636	7402
301	8655	7365
302	8677	7331
303	8703	7300
304	8723	7265
305	8746	7231
306	8768	7197
307	8791	7164
308	8813	7131
309	8837	7098
310	8855	7061
311	8881	7031
312	8907	7001
