Commence_Time,Home_Team,Away_Team,Bookmaker,Favorite,Underdog,Spread,Home_ML,Away_ML
2025-05-27T22:11:00Z,Cleveland Guardians,Los Angeles Dodgers,FanDuel,Los Angeles Dodgers,Cleveland Guardians,-1.5,110,-130
2025-05-27T22:36:00Z,Baltimore Orioles,St. Louis Cardinals,FanDuel,St. Louis Cardinals,Baltimore Orioles,-1.5,-102,-116
2025-05-27T22:41:00Z,Detroit Tigers,San Francisco Giants,FanDuel,San Francisco Giants,Detroit Tigers,-1.5,-102,-116
2025-05-27T22:46:00Z,Philadelphia Phillies,Atlanta Braves,FanDuel,Atlanta Braves,Philadelphia Phillies,-1.5,-118,100
2025-05-27T23:06:00Z,Tampa Bay Rays,Minnesota Twins,FanDuel,Minnesota Twins,Tampa Bay Rays,-1.5,106,-124
2025-05-27T23:11:00Z,New York Mets,Chicago White Sox,FanDuel,New York Mets,Chicago White Sox,-1.5,-275,225
2025-05-27T23:41:00Z,Milwaukee Brewers,Boston Red Sox,FanDuel,Milwaukee Brewers,Boston Red Sox,-1.5,-126,108
2025-05-27T23:41:00Z,Kansas City Royals,Cincinnati Reds,FanDuel,Cincinnati Reds,Kansas City Royals,-1.5,-118,100
2025-05-28T00:06:00Z,Chicago Cubs,Colorado Rockies,FanDuel,Chicago Cubs,Colorado Rockies,-1.5,-350,280
2025-05-28T00:06:00Z,Texas Rangers,Toronto Blue Jays,FanDuel,Texas Rangers,Toronto Blue Jays,-1.5,-148,126
2025-05-28T00:11:00Z,Houston Astros,Oakland Athletics,FanDuel,Houston Astros,Oakland Athletics,-1.5,-240,198
2025-05-28T01:38:00Z,Los Angeles Angels,New York Yankees,BetOnline.ag,New York Yankees,Los Angeles Angels,-1.5,182,-203
2025-05-28T01:41:00Z,Arizona Diamondbacks,Pittsburgh Pirates,FanDuel,Arizona Diamondbacks,Pittsburgh Pirates,-1.5,-255,210
2025-05-28T01:41:00Z,San Diego Padres,Miami Marlins,FanDuel,San Diego Padres,Miami Marlins,-1.5,-162,136
2025-05-28T01:41:00Z,Seattle Mariners,Washington Nationals,FanDuel,Seattle Mariners,Washington Nationals,-1.5,-156,132
