id,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
43094,2009,2009-08-14T18:20:00.000Z,False,regular,STATUS_FINAL,Wrigley Field,False,5,22,chicago-cubs,pittsburgh-pirates,CHC,PIT,Chicago Cubs,Pittsburgh Pirates,Cubs,Pirates,Cubs,Pirates,Chicago,Pittsburgh,National,National,Central,Central,17,2,,,,,,
43095,2009,2009-08-14T23:05:00.000Z,False,regular,STATUS_FINAL,Oriole Park at Camden Yards,False,3,13,baltimore-orioles,los-angeles-angels,BAL,LAA,Baltimore Orioles,Los Angeles Angels,Orioles,Angels,Orioles,Angels,Baltimore,Los Angeles,American,American,East,West,16,6,,,,,,
43096,2009,2009-08-14T23:05:00.000Z,False,regular,STATUS_FINAL,Comerica Park,False,10,12,detroit-tigers,kansas-city-royals,DET,KC,Detroit Tigers,Kansas City Royals,Tigers,Royals,Tigers,Royals,Detroit,Kansas City,American,American,Central,Central,1,0,,,,,,
43097,2009,2009-08-14T23:10:00.000Z,False,regular,STATUS_FINAL,Great American Ball Park,False,7,30,cincinnati-reds,washington-nationals,CIN,WSH,Cincinnati Reds,Washington Nationals,Reds,Nationals,Reds,Nationals,Cincinnati,Washington,National,National,Central,East,0,2,,,,,,
43098,2009,2009-08-14T23:10:00.000Z,False,regular,STATUS_FINAL,Citi Field,False,18,24,new-york-mets,san-francisco-giants,NYM,SF,New York Mets,San Francisco Giants,Mets,Giants,Mets,Giants,New York,San Francisco,National,National,East,West,3,0,,,,,,
43099,2009,2009-08-14T23:10:00.000Z,False,regular,STATUS_FINAL,Hard Rock Stadium,False,15,9,miami-marlins,colorado-rockies,MIA,COL,Miami Marlins,Colorado Rockies,Marlins,Rockies,Marlins,Rockies,Miami,Colorado,National,National,East,West,6,5,,,,,,
43100,2009,2009-08-14T23:30:00.000Z,False,regular,STATUS_FINAL,Center Parc Stadium,False,2,21,atlanta-braves,philadelphia-phillies,ATL,PHI,Atlanta Braves,Philadelphia Phillies,Braves,Phillies,Braves,Phillies,Atlanta,Philadelphia,National,National,East,East,2,3,,,,,,
43101,2009,2009-08-14T23:38:00.000Z,False,regular,STATUS_FINAL,Tropicana Field,False,27,29,tampa-bay-rays,toronto-blue-jays,TB,TOR,Tampa Bay Rays,Toronto Blue Jays,Rays,Blue Jays,Rays,Blue Jays,Tampa Bay,Toronto,American,American,East,East,2,5,,,,,,
43102,2009,2009-08-15T00:05:00.000Z,False,regular,STATUS_FINAL,Miller Park,False,16,11,milwaukee-brewers,houston-astros,MIL,HOU,Milwaukee Brewers,Houston Astros,Brewers,Astros,Brewers,Astros,Milwaukee,Houston,National,American,Central,West,11,2,,,,,,
43103,2009,2009-08-15T00:05:00.000Z,False,regular,STATUS_FINAL,Choctaw Stadium,False,28,4,texas-rangers,boston-red-sox,TEX,BOS,Texas Rangers,Boston Red Sox,Rangers,Red Sox,Rangers,Red Sox,Texas,Boston,American,American,West,East,4,8,,,,,,
43104,2009,2009-08-15T00:10:00.000Z,False,regular,STATUS_FINAL,Metrodome,False,17,8,minnesota-twins,cleveland-guardians,MIN,CLE,Minnesota Twins,Cleveland Guardians,Twins,Guardians,Twins,Guardians,Minnesota,Cleveland,American,American,Central,Central,11,0,,,,,,
43105,2009,2009-08-15T00:15:00.000Z,False,regular,STATUS_FINAL,Busch Stadium,False,26,23,st-louis-cardinals,san-diego-padres,STL,SD,St. Louis Cardinals,San Diego Padres,Cardinals,Padres,Cardinals,Padres,St. Louis,San Diego,National,National,Central,West,9,2,,,,,,
43106,2009,2009-08-15T01:40:00.000Z,False,regular,STATUS_FINAL,Chase Field,False,1,14,arizona-diamondbacks,los-angeles-dodgers,ARI,LAD,Arizona Diamondbacks,Los Angeles Dodgers,Diamondbacks,Dodgers,Diamondbacks,Dodgers,Arizona,Los Angeles,National,National,West,West,4,1,,,,,,
43107,2009,2009-08-15T02:05:00.000Z,False,regular,STATUS_FINAL,Oakland Coliseum,False,20,6,oakland-athletics,chicago-white-sox,OAK,CHW,Oakland Athletics,Chicago White Sox,Athletics,White Sox,Athletics,White Sox,Oakland,Chicago,American,American,West,Central,7,8,,,,,,
43108,2009,2009-08-15T02:10:00.000Z,False,regular,STATUS_FINAL,T-Mobile Park,False,25,19,seattle-mariners,new-york-yankees,SEA,NYY,Seattle Mariners,New York Yankees,Mariners,Yankees,Mariners,Yankees,Seattle,New York,American,American,West,East,2,4,,,,,,
