game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
245008,2009-06-05,116,108,DET,LAA,Tigers,Angels,Detroit Tigers,Los Angeles Angels,0,0,regular,regular,2009,2009,55,55,29,29,1,2,6,7,2,0,1,0,0,0,1,2,10,7,2,5,7,8,0,1,0.264,0.276,0.333,0.339,0.415,0.405,0.748,0.744,0,1,1,0,4.0,4.61,9.0,9.0,7,6,2,1,0,0,5,2,8,7,0.0,0.0,1.35,1.43,1,0,2009-06-05
245017,2009-06-05,120,121,WSH,NYM,Nationals,Mets,Washington Nationals,New York Mets,0,0,regular,regular,2009,2009,57,55,35,35,1,3,7,8,2,5,0,0,0,0,1,3,9,13,3,7,5,4,0,0,0.265,0.278,0.349,0.361,0.422,0.409,0.771,0.77,0,1,1,0,5.61,3.93,10.0,10.0,8,7,3,1,0,0,7,3,4,5,0.0,0.0,1.62,1.39,2,0,2009-06-05
245014,2009-06-05,141,118,TOR,KC,Blue Jays,Royals,Toronto Blue Jays,Kansas City Royals,0,0,regular,regular,2009,2009,57,55,35,31,9,3,10,5,5,0,0,0,3,2,9,3,24,11,3,3,6,7,0,0,0.282,0.246,0.348,0.315,0.443,0.395,0.791,0.71,1,0,0,1,4.32,4.35,9.0,8.0,5,10,3,7,2,3,3,3,7,6,0.0,0.0,1.31,1.42,0,3,2009-06-05
245011,2009-06-05,113,112,CIN,CHC,Reds,Cubs,Cincinnati Reds,Chicago Cubs,0,0,regular,regular,2009,2009,55,55,31,33,1,2,4,7,0,1,1,0,0,1,1,2,6,11,7,4,8,10,0,2,0.252,0.249,0.326,0.328,0.407,0.405,0.733,0.733,0,1,1,0,4.01,4.11,9.0,9.0,7,4,2,1,1,0,4,7,10,8,0.0,0.0,1.35,1.33,0,1,2009-06-05
245022,2009-06-05,111,140,BOS,TEX,Red Sox,Rangers,Boston Red Sox,Texas Rangers,0,0,regular,regular,2009,2009,57,55,35,33,1,5,7,8,3,1,0,0,0,1,1,5,10,12,6,2,7,8,1,0,0.273,0.271,0.357,0.331,0.45,0.482,0.807,0.813,0,1,1,0,4.29,4.55,9.0,9.0,8,7,5,0,1,0,2,6,8,7,0.0,0.0,1.43,1.42,0,1,2009-06-05
245020,2009-06-05,146,137,FLA,SF,Marlins,Giants,Florida Marlins,San Francisco Giants,0,0,regular,regular,2009,2009,57,54,31,36,1,2,6,11,0,2,0,0,0,1,1,2,6,16,6,2,7,9,0,1,0.247,0.26,0.323,0.315,0.383,0.373,0.706,0.688,0,1,1,0,4.5,3.75,9.0,9.0,11,6,2,1,1,0,2,6,9,7,0.0,0.0,1.46,1.4,0,1,2009-06-05
245015,2009-06-05,144,158,ATL,MIL,Braves,Brewers,Atlanta Braves,Milwaukee Brewers,0,0,regular,regular,2009,2009,55,56,28,36,0,4,2,10,2,2,0,0,0,0,0,4,4,12,4,3,7,9,0,0,0.255,0.25,0.33,0.338,0.385,0.41,0.715,0.748,0,1,1,0,4.04,4.12,9.0,9.0,10,2,4,0,0,0,3,4,9,7,0.0,0.0,1.34,1.32,2,0,2009-06-05
245019,2009-06-05,117,134,HOU,PIT,Astros,Pirates,Houston Astros,Pittsburgh Pirates,0,0,regular,regular,2009,2009,55,56,29,32,9,1,11,6,3,0,1,0,1,0,9,1,19,6,7,1,2,6,2,0,0.273,0.265,0.339,0.332,0.412,0.395,0.751,0.727,1,0,0,1,4.47,4.32,9.0,8.0,6,11,1,9,0,1,1,7,6,2,0.0,0.0,1.46,1.4,0,0,2009-06-05
245012,2009-06-05,145,114,CWS,CLE,White Sox,Indians,Chicago White Sox,Cleveland Indians,0,0,regular,regular,2009,2009,58,57,29,35,0,6,3,9,2,1,0,0,0,3,0,6,5,19,2,3,6,6,0,0,0.251,0.269,0.319,0.352,0.39,0.424,0.709,0.776,0,1,1,0,4.33,5.28,9.0,9.0,9,3,6,0,3,0,3,2,6,6,0.0,0.0,1.44,1.54,1,0,2009-06-05
245013,2009-06-05,138,115,STL,COL,Cardinals,Rockies,St. Louis Cardinals,Colorado Rockies,0,0,regular,regular,2009,2009,58,54,34,36,4,11,10,9,1,2,0,0,3,2,4,11,20,17,3,8,8,11,1,0,0.258,0.25,0.332,0.332,0.421,0.425,0.753,0.757,0,1,1,0,3.71,4.74,9.0,9.0,9,10,10,4,2,3,8,3,11,8,0.0,0.0,1.28,1.49,1,0,2009-06-05
245010,2009-06-05,133,110,OAK,BAL,Athletics,Orioles,Oakland Athletics,Baltimore Orioles,0,0,regular,regular,2009,2009,56,55,33,31,9,1,10,5,1,0,0,0,2,1,9,1,17,8,2,0,3,9,0,0,0.24,0.266,0.316,0.329,0.363,0.428,0.679,0.757,1,0,0,1,4.29,5.24,9.0,8.0,5,10,1,9,1,2,0,2,9,3,0.0,0.0,1.42,1.5,1,1,2009-06-05
245009,2009-06-05,135,109,SD,AZ,Padres,D-backs,San Diego Padres,Arizona Diamondbacks,0,0,regular,regular,2009,2009,55,57,30,40,0,8,4,13,0,3,0,0,0,1,0,8,4,19,4,6,8,10,0,3,0.237,0.243,0.316,0.316,0.387,0.401,0.703,0.717,0,1,1,0,4.48,4.41,9.0,9.0,13,4,8,0,1,0,6,4,10,8,0.0,0.0,1.41,1.38,0,0,2009-06-05
245016,2009-06-05,136,142,SEA,MIN,Mariners,Twins,Seattle Mariners,Minnesota Twins,0,0,regular,regular,2009,2009,56,57,32,34,1,2,4,8,1,1,0,0,1,0,1,1,8,9,4,6,8,10,0,1,0.256,0.273,0.312,0.348,0.389,0.431,0.701,0.779,0,1,1,0,3.82,4.68,10.0,10.0,8,4,1,1,0,1,6,4,10,8,0.0,0.0,1.37,1.36,1,0,2009-06-05
245018,2009-06-05,119,143,LAD,PHI,Dodgers,Phillies,Los Angeles Dodgers,Philadelphia Phillies,0,0,regular,regular,2009,2009,57,56,31,36,4,3,6,11,2,2,0,0,0,0,4,3,8,13,2,3,5,8,3,0,0.281,0.266,0.362,0.348,0.407,0.467,0.769,0.815,1,0,0,1,3.62,4.74,9.0,8.2,11,6,1,2,0,0,3,2,8,5,0.0,0.0,1.33,1.4,1,1,2009-06-05
245021,2009-06-05,147,139,NYY,TB,Yankees,Rays,New York Yankees,Tampa Bay Rays,0,0,regular,regular,2009,2009,57,58,38,33,11,1,17,6,2,2,0,0,2,0,10,1,25,8,9,6,2,11,0,0,0.283,0.263,0.362,0.345,0.481,0.445,0.843,0.79,1,0,0,1,4.32,4.31,9.0,8.0,6,17,1,11,0,2,6,9,11,2,0.0,0.0,1.35,1.36,0,0,2009-06-05
