game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
246074,2009-08-25,457453,502009,Jair Jurrjens,Mat Latos,Atlanta Braves,San Diego Padres,7.2,7.0,5,2,1,0,1,0,4,0,7,4,1,0,0.0,0.0,0.0,0.0,112,89,74,59,0,0,0,0,0,0,31,23,8,7,7,10,0,0,0,0,0,0,0,0,0,0
246073,2009-08-25,456027,430599,Ross Ohlendorf,Joe Blanton,Pittsburgh Pirates,Philadelphia Phillies,6.1,6.0,5,6,2,3,2,3,3,2,6,7,2,2,0.0,0.0,0.0,0.0,99,113,63,69,0,1,1,0,0,0,27,26,2,4,11,6,0,0,0,0,0,0,0,0,0,0
246076,2009-08-25,501955,119154,Joba Chamberlain,Kevin Millwood,New York Yankees,Texas Rangers,4.0,5.2,9,7,7,5,7,5,3,5,5,2,0,2,0.0,0.0,0.0,0.0,96,107,55,59,0,0,0,0,0,0,22,28,1,5,4,9,0,1,1,0,0,0,0,0,0,0
246075,2009-08-25,446399,448306,Brett Cecil,James Shields,Toronto Blue Jays,Tampa Bay Rays,3.1,6.2,6,8,6,3,5,3,3,2,3,5,2,2,0.0,0.0,0.0,0.0,76,93,49,60,0,0,0,0,0,0,19,29,1,6,6,8,0,1,1,0,0,0,0,0,0,0
246065,2009-08-25,452657,150119,Jon Lester,Freddy Garcia,Boston Red Sox,Chicago White Sox,6.2,6.1,4,5,3,3,3,3,2,1,6,5,1,0,0.0,0.0,0.0,0.0,113,93,68,57,0,0,1,0,0,0,27,26,7,11,8,4,0,0,0,0,0,0,0,0,0,0
246071,2009-08-25,476811,150153,Sean West,Nelson Figueroa,Florida Marlins,New York Mets,6.0,5.0,6,4,1,2,1,1,3,0,2,2,0,0,0.0,0.0,0.0,0.0,82,78,53,50,0,1,0,0,0,0,27,21,6,8,10,6,1,0,0,1,0,0,0,0,0,0
246077,2009-08-25,407296,452241,Carlos Zambrano,Garrett Mock,Chicago Cubs,Washington Nationals,4.1,5.2,7,7,8,4,8,4,3,2,4,6,1,1,0.0,0.0,0.0,0.0,95,89,55,59,1,0,0,0,0,0,23,25,4,4,4,6,0,1,1,0,0,0,0,0,0,0
246066,2009-08-25,122987,276520,Jeff Suppan,Bronson Arroyo,Milwaukee Brewers,Cincinnati Reds,4.1,7.0,9,6,4,1,4,1,5,1,1,4,0,1,0.0,0.0,0.0,0.0,90,116,50,73,0,0,1,0,0,0,26,29,7,8,4,10,0,0,0,0,0,0,0,0,0,0
246067,2009-08-25,425844,475416,Zack Greinke,Justin Masterson,Kansas City Royals,Cleveland Indians,8.0,6.0,5,7,2,4,2,4,1,2,15,4,1,1,0.0,0.0,0.0,0.0,117,98,77,63,0,0,0,0,0,0,29,25,2,10,6,2,1,0,0,1,0,0,0,0,0,0
246064,2009-08-25,471803,451085,Armando Gabino,Brian Matusz,Minnesota Twins,Baltimore Orioles,2.2,5.0,5,7,4,3,4,3,3,2,1,3,0,1,0.0,0.0,0.0,0.0,57,99,32,57,0,0,0,0,0,0,16,24,3,5,4,7,0,0,0,0,0,0,0,0,0,0
246069,2009-08-25,425794,434643,Adam Wainwright,Wandy Rodriguez,St. Louis Cardinals,Houston Astros,8.0,7.0,3,3,0,1,0,1,0,1,5,6,0,0,0.0,0.0,0.0,0.0,114,93,75,64,0,0,0,0,0,0,27,25,12,7,7,8,1,0,0,1,0,0,0,0,0,0
246070,2009-08-25,434628,477132,Jason Hammel,Clayton Kershaw,Colorado Rockies,Los Angeles Dodgers,7.0,6.1,8,4,2,2,2,2,2,1,4,6,1,1,0.0,0.0,0.0,0.0,118,104,71,68,0,0,0,1,0,0,31,23,10,6,7,6,0,0,0,0,0,0,0,0,0,0
246068,2009-08-25,407793,132220,John Lackey,Jarrod Washburn,Los Angeles Angels,Detroit Tigers,6.0,6.0,11,8,5,3,5,3,1,2,6,3,2,1,0.0,0.0,0.0,0.0,117,107,75,59,0,0,0,0,0,0,29,27,8,6,3,8,0,1,1,0,0,0,0,0,0,0
246072,2009-08-25,434884,474463,Ryan Rowland-Smith,Brett Anderson,Seattle Mariners,Oakland Athletics,6.1,7.0,9,6,2,1,2,1,0,1,1,8,0,1,0.0,0.0,0.0,0.0,98,106,65,67,0,0,0,0,0,0,28,26,7,4,11,7,0,0,0,0,0,0,0,0,0,0
246063,2009-08-25,430912,429717,Matt Cain,Dan Haren,San Francisco Giants,Arizona Diamondbacks,7.0,7.0,4,6,2,2,1,2,4,1,4,6,0,1,0.0,0.0,0.0,0.0,102,105,61,71,0,0,0,3,0,0,28,29,11,11,4,5,0,0,0,0,0,0,0,0,0,0
