game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
245128,2009-06-13,3.0,0,0,0,3,0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,1,0,1,2,0,0.0,1.0,9.0,2.0,0.0,4.5
245125,2009-06-13,5.3333,3,1,1,5,0,1.69,0.75,8.44,5.0,0.0,1.69,3.3333,2,0,2,4,0,0.0,1.2,10.8,2.0,0.0,5.4
245122,2009-06-13,7.3333,2,1,2,10,1,1.23,0.55,12.27,5.0,1.23,2.45,1.0,1,1,2,2,0,9.0,3.0,18.0,1.0,0.0,18.0
245133,2009-06-13,2.0,2,1,1,3,0,4.5,1.5,13.5,3.0,0.0,4.5,3.0,3,0,1,3,0,0.0,1.33,9.0,3.0,0.0,3.0
245129,2009-06-13,4.0,5,1,0,2,1,2.25,1.25,4.5,0.0,2.25,0.0,2.3333,1,0,0,2,0,0.0,0.43,7.71,0.0,0.0,0.0
245134,2009-06-13,1.6667,1,0,0,2,0,0.0,0.6,10.8,0.0,0.0,0.0,3.0,8,7,1,1,2,21.0,3.0,3.0,1.0,6.0,3.0
245124,2009-06-13,1.0,1,0,1,1,0,0.0,2.0,9.0,1.0,0.0,9.0,6.0,8,5,1,6,1,7.5,1.5,9.0,6.0,1.5,1.5
245121,2009-06-13,8.0,10,6,8,6,1,6.75,2.25,6.75,0.75,1.12,9.0,5.0,6,2,0,5,1,3.6,1.2,9.0,0.0,1.8,0.0
245120,2009-06-13,5.0,4,0,0,2,0,0.0,0.8,3.6,0.0,0.0,0.0,3.0,7,4,3,0,0,12.0,3.33,0.0,0.0,0.0,9.0
245123,2009-06-13,4.0,4,1,0,6,1,2.25,1.0,13.5,0.0,2.25,0.0,3.0,3,1,1,0,0,3.0,1.33,0.0,0.0,0.0,3.0
245127,2009-06-13,4.0,4,3,1,3,1,6.75,1.25,6.75,3.0,2.25,2.25,4.0,4,1,0,1,1,2.25,1.0,2.25,0.0,2.25,0.0
245126,2009-06-13,2.0,3,3,1,1,0,13.5,2.0,4.5,1.0,0.0,4.5,2.0,4,3,2,2,0,13.5,3.0,9.0,1.0,0.0,9.0
245132,2009-06-13,2.0,3,2,1,4,1,9.0,2.0,18.0,4.0,4.5,4.5,5.0,6,2,3,0,0,3.6,1.8,0.0,0.0,0.0,5.4
245131,2009-06-13,0.6667,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333,5,2,0,3,1,7.71,2.14,11.57,0.0,3.86,0.0
245130,2009-06-13,2.0,1,0,0,2,0,0.0,0.5,9.0,0.0,0.0,0.0,2.0,4,1,0,2,0,4.5,2.0,9.0,0.0,0.0,0.0
