game_pk,date,home_bullpen_ip,away_bullpen_ip,home_bullpen_hits,away_bullpen_hits,home_bullpen_earned_runs,away_bullpen_earned_runs,home_bullpen_walks,away_bullpen_walks,home_bullpen_strikeouts,away_bullpen_strikeouts,home_bullpen_homeruns,away_bullpen_homeruns,home_bullpen_era,away_bullpen_era,home_bullpen_whip,away_bullpen_whip,home_bullpen_k_per_9,away_bullpen_k_per_9,home_bullpen_k_bb_ratio,away_bullpen_k_bb_ratio,home_bullpen_hr_per_9,away_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_bb_per_9
245420,2009-07-05,3.0,3.0,3,1,2,0,1,0,1,3,1,0,6.0,0.0,1.33,0.33,3.0,9.0,1.0,0.0,3.0,0.0,3.0,0.0
245425,2009-07-05,5.8,4.8,3,5,0,3,0,3,7,3,0,1,0.0,5.62,0.52,1.67,10.86,5.62,0.0,1.0,0.0,1.88,0.0,5.62
245423,2009-07-05,4.0,2.0,4,1,2,0,3,1,0,2,0,0,4.5,0.0,1.75,1.0,0.0,9.0,0.0,2.0,0.0,0.0,6.75,4.5
245421,2009-07-05,1.0,3.0,0,1,0,0,1,0,1,0,0,0,0.0,0.0,1.0,0.33,9.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0
245422,2009-07-05,2.8,2.0,0,3,0,4,0,4,3,1,0,0,0.0,18.0,0.0,3.5,9.64,4.5,0.0,0.25,0.0,0.0,0.0,18.0
245419,2009-07-05,1.9,1.0,0,0,0,0,0,1,3,1,0,0,0.0,0.0,0.0,1.0,14.21,9.0,0.0,1.0,0.0,0.0,0.0,9.0
245412,2009-07-05,0.8,2.9,1,4,0,1,1,0,0,4,0,0,0.0,3.1,2.5,1.38,0.0,12.41,0.0,0.0,0.0,0.0,11.25,0.0
245415,2009-07-05,0.0,4.0,0,5,0,0,0,1,0,5,0,0,0.0,0.0,0.0,1.5,0.0,11.25,0.0,5.0,0.0,0.0,0.0,2.25
245414,2009-07-05,3.0,4.8,2,6,1,2,0,2,2,3,1,1,3.0,3.75,0.67,1.67,6.0,5.62,0.0,1.5,3.0,1.88,0.0,3.75
245418,2009-07-05,2.9,3.8,2,4,0,1,0,0,2,3,0,0,0.0,2.37,0.69,1.05,6.21,7.11,0.0,0.0,0.0,0.0,0.0,0.0
245411,2009-07-05,2.9,3.0,0,1,0,0,1,1,3,1,0,0,0.0,0.0,0.34,0.67,9.31,3.0,3.0,1.0,0.0,0.0,3.1,3.0
245413,2009-07-05,3.9,2.9,3,2,0,3,0,4,5,3,0,0,0.0,9.31,0.77,2.07,11.54,9.31,0.0,0.75,0.0,0.0,0.0,12.41
245417,2009-07-05,8.9,5.0,9,2,1,3,4,6,7,3,1,0,1.01,5.4,1.46,1.6,7.08,5.4,1.75,0.5,1.01,0.0,4.04,10.8
245416,2009-07-05,5.8,1.0,5,0,3,0,2,0,5,0,0,0,4.66,0.0,1.21,0.0,7.76,0.0,2.5,0.0,0.0,0.0,3.1,0.0
245424,2009-07-05,3.0,3.0,0,1,0,0,0,1,3,2,0,0,0.0,0.0,0.0,0.67,9.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0
