game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
265814,2010-09-04,111,145,BOS,CWS,Red Sox,White Sox,Boston Red Sox,Chicago White Sox,0,0,regular,regular,2010,2010,138,137,34,35,1,3,7,13,1,4,0,0,0,0,1,2,8,17,3,1,7,4,0,0,0.268,0.271,0.339,0.335,0.452,0.432,0.791,0.767,0,1,1,0,4.15,3.96,9.0,9.0,13,7,3,1,0,0,1,3,4,7,0.0,0.0,1.34,1.33,0,0,2010-09-04
265827,2010-09-04,133,108,OAK,LAA,Athletics,Angels,Oakland Athletics,Los Angeles Angels,0,0,regular,regular,2010,2010,135,136,28,30,3,1,6,5,2,0,0,0,0,1,3,1,8,8,3,6,5,6,1,1,0.254,0.254,0.321,0.316,0.374,0.398,0.695,0.714,1,0,0,1,3.52,4.33,9.0,8.0,5,6,1,3,1,0,6,3,6,5,0.0,0.0,1.26,1.4,0,0,2010-09-04
265828,2010-09-04,146,144,FLA,ATL,Marlins,Braves,Florida Marlins,Atlanta Braves,0,0,regular,regular,2010,2010,137,136,29,34,0,2,4,10,0,3,0,0,0,0,0,2,4,13,3,4,8,15,0,0,0.256,0.261,0.322,0.342,0.406,0.408,0.728,0.75,0,1,1,0,3.95,3.51,9.0,9.0,10,4,2,0,0,0,4,3,15,8,0.0,0.0,1.35,1.26,0,1,2010-09-04
265829,2010-09-04,111,145,BOS,CWS,Red Sox,White Sox,Boston Red Sox,Chicago White Sox,0,0,regular,regular,2010,2010,139,138,33,33,1,3,6,6,1,1,0,1,0,0,1,1,7,9,4,2,7,8,0,0,0.267,0.271,0.338,0.334,0.45,0.43,0.788,0.764,0,1,1,0,4.12,3.94,9.0,9.0,6,6,1,1,0,0,2,4,8,7,0.0,0.0,1.33,1.33,2,0,2010-09-04
265830,2010-09-04,136,114,SEA,CLE,Mariners,Indians,Seattle Mariners,Cleveland Indians,0,0,regular,regular,2010,2010,137,137,35,34,2,4,9,8,1,2,0,0,1,0,2,4,13,10,1,3,9,8,0,1,0.236,0.248,0.3,0.321,0.34,0.378,0.64,0.699,0,1,1,0,3.86,4.47,9.0,9.0,8,9,4,1,0,1,3,1,8,9,0.0,0.0,1.29,1.48,0,1,2010-09-04
265831,2010-09-04,135,115,SD,COL,Padres,Rockies,San Diego Padres,Colorado Rockies,0,0,regular,regular,2010,2010,135,139,33,38,2,6,6,10,2,4,0,0,0,0,2,5,8,14,2,5,4,15,0,2,0.25,0.262,0.321,0.335,0.377,0.425,0.698,0.76,0,1,1,0,3.37,4.1,9.0,9.0,10,6,5,2,0,0,5,2,15,4,0.0,0.0,1.23,1.33,1,0,2010-09-04
265832,2010-09-04,118,116,KC,DET,Royals,Tigers,Kansas City Royals,Detroit Tigers,0,0,regular,regular,2010,2010,136,140,34,37,4,6,9,11,0,2,0,0,1,1,4,5,12,16,2,5,7,10,0,0,0.274,0.27,0.329,0.34,0.393,0.417,0.722,0.757,0,1,1,0,5.06,4.32,9.0,9.0,11,9,5,4,1,1,5,2,10,7,0.0,0.0,1.49,1.39,1,0,2010-09-04
265833,2010-09-04,109,117,AZ,HOU,D-backs,Astros,Arizona Diamondbacks,Houston Astros,0,0,regular,regular,2010,2010,136,135,36,34,5,6,10,8,2,2,1,1,1,1,5,5,17,15,4,3,7,6,1,1,0.253,0.247,0.33,0.303,0.423,0.361,0.753,0.664,0,1,1,0,4.97,4.09,9.0,9.0,8,10,6,5,1,1,3,4,6,7,0.0,0.0,1.46,1.39,0,0,2010-09-04
265834,2010-09-04,143,158,PHI,MIL,Phillies,Brewers,Philadelphia Phillies,Milwaukee Brewers,0,0,regular,regular,2010,2010,139,135,31,34,5,4,9,7,0,1,0,0,2,4,4,4,15,20,2,2,6,8,0,0,0.255,0.263,0.325,0.334,0.406,0.429,0.731,0.763,1,0,0,1,3.75,4.9,9.0,8.0,7,9,4,4,4,2,2,2,8,6,0.0,0.0,1.25,1.49,0,1,2010-09-04
265835,2010-09-04,112,121,CHC,NYM,Cubs,Mets,Chicago Cubs,New York Mets,0,0,regular,regular,2010,2010,137,138,35,31,5,3,12,6,4,1,0,0,1,1,4,2,19,10,4,3,6,11,1,3,0.263,0.247,0.324,0.313,0.416,0.377,0.74,0.69,1,0,0,1,4.37,3.71,9.0,8.0,6,12,3,5,1,1,3,4,11,6,0.0,0.0,1.42,1.38,0,0,2010-09-04
