game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
265582,2010-08-17,453329,450308,Clay Buchholz,Jered Weaver,Boston Red Sox,Los Angeles Angels,7.0,5.0,5,6,0,6,0,6,2,2,3,4,0,2,0.0,0.0,0.0,0.0,113,98,64,60,0,0,0,0,0,0,27,23,13,5,4,6,1,0,0,1,0,0,0,0,0,0
265583,2010-08-17,543339,276520,Daniel Hudson,Bronson Arroyo,Arizona Diamondbacks,Cincinnati Reds,7.0,7.1,9,6,3,2,3,2,0,2,10,5,1,1,0.0,0.0,0.0,0.0,106,104,73,65,1,0,0,0,0,0,28,30,4,9,4,8,0,1,1,0,0,0,0,0,0,0
265584,2010-08-17,425844,491646,Zack Greinke,Jeanmar Gómez,Kansas City Royals,Cleveland Indians,6.0,6.0,5,7,1,2,1,2,3,2,4,3,0,2,0.0,0.0,0.0,0.0,105,106,57,59,0,0,0,0,0,0,26,26,9,8,5,6,1,0,0,1,0,0,0,0,0,0
265585,2010-08-17,477132,468504,Clayton Kershaw,Jhoulys Chacín,Los Angeles Dodgers,Colorado Rockies,7.0,5.0,5,5,0,5,0,5,3,5,6,4,0,0,0.0,0.0,0.0,0.0,116,100,68,53,0,0,0,0,0,0,29,24,6,6,9,4,1,0,0,1,0,0,0,0,0,0
265586,2010-08-17,282332,434378,CC Sabathia,Justin Verlander,New York Yankees,Detroit Tigers,7.0,5.0,5,5,2,3,2,3,3,5,9,5,2,1,0.0,0.0,0.0,0.0,115,114,71,66,0,1,1,0,0,0,28,25,5,4,6,5,1,0,0,1,0,0,0,0,0,0
265587,2010-08-17,435043,445060,Zach Duke,Ricky Nolasco,Pittsburgh Pirates,Florida Marlins,5.2,6.0,9,5,5,0,5,0,2,1,4,9,0,0,0.0,0.0,0.0,0.0,101,108,61,71,0,0,0,1,0,0,27,23,8,4,4,4,0,1,1,0,0,0,0,0,0,0
265588,2010-08-17,448694,279782,Randy Wells,Jon Garland,Chicago Cubs,San Diego Padres,7.0,7.0,3,4,1,0,1,0,3,3,6,3,0,0,0.0,0.0,0.0,0.0,122,92,71,61,1,0,0,0,0,0,28,26,9,11,6,5,0,1,1,0,0,0,0,0,0,0
265589,2010-08-17,119154,448287,Kevin Millwood,Luke French,Baltimore Orioles,Seattle Mariners,8.0,7.2,6,3,1,0,1,0,3,3,4,3,0,0,0.0,0.0,0.0,0.0,112,107,68,72,0,0,0,0,0,0,31,28,8,9,10,10,0,1,1,0,0,0,0,0,0,0
265590,2010-08-17,400061,217096,Roy Oswalt,Barry Zito,Philadelphia Phillies,San Francisco Giants,7.0,5.0,6,8,3,4,3,4,0,1,7,0,2,0,0.0,0.0,0.0,0.0,106,91,75,60,0,0,0,0,0,0,26,23,5,8,8,6,1,0,0,1,0,0,0,0,0,0
265591,2010-08-17,490063,488984,Matt Garza,Tommy Hunter,Tampa Bay Rays,Texas Rangers,7.0,3.0,5,6,0,4,0,4,2,3,10,4,0,0,0.0,0.0,0.0,0.0,102,83,66,52,0,0,1,0,0,0,28,18,5,2,6,3,1,0,0,1,0,0,0,0,0,0
265592,2010-08-17,460284,453344,Dallas Braden,Brandon Morrow,Oakland Athletics,Toronto Blue Jays,7.0,4.0,3,4,2,2,1,2,2,3,5,2,0,0,0.0,0.0,0.0,0.0,104,80,62,47,0,0,0,2,0,0,26,19,4,2,12,8,1,0,0,0,0,0,0,0,0,0
265593,2010-08-17,501985,435179,Mike Minor,Scott Olsen,Atlanta Braves,Washington Nationals,6.0,5.0,5,3,2,3,2,3,2,1,5,4,0,1,0.0,0.0,0.0,0.0,105,70,68,40,0,1,0,0,0,0,25,20,7,6,6,5,1,0,0,1,0,0,0,0,0,0
265594,2010-08-17,150153,276371,Nelson Figueroa,Johan Santana,Houston Astros,New York Mets,5.0,8.0,4,9,2,4,1,4,3,1,4,7,0,2,0.0,0.0,0.0,0.0,89,103,53,71,0,0,0,0,0,0,21,32,4,9,6,6,0,0,0,1,0,0,0,0,0,0
265595,2010-08-17,435044,433579,Scott Baker,John Danks,Minnesota Twins,Chicago White Sox,4.2,7.0,7,11,4,5,4,5,2,1,3,4,2,2,0.0,0.0,0.0,0.0,91,104,58,70,0,0,0,0,0,0,23,32,4,8,7,8,0,0,0,0,0,0,0,0,0,0
265596,2010-08-17,448802,433657,Jaime García,Dave Bush,St. Louis Cardinals,Milwaukee Brewers,6.0,6.0,5,4,3,1,0,1,3,1,6,3,1,1,0.0,0.0,0.0,0.0,102,91,65,61,0,0,0,0,0,0,27,22,11,6,2,8,0,1,1,0,0,0,0,0,0,0
