game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
265130,2010-07-11,116,142,DET,MIN,Tigers,Twins,Detroit Tigers,Minnesota Twins,0,0,regular,regular,2010,2010,89,90,32,34,3,6,6,10,2,3,0,0,0,0,3,6,8,13,2,6,7,4,1,0,.275,.271,.344,.343,.424,.420,.768,.763,0,1,1,0,4.29,4.08,9.0,9.0,10,6,6,3,0,0,6,2,4,7,.000,.000,1.39,1.27,0,0,2010-07-11
265135,2010-07-11,141,111,TOR,BOS,Blue Jays,Red Sox,Toronto Blue Jays,Boston Red Sox,0,0,regular,regular,2010,2010,89,89,35,32,2,3,8,6,1,1,0,0,1,2,2,3,12,13,0,2,6,7,0,0,.240,.276,.306,.350,.445,.468,.751,.818,0,1,1,0,4.30,4.34,9.0,9.0,6,8,3,2,2,1,2,0,7,6,.000,.000,1.34,1.36,0,0,2010-07-11
265123,2010-07-11,121,144,NYM,ATL,Mets,Braves,New York Mets,Atlanta Braves,0,0,regular,regular,2010,2010,90,88,34,32,3,0,13,5,1,1,1,0,1,0,3,0,19,6,3,3,5,6,1,0,.260,.260,.324,.343,.401,.394,.725,.737,1,0,0,1,3.76,3.60,9.0,8.0,5,13,0,3,0,1,3,3,6,5,.000,.000,1.42,1.28,0,0,2010-07-11
265134,2010-07-11,120,137,WSH,SF,Nationals,Giants,Washington Nationals,San Francisco Giants,0,0,regular,regular,2010,2010,90,88,36,32,2,6,10,7,0,0,0,1,0,0,2,6,10,9,4,3,8,7,1,0,.259,.261,.329,.326,.404,.406,.733,.732,0,1,1,0,4.25,3.50,9.0,9.0,7,10,6,2,0,0,3,4,7,8,.000,.000,1.42,1.35,0,1,2010-07-11
265126,2010-07-11,143,113,PHI,CIN,Phillies,Reds,Philadelphia Phillies,Cincinnati Reds,0,0,regular,regular,2010,2010,90,90,28,29,1,0,4,6,2,1,0,0,0,0,1,0,6,7,2,4,4,5,1,0,.255,.272,.323,.338,.414,.441,.737,.779,1,0,0,1,3.92,4.19,9.0,8.0,6,4,0,1,0,0,4,2,5,4,.000,.000,1.27,1.39,0,0,2010-07-11
265127,2010-07-11,139,114,TB,CLE,Rays,Indians,Tampa Bay Rays,Cleveland Indians,0,0,regular,regular,2010,2010,89,89,38,38,6,5,11,9,2,4,0,0,1,0,5,4,16,13,10,1,7,9,3,1,.256,.245,.341,.321,.405,.382,.746,.703,1,0,0,1,3.59,4.64,10.0,9.1,9,11,4,5,0,1,1,10,9,7,.000,.000,1.23,1.51,1,1,2010-07-11
265136,2010-07-11,117,138,HOU,STL,Astros,Cardinals,Houston Astros,St. Louis Cardinals,0,0,regular,regular,2010,2010,89,88,35,33,2,4,10,8,0,1,0,0,0,1,2,4,10,12,4,3,4,7,1,0,.238,.260,.296,.331,.347,.413,.643,.744,0,1,1,0,4.43,3.39,9.0,9.0,8,10,4,2,1,0,3,4,7,4,.000,.000,1.45,1.29,0,0,2010-07-11
265129,2010-07-11,145,118,CWS,KC,White Sox,Royals,Chicago White Sox,Kansas City Royals,0,0,regular,regular,2010,2010,88,88,38,32,15,5,18,10,4,2,0,0,5,1,15,5,37,15,3,3,3,6,0,0,.257,.282,.327,.337,.417,.405,.744,.742,1,0,0,1,4.01,4.76,9.0,8.0,10,18,5,14,1,5,3,3,6,3,.000,.000,1.31,1.43,0,1,2010-07-11
265132,2010-07-11,158,134,MIL,PIT,Brewers,Pirates,Milwaukee Brewers,Pittsburgh Pirates,0,0,regular,regular,2010,2010,89,89,33,32,6,5,11,9,2,1,0,0,3,2,6,5,22,16,3,4,6,6,1,1,.260,.235,.336,.301,.432,.356,.768,.657,1,0,0,1,4.84,5.10,9.0,8.1,9,11,5,6,2,3,4,3,6,6,.000,.000,1.52,1.52,0,0,2010-07-11
265124,2010-07-11,140,110,TEX,BAL,Rangers,Orioles,Texas Rangers,Baltimore Orioles,0,0,regular,regular,2010,2010,88,89,34,35,1,4,9,8,0,3,0,0,1,1,1,4,12,14,4,5,3,8,1,2,.278,.259,.343,.319,.425,.386,.768,.705,0,1,1,0,3.97,4.99,9.0,9.0,8,9,4,1,1,1,5,4,8,3,.000,.000,1.34,1.51,1,0,2010-07-11
265133,2010-07-11,115,135,COL,SD,Rockies,Padres,Colorado Rockies,San Diego Padres,0,0,regular,regular,2010,2010,92,89,34,41,7,9,9,16,2,3,1,0,0,1,7,7,13,22,5,4,5,7,0,4,.269,.250,.342,.319,.431,.372,.773,.691,0,1,1,0,4.05,3.25,9.0,9.0,16,9,7,7,1,0,4,5,7,5,.000,.000,1.32,1.23,1,0,2010-07-11
265122,2010-07-11,133,108,OAK,LAA,Athletics,Angels,Oakland Athletics,Los Angeles Angels,0,0,regular,regular,2010,2010,89,91,33,36,5,2,9,9,2,1,0,0,1,1,5,2,14,13,1,2,11,6,2,1,.262,.253,.324,.319,.383,.397,.707,.716,1,0,0,1,3.85,4.50,9.0,8.0,9,9,1,5,1,1,2,1,6,11,.000,.000,1.30,1.42,1,1,2010-07-11
265128,2010-07-11,109,146,AZ,FLA,D-backs,Marlins,Arizona Diamondbacks,Florida Marlins,0,0,regular,regular,2010,2010,89,90,31,30,0,2,8,5,0,1,0,0,0,0,0,2,8,6,2,1,8,5,2,1,.252,.262,.329,.325,.419,.401,.748,.726,0,1,1,0,5.27,4.04,9.0,9.0,5,8,2,0,0,0,1,2,5,8,.000,.000,1.51,1.35,1,0,2010-07-11
265131,2010-07-11,136,147,SEA,NYY,Mariners,Yankees,Seattle Mariners,New York Yankees,0,0,regular,regular,2010,2010,88,90,32,39,2,8,7,11,1,5,0,0,1,1,2,7,11,19,1,2,2,4,0,0,.238,.271,.307,.353,.346,.434,.653,.787,0,1,1,0,3.89,3.81,9.0,9.0,11,7,6,2,1,1,2,1,4,2,.000,.000,1.30,1.25,2,0,2010-07-11
265125,2010-07-11,119,112,LAD,CHC,Dodgers,Cubs,Los Angeles Dodgers,Chicago Cubs,0,0,regular,regular,2010,2010,89,90,29,30,7,0,8,4,1,3,0,0,1,0,6,0,12,7,7,1,8,6,0,0,.269,.254,.338,.321,.406,.398,.744,.719,1,0,0,1,4.09,3.96,9.0,8.0,4,8,0,7,0,1,1,7,6,8,.000,.000,1.33,1.33,0,0,2010-07-11
