game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
263944,2010-04-15,114,140,CLE,TEX,Indians,Rangers,Cleveland Indians,Texas Rangers,0,0,regular,regular,2010,2010,9,9,32,29,3,2,6,4,1,0,0,0,1,1,3,2,10,7,1,1,3,4,0,0,0.211,0.257,0.303,0.317,0.322,0.409,0.625,0.726,1,0,0,1,4.13,2.67,9.0,8.0,4,6,2,1,1,1,1,1,4,3,0.0,0.0,1.48,1.26,0,3,2010-04-15
263946,2010-04-15,142,111,MIN,BOS,Twins,Red Sox,Minnesota Twins,Boston Red Sox,0,0,regular,regular,2010,2010,10,9,39,32,8,0,15,6,5,1,0,0,1,0,7,0,23,7,2,3,4,10,0,0,0.274,0.271,0.352,0.335,0.447,0.452,0.799,0.787,1,0,0,1,2.9,4.78,9.0,8.0,6,15,0,7,0,1,3,2,10,4,0.0,0.0,1.21,1.58,0,3,2010-04-15
263947,2010-04-15,138,117,STL,HOU,Cardinals,Astros,St. Louis Cardinals,Houston Astros,0,0,regular,regular,2010,2010,9,9,33,34,1,5,6,9,3,3,0,0,0,0,1,5,9,12,3,0,12,2,0,0,0.24,0.22,0.316,0.242,0.421,0.29,0.737,0.532,0,1,1,0,2.94,4.78,9.0,9.0,9,6,5,0,0,0,0,3,2,12,0.0,0.0,1.12,1.57,0,1,2010-04-15
263942,2010-04-15,112,158,CHC,MIL,Cubs,Brewers,Chicago Cubs,Milwaukee Brewers,0,0,regular,regular,2010,2010,9,9,36,41,6,8,10,14,4,2,0,0,3,2,6,8,23,22,4,5,9,8,0,2,0.247,0.275,0.324,0.355,0.435,0.451,0.759,0.806,0,1,1,0,5.14,5.81,9.0,9.0,14,10,6,6,2,3,5,4,8,9,0.0,0.0,1.47,1.49,3,0,2010-04-15
263945,2010-04-15,143,120,PHI,WSH,Phillies,Nationals,Philadelphia Phillies,Washington Nationals,0,0,regular,regular,2010,2010,9,9,35,33,5,7,9,9,2,1,0,0,2,2,5,7,17,16,5,9,7,6,0,4,0.311,0.233,0.395,0.336,0.528,0.395,0.923,0.731,0,1,1,0,3.71,7.04,9.0,9.0,9,9,6,5,2,2,9,5,6,7,0.0,0.0,1.38,1.83,1,0,2010-04-15
263943,2010-04-15,115,121,COL,NYM,Rockies,Mets,Colorado Rockies,New York Mets,0,0,regular,regular,2010,2010,9,9,29,33,0,5,5,8,0,2,0,0,0,0,0,3,5,10,2,6,9,7,0,1,0.269,0.243,0.343,0.337,0.456,0.395,0.799,0.732,0,1,1,0,3.39,4.33,9.0,9.0,8,5,4,0,0,0,6,2,7,9,0.0,0.0,1.29,1.4,1,0,2010-04-15
263939,2010-04-15,135,144,SD,ATL,Padres,Braves,San Diego Padres,Atlanta Braves,0,0,regular,regular,2010,2010,9,9,32,35,2,6,6,9,1,3,0,0,1,1,2,6,10,15,5,4,4,6,0,2,0.241,0.232,0.316,0.328,0.384,0.362,0.7,0.69,0,1,1,0,3.95,4.03,9.0,9.0,9,6,6,2,1,1,4,5,6,4,0.0,0.0,1.3,1.28,0,0,2010-04-15
263937,2010-04-15,147,108,NYY,LAA,Yankees,Angels,New York Yankees,Los Angeles Angels,0,0,regular,regular,2010,2010,9,10,33,31,6,2,9,6,3,0,2,0,3,1,6,2,25,9,6,7,7,11,0,1,0.277,0.26,0.377,0.321,0.49,0.401,0.867,0.722,1,0,0,1,4.05,5.63,9.0,8.0,6,9,2,6,1,3,7,6,11,7,0.0,0.0,1.34,1.52,0,0,2010-04-15
263948,2010-04-15,141,145,TOR,CWS,Blue Jays,White Sox,Toronto Blue Jays,Chicago White Sox,0,0,regular,regular,2010,2010,10,10,34,31,7,3,12,5,5,0,0,0,1,2,7,3,20,11,6,3,15,8,2,0,0.232,0.221,0.323,0.316,0.444,0.397,0.767,0.713,1,0,0,1,3.94,3.64,9.0,8.0,5,12,3,7,2,1,3,6,8,15,0.0,0.0,1.15,1.33,0,0,2010-04-15
263941,2010-04-15,146,113,FLA,CIN,Marlins,Reds,Florida Marlins,Cincinnati Reds,0,0,regular,regular,2010,2010,10,10,38,34,10,2,15,7,6,1,0,1,1,0,10,2,24,10,5,2,8,14,0,3,0.278,0.236,0.35,0.298,0.428,0.392,0.778,0.69,1,0,0,1,4.45,5.34,9.0,8.0,7,15,2,10,0,1,2,5,14,8,0.0,0.0,1.38,1.48,1,0,2010-04-15
