game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
263926,2010-04-14,519144,434678,Rick Porcello,Kyle Davies,Detroit Tigers,Kansas City Royals,6.0,6.2,10,7,3,3,3,3,0,3,2,5,0,1,0.0,0.0,0.0,0.0,96,99,63,58,0,1,0,0,0,0,27,29,8,4,7,9,0,1,0,0,0,0,0,0,0,0
263922,2010-04-14,134320,334492,Javier Vazquez,Joel Pineiro,New York Yankees,Los Angeles Angels,5.1,7.0,6,5,4,1,4,1,2,0,4,7,0,0,0.0,0.0,0.0,0.0,100,107,60,68,0,0,1,0,0,0,23,26,3,11,8,3,0,1,1,0,0,0,0,0,0,0
263933,2010-04-14,458713,407793,Kevin Slowey,John Lackey,Minnesota Twins,Boston Red Sox,5.0,6.2,5,7,3,2,3,2,4,4,5,2,1,0,0.0,0.0,0.0,0.0,98,107,58,64,0,0,1,0,0,0,23,29,4,5,5,11,0,1,1,0,0,0,0,0,0,0
263930,2010-04-14,448269,456034,Brad Bergesen,David Price,Baltimore Orioles,Tampa Bay Rays,3.0,7.0,7,4,8,1,5,1,2,2,3,7,2,1,0.0,0.0,0.0,0.0,73,109,50,70,1,0,0,0,0,0,20,26,1,3,6,10,0,1,1,0,0,0,0,0,0,0
263927,2010-04-14,448694,433657,Randy Wells,Dave Bush,Chicago Cubs,Milwaukee Brewers,6.1,6.0,10,7,4,2,4,2,1,0,7,2,0,1,0.0,0.0,0.0,0.0,104,77,70,56,0,1,0,0,0,0,29,24,4,7,7,7,0,0,0,0,0,0,0,0,0,0
263934,2010-04-14,456043,450203,Jonathan Sánchez,Charlie Morton,San Francisco Giants,Pittsburgh Pirates,8.0,6.0,3,8,0,6,0,6,3,0,11,3,0,3,0.0,0.0,0.0,0.0,109,79,70,51,0,0,0,0,0,0,29,25,5,9,7,5,1,0,0,1,0,0,0,0,0,0
263931,2010-04-14,475416,407890,Justin Masterson,Colby Lewis,Cleveland Indians,Texas Rangers,6.0,5.1,9,3,4,2,2,2,0,4,9,10,1,0,0.0,0.0,0.0,0.0,106,117,69,74,0,1,0,0,0,0,27,24,9,2,0,4,0,1,1,0,0,0,0,0,0,0
263932,2010-04-14,452718,489334,Kyle Kendrick,Craig Stammen,Philadelphia Phillies,Washington Nationals,1.2,1.1,6,7,6,7,6,7,3,1,1,0,0,1,0.0,0.0,0.0,0.0,52,53,23,34,1,0,0,0,0,0,14,12,2,1,1,3,0,0,0,0,0,0,0,0,0,0
263935,2010-04-14,453344,433579,Brandon Morrow,John Danks,Toronto Blue Jays,Chicago White Sox,4.0,7.0,8,2,7,1,7,1,1,3,3,6,2,0,0.0,0.0,0.0,0.0,87,103,51,65,1,0,0,0,0,0,22,26,1,6,8,9,0,1,1,0,0,0,0,0,0,0
263925,2010-04-14,458690,456701,Chris Volstad,Homer Bailey,Florida Marlins,Cincinnati Reds,6.2,5.1,5,8,3,5,3,5,4,4,5,3,1,2,0.0,0.0,0.0,0.0,117,115,73,71,0,0,0,0,0,0,29,28,8,10,7,3,1,0,0,1,0,0,0,0,0,0
263928,2010-04-14,346871,477003,Aaron Cook,Jonathon Niese,Colorado Rockies,New York Mets,6.0,5.0,4,9,3,5,3,5,4,1,4,2,2,1,0.0,0.0,0.0,0.0,103,99,58,61,0,2,0,0,0,0,26,26,9,5,5,7,0,0,0,0,0,0,0,0,0,0
263929,2010-04-14,450306,461829,Jason Vargas,Gio Gonzalez,Seattle Mariners,Oakland Athletics,6.0,4.2,5,6,2,2,2,2,0,4,6,5,1,0,0.0,0.0,0.0,0.0,89,98,56,55,0,0,0,0,0,0,22,23,2,5,9,3,1,0,0,0,0,0,0,0,0,0
