Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2011-04-09,ATL,PHI,2,10,-107,-103,-109,101,7.5,7.5,7.5,7.5,-105,-115,105,-115
2011-04-09,BOS,NYY,4,9,-147,137,-149,139,10.0,10.0,10.5,10.5,-110,-110,-110,100
2011-04-09,DET,KC,1,3,-175,165,-160,150,9.5,9.5,9.5,9.5,-105,-115,104,-114
2011-04-09,HOU,FLO,5,7,-104,-106,-107,-103,8.5,8.5,8.5,8.5,-110,-110,-105,-105
2011-04-09,BAL,TEX,5,0,-108,-102,-105,-105,9.0,9.0,9.0,9.0,-115,-105,-120,100
2011-04-09,PIT,COL,4,6,-108,-102,-110,-102,9.0,9.0,8.5,8.5,100,-120,-105,-105
2011-04-09,MIN,OAK,0,1,-105,-105,-111,101,8.0,8.0,8.0,8.0,-105,-115,-105,-115
2011-04-09,NYM,WAS,8,4,-130,120,-135,125,8.5,8.5,8.0,8.0,100,-120,113,-123
2011-04-09,ARI,CIN,1,6,-104,-106,-115,-103,8.5,8.5,8.5,8.5,-115,-105,-110,100
2011-04-09,SD,LAD,0,4,104,-114,110,-120,7.0,7.0,7.0,7.0,100,-120,110,-120
2011-04-09,SF,SLC,3,2,-152,142,-144,134,6.5,6.5,6.5,6.5,-115,-105,-130,120
2011-04-09,LAA,TOR,6,5,-105,-105,-103,-107,9.0,9.0,9.0,9.0,-105,-115,-105,-105
2011-04-09,SEA,CLE,1,2,-120,110,-111,101,7.5,7.5,7.5,7.5,-110,-110,110,-110
2011-04-09,CHW,TB,4,2,-120,110,-110,100,9.0,9.0,9.0,9.0,100,-120,-120,110
2011-04-09,MIL,CHC,6,0,-107,-103,-108,100,8.5,8.5,8.5,8.5,105,-125,-105,-105
2011-04-09,BAL,TEX,5,0,106,-116,104,-114,8.5,8.5,8.5,8.5,-105,-115,100,-110
