game_pk,date,home_hr_per_9_rolling_10,away_hr_per_9_rolling_10
286874,2011-03-31,0.0,0.0
286875,2011-03-31,0.0,0.0
286876,2011-03-31,0.0,0.0
286877,2011-03-31,0.0,0.0
286878,2011-03-31,0.0,0.0
286946,2011-03-31,0.0,0.0
286879,2011-04-01,0.0,0.0
286880,2011-04-01,0.0,0.0
286881,2011-04-01,0.0,0.0
286882,2011-04-01,0.0,0.0
286883,2011-04-01,0.0,0.0
286884,2011-04-01,0.0,0.0
286885,2011-04-01,0.0,0.0
286886,2011-04-01,0.0,0.0
286887,2011-04-01,0.0,0.0
286888,2011-04-01,0.0,0.0
286889,2011-04-01,0.0,0.0
286890,2011-04-02,0.0,0.0
286891,2011-04-02,0.0,0.0
286892,2011-04-02,0.0,0.0
286913,2011-04-02,0.0,0.0
286914,2011-04-02,0.0,0.0
286915,2011-04-02,0.0,0.0
286916,2011-04-02,0.0,0.0
286917,2011-04-02,0.0,0.0
286918,2011-04-02,0.0,0.0
286919,2011-04-02,0.0,0.0
286920,2011-04-02,0.0,0.0
286921,2011-04-02,0.0,0.0
286922,2011-04-02,0.0,0.0
286923,2011-04-02,0.0,0.0
286924,2011-04-02,0.0,0.0
286925,2011-04-03,0.0,0.0
286927,2011-04-03,0.0,0.0
286928,2011-04-03,0.0,0.0
286929,2011-04-03,0.0,0.0
286930,2011-04-03,0.0,0.0
286931,2011-04-03,0.0,0.0
286932,2011-04-03,0.0,0.0
286933,2011-04-03,0.0,0.0
286934,2011-04-03,0.0,0.0
286935,2011-04-03,0.0,0.0
286936,2011-04-03,0.0,0.0
286937,2011-04-03,0.0,0.0
286938,2011-04-03,0.0,0.0
286939,2011-04-03,0.0,0.0
286940,2011-04-04,0.0,0.0
286941,2011-04-04,0.0,0.0
286942,2011-04-04,0.0,0.0
286943,2011-04-04,0.0,0.0
286944,2011-04-04,0.0,0.0
286945,2011-04-04,0.0,0.0
286947,2011-04-05,0.0,0.0
286948,2011-04-05,0.0,0.0
286949,2011-04-05,1.5,0.0
286950,2011-04-05,0.0,0.0
286951,2011-04-05,3.4615384615384612,0.0
286952,2011-04-05,0.0,0.0
286953,2011-04-05,0.0,0.0
286954,2011-04-05,0.0,0.0
286955,2011-04-05,0.0,0.0
286956,2011-04-05,0.0,0.0
286957,2011-04-05,0.0,0.0
286958,2011-04-05,0.0,0.0
286959,2011-04-05,0.0,0.0
286960,2011-04-05,0.0,0.0
286961,2011-04-06,0.0,0.0
286962,2011-04-06,2.903225806451613,0.0
286963,2011-04-06,0.0,0.0
286964,2011-04-06,0.0,0.0
286965,2011-04-06,1.2857142857142858,0.0
286966,2011-04-06,0.0,1.5
