game_pk,home_batting_hr_per_g_rolling_5,away_batting_hr_per_g_rolling_5
317775,,
318969,0.0,1.0
317733,,
317734,,
317735,,
317736,,
317738,,
317739,,
317742,,0.0
317746,,
317737,,
317740,,
317741,,
317743,,
317744,1.0,1.0
317745,,
317747,1.5,1.0
317748,,
317749,,0.0
317750,0.0,0.0
317751,0.0,0.0
317752,1.0,1.0
317753,2.0,1.0
317754,1.0,0.0
317755,0.0,0.0
317756,0.5,0.5
317757,1.0,1.0
317758,2.0,1.0
317759,0.0,0.0
317760,1.3333333333333333,0.6666666666666666
317761,2.0,1.0
317762,1.0,2.0
317763,1.0,2.0
317764,0.0,0.0
317765,1.5,0.5
317766,2.5,0.0
317767,0.5,1.0
317768,2.0,1.0
317769,1.5,1.0
317770,0.0,1.0
317771,0.3333333333333333,0.6666666666666666
317772,2.0,0.5
317773,1.5,1.0
317774,0.0,0.0
317776,2.0,1.5
317777,2.0,1.3333333333333333
317778,1.5,1.5
317779,0.0,1.0
317780,0.3333333333333333,0.3333333333333333
317781,1.3333333333333333,0.6666666666666666
317782,1.0,0.3333333333333333
317783,1.6666666666666667,0.6666666666666666
317784,0.3333333333333333,0.75
317785,1.5,1.3333333333333333
317786,0.0,2.0
317787,1.6666666666666667,0.6666666666666666
317788,1.3333333333333333,0.75
317789,1.0,1.3333333333333333
317790,1.6666666666666667,1.5
317791,1.0,1.0
317792,0.75,2.0
317793,1.25,0.5
317794,0.75,0.5
317796,1.2,1.0
317797,0.5,1.75
317798,1.5,0.75
317799,1.0,0.3333333333333333
317800,2.0,0.6
317801,1.25,1.8
317802,2.3333333333333335,1.6666666666666667
317803,1.0,0.75
317804,0.5,0.25
317805,0.6,1.75
317806,1.0,0.8
317807,0.8,0.4
317808,1.5,1.0
317809,0.25,1.2
317810,1.2,1.0
317811,0.6,1.8
317812,1.4,0.8
317813,1.0,0.25
317814,1.6,0.4
317815,0.75,1.25
317816,1.0,2.2
317817,2.0,1.25
317818,0.8,0.8
317819,0.6,0.4
317820,0.6,1.4
317821,0.8,0.8
317822,0.4,1.2
317823,0.6,1.8
317824,0.8,0.4
317825,1.8,0.2
317826,0.6,1.6
317827,1.6,1.0
317828,1.0,0.6
317829,0.4,1.2
