game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games,is_divisional_game
349098,2013-09-24,108,133,LAA,OAK,Los Angeles Angels,Oakland Athletics,Angels,Athletics,American League,American League,AL,AL,AL West,AL West,AL West,AL West,2013,2013,156,157,76,94,80,63,0.487,0.599,713,744,712,610,1,134,4.57,4.74,4.56,3.89,0.01,0.85,0.0,0.0,0.0,0.0,0.485,0.591,0.429,0.592,37,52,42,29,39,42,38,34,L2,W5,0,0,0.0,0.0,0.0,0.0,76-80,94-63,37-42,52-29,39-38,42-34,30-40,42-29,66-70,81-56,6-4,8-2,True
349103,2013-09-24,138,120,STL,WSH,St. Louis Cardinals,Washington Nationals,Cardinals,Nationals,National League,National League,NL,NL,NL Central,NL East,NL Central,NL East,2013,2013,157,157,92,84,65,73,0.586,0.535,760,643,593,613,167,30,4.84,4.1,3.78,3.9,1.06,0.19,0.0,0.0,0.0,0.0,0.599,0.533,0.589,0.566,49,47,27,34,43,37,38,39,W1,L1,0,0,0.0,0.0,0.0,0.0,92-65,84-73,49-27,47-34,43-38,37-39,43-30,43-33,82-55,73-64,6-4,6-4,False
349102,2013-09-24,146,143,MIA,PHI,Miami Marlins,Philadelphia Phillies,Marlins,Phillies,National League,National League,NL,NL,NL East,NL East,NL East,NL East,2013,2013,157,156,58,71,99,85,0.369,0.455,503,595,639,721,-136,-126,3.2,3.81,4.07,4.62,-0.87,-0.81,0.0,0.0,0.0,0.0,0.371,0.471,0.378,0.5,32,43,44,38,26,28,55,47,W1,L5,0,0,0.0,0.0,0.0,0.0,58-99,71-85,32-44,43-38,26-55,28-47,28-46,35-35,52-88,64-72,3-7,3-7,True
349104,2013-09-24,136,118,SEA,KC,Seattle Mariners,Kansas City Royals,Mariners,Royals,American League,American League,AL,AL,AL West,AL Central,AL West,AL Central,2013,2013,157,156,68,83,89,73,0.433,0.532,605,630,732,581,-127,49,3.85,4.04,4.66,3.72,-0.81,0.31,0.0,0.0,0.0,0.0,0.438,0.544,0.479,0.569,33,44,43,37,35,39,46,36,L1,W2,0,0,0.0,0.0,0.0,0.0,68-89,83-73,33-43,44-37,35-46,39-36,35-38,41-31,60-77,74-62,3-7,6-4,False
349100,2013-09-24,147,139,NYY,TB,New York Yankees,Tampa Bay Rays,Yankees,Rays,American League,American League,AL,AL,AL East,AL East,AL East,AL East,2013,2013,156,156,82,87,74,69,0.526,0.558,637,664,648,622,-11,42,4.08,4.26,4.15,3.99,-0.07,0.27,0.0,0.0,0.0,0.0,0.537,0.551,0.507,0.557,46,51,32,30,36,36,42,39,L1,W4,0,0,0.0,0.0,0.0,0.0,82-74,87-69,46-32,51-30,36-42,36-39,37-36,39-31,73-63,75-61,4-6,7-3,True
349099,2013-09-24,112,134,CHC,PIT,Chicago Cubs,Pittsburgh Pirates,Cubs,Pirates,National League,National League,NL,NL,NL Central,NL Central,NL Central,NL Central,2013,2013,157,157,65,90,92,67,0.414,0.573,594,608,662,565,-68,43,3.78,3.87,4.22,3.6,-0.43,0.27,0.0,0.0,0.0,0.0,0.38,0.547,0.338,0.577,30,50,49,31,35,40,43,36,L2,W1,0,0,0.0,0.0,0.0,0.0,65-92,90-67,30-49,50-31,35-43,40-36,24-47,41-30,52-85,75-62,2-8,5-5,True
349097,2013-09-24,113,121,CIN,NYM,Cincinnati Reds,New York Mets,Reds,Mets,National League,National League,NL,NL,NL Central,NL East,NL Central,NL East,2013,2013,157,156,90,71,67,85,0.573,0.455,690,605,568,668,122,-63,4.39,3.88,3.62,4.28,0.78,-0.4,0.0,0.0,0.0,0.0,0.577,0.441,0.548,0.447,49,32,27,45,41,39,40,40,W2,L1,0,0,0.0,0.0,0.0,0.0,90-67,71-85,49-27,32-45,41-40,39-40,40-33,34-42,79-58,60-76,7-3,6-4,False
349101,2013-09-24,110,141,BAL,TOR,Baltimore Orioles,Toronto Blue Jays,Orioles,Blue Jays,American League,American League,AL,AL,AL East,AL East,AL East,AL East,2013,2013,156,156,81,71,75,85,0.519,0.455,715,683,676,730,39,-47,4.58,4.38,4.33,4.68,0.25,-0.3,0.0,0.0,0.0,0.0,0.515,0.441,0.457,0.386,42,38,33,40,39,33,42,45,L5,L2,0,0,0.0,0.0,0.0,0.0,81-75,71-85,42-33,38-40,39-42,33-45,32-38,27-43,70-66,60-76,4-6,4-6,True
349095,2013-09-24,137,119,SF,LAD,San Francisco Giants,Los Angeles Dodgers,Giants,Dodgers,National League,National League,NL,NL,NL West,NL West,NL West,NL West,2013,2013,156,156,72,90,84,66,0.462,0.577,602,629,665,569,-63,60,3.86,4.03,4.26,3.65,-0.4,0.38,0.0,0.0,0.0,0.0,0.485,0.574,0.571,0.5,37,46,38,32,35,44,46,34,W1,W2,0,0,0.0,0.0,0.0,0.0,72-84,90-66,37-38,46-32,35-46,44-34,40-30,35-35,66-70,78-58,6-4,4-6,True
349090,2013-09-24,135,109,SD,AZ,San Diego Padres,Arizona Diamondbacks,Padres,Diamondbacks,National League,National League,NL,NL,NL West,NL West,NL West,NL West,2013,2013,156,156,73,79,83,77,0.468,0.506,584,672,677,667,-93,5,3.74,4.31,4.34,4.28,-0.6,0.03,0.0,0.0,0.0,0.0,0.478,0.5,0.457,0.479,43,44,35,34,30,35,48,43,W1,L1,0,0,0.0,0.0,0.0,0.0,73-83,79-77,43-35,44-34,30-48,35-43,32-38,35-38,65-71,68-68,6-4,6-4,True
