game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_sv,away_pitching_sv,home_pitching_cg,away_pitching_cg,home_pitching_sho,away_pitching_sho,home_pitching_qs,away_pitching_qs,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,home_fielding_fp,away_fielding_fp,home_fielding_tc,away_fielding_tc,home_fielding_po,away_fielding_po,home_fielding_a,away_fielding_a
347463,2013-05-24,136,140,SEA,TEX,Mariners,Rangers,Seattle Mariners,Texas Rangers,0,0,regular,regular,2013,2013,47,47,1579,1595,169,217,377,428,70,73,4,13,53,60,164,203,614,707,153,137,390,289,14,29,0.239,0.268,0.306,0.326,0.389,0.443,0.695,0.769,20,30,27,17,4.32,3.48,0,0,0,0,0,0,0,0,415.0,416.3,401,372,199,161,59,42,120,139,379,384,0.254,0.233,1.26,1.23,19,21,0.0,0.0,0,0,0,0,0,0
347462,2013-05-24,119,138,LAD,STL,Dodgers,Cardinals,Los Angeles Dodgers,St. Louis Cardinals,0,0,regular,regular,2013,2013,45,46,1487,1553,156,218,381,417,60,76,4,4,31,34,147,204,542,603,150,138,306,313,26,13,0.256,0.269,0.324,0.328,0.364,0.388,0.689,0.716,19,30,26,16,3.83,3.16,0,0,0,0,0,0,0,0,395.0,413.3,377,383,168,145,41,29,144,117,361,370,0.254,0.247,1.32,1.21,34,17,0.0,0.0,0,0,0,0,0,0
347461,2013-05-24,158,134,MIL,PIT,Brewers,Pirates,Milwaukee Brewers,Pittsburgh Pirates,0,0,regular,regular,2013,2013,45,47,1539,1552,185,186,401,377,68,80,12,4,47,47,178,179,634,606,116,130,347,357,38,28,0.261,0.243,0.312,0.301,0.412,0.39,0.724,0.692,18,29,27,18,4.53,3.24,0,0,0,0,0,0,0,0,399.0,419.3,425,343,201,151,54,40,127,161,320,388,0.276,0.221,1.38,1.2,31,30,0.0,0.0,0,0,0,0,0,0
347460,2013-05-24,141,110,TOR,BAL,Blue Jays,Orioles,Toronto Blue Jays,Baltimore Orioles,0,0,regular,regular,2013,2013,47,47,1570,1640,203,232,381,440,76,102,8,4,59,62,191,223,650,736,148,132,356,302,30,37,0.243,0.268,0.308,0.323,0.414,0.449,0.722,0.772,20,25,27,22,4.75,4.38,0,0,0,0,0,0,0,0,418.7,421.0,428,399,221,205,60,58,170,163,324,318,0.273,0.243,1.43,1.33,26,16,0.0,0.0,0,0,0,0,0,0
347459,2013-05-24,109,135,AZ,SD,D-backs,Padres,Arizona Diamondbacks,San Diego Padres,0,0,regular,regular,2013,2013,47,46,1615,1527,190,185,409,377,90,73,7,5,45,41,177,171,648,583,148,140,330,368,15,39,0.253,0.247,0.316,0.31,0.401,0.382,0.717,0.692,26,21,21,25,3.32,4.19,0,0,0,0,0,0,0,0,431.7,406.0,396,391,159,189,37,52,133,166,364,294,0.245,0.256,1.23,1.37,15,22,0.0,0.0,0,0,0,0,0,0
347458,2013-05-24,120,143,WSH,PHI,Nationals,Phillies,Washington Nationals,Philadelphia Phillies,0,0,regular,regular,2013,2013,47,47,1530,1552,159,167,345,386,67,75,10,8,42,40,154,157,558,597,131,122,386,340,21,24,0.225,0.249,0.287,0.303,0.365,0.385,0.651,0.688,24,23,23,24,3.53,4.14,0,0,0,0,0,0,0,0,415.3,413.0,398,390,163,190,39,52,120,138,329,338,0.26,0.251,1.25,1.28,37,20,0.0,0.0,0,0,0,0,0,0
347457,2013-05-24,117,133,HOU,OAK,Astros,Athletics,Houston Astros,Oakland Athletics,0,0,regular,regular,2013,2013,47,48,1581,1642,185,218,389,396,83,103,5,7,46,45,174,204,620,648,130,193,453,380,22,28,0.246,0.241,0.303,0.321,0.392,0.395,0.695,0.716,14,25,33,23,5.37,4.02,0,0,0,0,0,0,0,0,415.3,432.0,484,411,248,193,69,53,179,130,298,353,0.306,0.25,1.6,1.25,28,27,0.0,0.0,0,0,0,0,0,0
347454,2013-05-24,145,146,CWS,MIA,White Sox,Marlins,Chicago White Sox,Miami Marlins,0,0,regular,regular,2013,2013,45,47,1507,1547,166,125,361,343,62,62,3,8,51,23,158,116,582,490,112,114,359,326,23,25,0.24,0.222,0.292,0.275,0.386,0.317,0.678,0.592,21,13,24,34,3.67,4.05,0,0,0,0,0,0,0,0,399.7,420.0,350,418,163,189,39,46,150,152,355,335,0.232,0.27,1.25,1.36,32,31,0.0,0.0,0,0,0,0,0,0
347455,2013-05-24,116,142,DET,MIN,Tigers,Twins,Detroit Tigers,Minnesota Twins,0,0,regular,regular,2013,2013,45,44,1639,1514,245,194,467,375,85,82,8,6,50,35,240,186,718,574,165,146,315,359,17,19,0.285,0.248,0.35,0.314,0.438,0.379,0.788,0.693,26,18,19,26,3.88,4.66,0,0,0,0,0,0,0,0,412.7,391.7,383,456,178,203,28,47,130,119,438,251,0.234,0.301,1.24,1.47,18,20,0.0,0.0,0,0,0,0,0,0
347453,2013-05-24,137,115,SF,COL,Giants,Rockies,San Francisco Giants,Colorado Rockies,0,0,regular,regular,2013,2013,47,47,1613,1627,215,231,438,436,87,81,10,10,37,60,203,222,656,717,135,140,295,350,25,33,0.272,0.268,0.328,0.326,0.407,0.441,0.734,0.767,26,26,21,21,4.01,3.79,0,0,0,0,0,0,0,0,422.3,420.3,407,424,188,177,46,34,152,132,380,304,0.252,0.261,1.32,1.32,35,29,0.0,0.0,0,0,0,0,0,0
