game_pk,home_bp_k_per_9_rolling_5,away_bp_k_per_9_rolling_5,home_bp_k_per_9_rolling_10,away_bp_k_per_9_rolling_10
380537,,,,
380538,6.75,11.571593879912571,6.75,11.571593879912571
380546,,8.526360665056133,,8.526360665056133
380540,,,,
380541,,,,
380542,,,,
380543,,,,
380544,,,,
380545,,,,
380547,,,,
380548,,,,
380549,,,,
380550,9.0,,9.0,
380551,,,,
380552,,,,
380553,,,,
380554,9.0,4.5,9.0,4.5
380556,3.0,12.272615703493605,3.0,12.272615703493605
380557,12.0,11.04550475229433,12.0,11.04550475229433
380558,,,,
380559,10.8,6.75,10.8,6.75
380560,16.874789065136685,6.0,16.874789065136685,6.0
380561,8.735319809764146,10.8,8.735319809764146,10.8
380562,16.19967600647987,6.0,16.19967600647987,6.0
380555,15.0,13.5,15.0,13.5
380563,10.8,11.25,10.8,11.25
380564,4.5,9.0,4.5,9.0
380565,2.25,13.5,2.25,13.5
380566,8.590948140673365,9.0,8.590948140673365,9.0
380567,4.5,11.117581661284344,4.5,11.117581661284344
380568,0.0,4.5,0.0,4.5
380569,7.714285714285714,10.32355977517581,7.714285714285714,10.32355977517581
380570,10.799784004319914,9.0,10.799784004319914,9.0
380571,0.0,22.5,0.0,22.5
380572,10.800043200172802,8.526360665056133,10.800043200172802,8.526360665056133
380573,13.5,7.2,13.5,7.2
380574,10.125025312563281,9.0,10.125025312563281,9.0
380575,4.5,13.5,4.5,13.5
380576,11.117581661284344,8.099959500202498,11.117581661284344,8.099959500202498
380577,13.500135001350014,18.0,13.500135001350014,18.0
380578,3.857142857142857,9.0,3.857142857142857,9.0
380579,7.714285714285714,9.75,7.714285714285714,9.75
380580,6.0,12.103406539977447,6.0,12.103406539977447
380582,9.818092562794885,12.149939250303749,9.818092562794885,12.149939250303749
380583,9.947420775898822,15.75,9.947420775898822,15.75
380584,7.0,7.714285714285714,7.0,7.714285714285714
380585,9.918387588546098,8.678602423580084,9.918387588546098,8.678602423580084
380586,9.0,7.363770250368189,9.0,7.363770250368189
380587,8.0,9.0,8.0,9.0
380588,11.36848088674151,19.285714285714285,11.36848088674151,19.285714285714285
380589,10.241449941034077,12.6,10.241449941034077,12.6
380590,11.675612564256408,9.0,11.675612564256408,8.571428571428571
380591,16.2,9.947420775898822,16.2,9.947420775898822
380592,0.0,5.225823309107449,0.0,5.225823309107449
380593,5.78567295947886,7.838659105425125,5.78567295947886,7.838659105425125
380594,9.64289158175565,6.230745266364361,9.64289158175565,6.230745266364361
380595,9.391263516245582,12.0,9.391263516245582,12.0
380596,8.485690040885599,8.437473632894898,8.485690040885599,8.437473632894898
380597,8.1,14.727339669725772,8.1,14.727339669725772
380598,9.418626554945478,8.217462760545745,9.418626554945478,8.217462760545745
380599,7.2,8.181818181818182,7.2,8.181818181818182
380601,9.418626554945478,8.027048721753303,9.418626554945478,8.027048721753303
380602,7.411764705882353,8.217462760545745,7.411764705882353,8.217462760545745
380603,6.75,8.027048721753303,6.75,8.027048721753303
380604,8.042587415265597,14.142857142857142,8.042587415265597,14.142857142857142
380605,10.674368956423457,6.75,10.674368956423457,7.56
380606,14.785714285714286,11.322617169732807,14.785714285714286,11.322617169732807
380607,4.5,4.8,4.5,4.8
380608,9.0,6.585349791829776,9.0,6.585349791829776
380609,9.486512125708447,6.3,9.486512125708447,6.3
380610,8.437473632894896,9.64289158175565,8.437473632894896,9.64289158175565
380611,10.8,8.0999595002025,10.8,8.0999595002025
380612,8.816344523152088,12.535759056282345,8.816344523152088,12.535759056282345
380613,8.470588235294118,8.735319809764146,8.470588235294118,8.735319809764146
380614,7.0,7.2,7.0,7.2
380615,7.2,9.0,7.2,9.0
380616,10.421052631578947,9.34617181956119,10.546891479517937,9.34617181956119
380617,7.578947368421052,6.967764412143265,7.578947368421052,6.967764412143265
380618,6.6,7.020028080112321,6.6,7.020028080112321
380619,9.152573398553894,13.8,9.152573398553894,13.8
380620,9.391263516245582,7.468069216874007,9.947316066757544,8.0
380621,12.535691900550178,12.40543893361874,12.535691900550178,12.40543893361874
380622,5.108121913843011,5.5,5.108121913843011,5.5
380623,9.281220996184386,6.749984659125775,9.281220996184386,6.749984659125775
380624,10.285714285714286,6.545454545454546,10.285714285714286,6.545454545454546
380625,12.980719304925753,9.97828256148383,12.980719304925753,9.97828256148383
380626,11.290929619872035,6.749974038561391,11.290929619872035,6.749974038561391
380627,9.765999004251082,12.705919723293304,9.160747002667867,12.705919723293304
380628,9.0,8.100020250050626,9.0,8.100020250050626
380629,7.788476516300992,7.411764705882353,7.081978822916103,7.411764705882353
380630,7.0,9.878024687744663,7.0,9.878024687744663
380631,10.525405889142561,8.4,10.038461538461538,9.0
380632,7.7727272727272725,5.785714285714286,7.7727272727272725,5.785714285714286
380633,4.408172261576044,6.267879528141172,5.5,6.267879528141172
380634,9.77587892392918,11.65914390519957,8.723103763396196,12.461562426081588
380635,8.027048721753303,6.136349690114341,10.046534991941842,5.785703954100082
380636,7.714254227533766,5.785714285714286,8.590870041499812,6.319135491201083
380637,4.846153846153846,7.363636363636363,6.0,6.923076923076923
380639,6.19670099442297,6.0,6.447741947038965,7.285714285714286
380641,8.5262933518596,3.1395421849818255,8.5262933518596,5.4
380642,12.99992777817901,4.5957642372946275,12.789406371545413,6.0967938606253576
380638,8.485762775787292,10.43186559938909,8.042587415265597,10.188717693274315
380643,11.045429442205812,11.675707231641168,10.188660021396187,12.27274958681743
380644,8.357142857142858,5.522714721102906,8.590909090909092,7.714285714285714
380645,7.615384615384615,7.8,9.529411764705882,6.545454545454546
380646,5.522714721102907,5.25,8.136964008317785,6.982734542294681
380647,6.2790405626020345,4.846153846153846,6.5,5.823529411764706
380648,11.630751337305636,6.075015187537969,11.482758620689655,6.075015187537969
380649,9.679281808610599,8.83637970250855,9.24658800902467,9.121646274719662
380650,11.42303298833466,8.265322990455083,12.656210449342344,7.253742169764432
380651,14.294159688704967,10.285714285714286,12.825032062580156,10.903867122821389
380652,8.142857142857142,8.859388842795067,8.608695652173912,7.815799757631259
380653,9.969261443881367,6.882352941176471,10.267634556717061,7.65
380654,9.257116408238833,4.295444783080038,8.56095472937871,5.704217318003778
380655,12.705807612896395,2.9347889886717144,11.999942857414965,5.704241420398367
380640,10.983088078264673,8.042536079710468,10.462526156315391,7.9411647924047175
380656,11.33997732004536,10.5,10.384599408308603,11.454545454545455
380657,8.56095472937871,7.3125,8.608695652173912,8.628874875128737
380658,6.6,8.61700294254693,9.268670550254551,7.269230769230769
380659,5.522714721102906,4.909090909090909,8.333302469250114,6.328105224671172
380660,7.424962875185623,5.5588398789408195,7.714285714285714,5.85
380661,11.215367360973291,8.526360665056133,10.909090909090908,6.89364635594194
380662,10.714285714285715,9.169794019256567,10.285714285714286,9.548792132673332
380663,9.34611789954654,10.657950831320166,12.205446012476678,8.391914572742088
380664,6.750016875042187,10.800043200172802,7.322058718843115,10.80003323087148
380665,10.216243827686021,9.692307692307692,10.469409121243103,10.241396967925805
380666,5.2105263157894735,7.559984880030241,7.0129779052235,7.875
380667,7.043493572812114,8.162809680952746,8.231717355752872,7.9411858131597794
380668,11.000061111450618,7.363619628137209,10.011258452266185,7.71427569574585
380669,11.25,6.585349791829776,9.71998056003888,6.662329009962325
380670,10.525405889142561,6.428571428571429,10.207292177336154,7.177224274967436
380671,9.765936668219855,8.804366966015143,9.0,8.907225677552244
380672,7.2,10.421052631578947,9.24658800902467,9.707854260837909
380673,7.199999999999998,10.12506328164551,6.845060781604533,10.451646618214898
380674,11.571428571428571,11.152125425541628,10.451612903225806,9.580645161290322
380675,10.384599408308603,8.790718117949112,12.22103976732656,7.977281792365673
380676,7.3125,10.607180739931215,7.605655227197824,10.945975529663594
380677,12.272727272727273,9.692307692307692,11.423098890574789,9.671656226352576
380678,8.142857142857142,7.578947368421052,8.24209658726675,7.392857142857143
380679,8.4,8.162809680952746,8.897737383792482,7.755327399284467
380680,7.875,4.395359058974556,9.878060826903447,9.094727268708139
380681,7.9024197501957305,9.978282561483828,7.5,9.185576479975753
380682,6.749999999999999,9.00005294148789,6.749991562510547,10.188717693274315
380683,8.042536079710468,4.85999028001944,8.727272727272727,7.548362747216944
380684,9.0,10.340469533912911,8.035714285714286,7.838734963661174
380685,9.486435208458333,10.124949375253124,8.068965517241379,9.545454545454545
380686,8.05971352196048,8.437473632894896,8.074758808636627,8.678555931150123
380687,9.5,11.310795525951992,8.205882352941176,10.615384615384615
380688,5.869577977343429,10.125025312563281,7.087517718794297,8.329796095527762
380689,8.1,9.642857142857142,11.625,9.569632366623248
380690,11.089265912025159,7.8,10.168817962574074,7.5
380691,12.763659570290127,9.391324763749486,11.710871592461668,8.388357658599668
380692,4.909090909090909,6.585349791829776,5.571428571428571,6.593015589516757
380693,9.642857142857142,12.959974080051841,7.137931034482759,10.909090909090908
380694,12.34282187765178,11.25,11.863636363636363,12.705882352941176
380695,10.8,4.800032000213335,9.548792132673332,9.272727272727273
380696,9.0,9.86540358731459,7.448275862068965,9.4128526723419
380697,7.199999999999999,10.800072000480004,6.517241379310345,10.309137768808041
380698,8.4375,5.744668628364621,8.419354838709678,7.548362747216944
380699,9.0,10.216243827686021,8.035714285714286,7.656727845862456
380700,9.418560843903052,10.687433203542478,7.636363636363637,10.188660021396187
380701,8.571428571428573,8.756780423730875,7.747812612499805,9.0
380702,9.0,10.98303223214876,8.287120507801477,10.70688732164886
380703,7.0,8.4,7.46809305116282,8.072173270281722
380704,9.0,7.9412231836657865,11.571428571428571,9.000029032351717
380705,11.659064411217248,9.6,10.40962601249878,8.181818181818182
380706,14.441894050916398,10.046534991941842,12.134858730019618,8.669732724525435
380707,5.25,9.529355709672295,5.869565217391305,6.506016257811737
380708,9.0,13.764624913971094,6.9,11.846926686809503
380709,12.512164604476576,11.508215587238666,12.461538461538462,12.0
380710,11.4,5.869616257532674,9.642857142857142,9.46392728239926
380711,9.5625,8.345469719035853,7.448275862068965,8.237295116351794
380712,7.043493572812114,11.020498126515317,6.256105190372183,11.000061111450618
380713,9.0,7.71427193880011,8.7,7.71426367353236
380714,7.363636363636363,11.25,7.071428571428571,8.13699744794171
380715,9.391263516245582,9.562440234748532,6.967741935483871,9.174739466525308
380716,9.529411764705882,9.947420775898822,7.71427193880011,9.236854259018761
380717,9.0,11.571407908200163,7.570086383096839,11.034763417802752
380718,6.532247528633019,8.816290545752874,7.2371208630111985,8.540807611420805
380719,11.117647058823529,5.586216527959531,11.36844498619997,7.56000756000756
380720,9.0,9.642857142857142,9.378937495855268,7.59375
380721,13.2,9.9473422438362,11.831487261769128,9.264705882352942
380722,5.7272727272727275,9.529355709672295,6.545454545454546,5.961031219439975
380723,7.714301457758077,12.419975160049681,6.967741935483871,11.009719426912065
380724,12.419975160049681,10.451646618214898,13.178571428571429,10.894736842105264
380725,7.322021488099173,15.659968680062642,7.090909090909091,13.344827586206897
380726,6.0967938606253576,8.844797086906597,7.269230769230769,7.411742906638509
380727,9.138447479311571,6.6393551464838465,8.36282445767747,7.83000783000783
380728,11.0,8.357142857142858,11.274737664546883,7.923904430538663
380730,10.124949375253124,8.470588235294118,6.279062466206435,9.663147723002398
380731,13.500039705999136,9.765936668219855,11.892899617498633,8.09997300009
380732,5.399989200021601,7.9024197501957305,6.5368352243839745,6.03527991698843
380733,7.874950781557615,10.983088078264673,9.10464057599933,10.216216216216216
380729,7.448250178447662,10.124968359473876,5.955873594303538,9.0
380735,6.612258392364065,6.096852862617582,5.9268364961420685,9.0000300001
380738,5.55883987894082,7.322021488099173,6.576923076923077,6.553385333232363
380739,8.790656787642847,11.36848088674151,8.999971875087889,10.35617857010763
380740,8.15092801711695,10.421052631578947,8.329769511128701,11.065564700356804
380741,9.926455990505897,6.75,9.473684210526315,7.909090909090909
380742,11.020430653940108,8.25,10.8000127058973,7.838709677419355
380743,9.281220996184388,11.571395510298542,7.363636363636363,9.692307692307692
380744,7.534848675122441,7.043493572812115,6.988218851249762,9.28125
380745,11.322617169732807,7.977254597148643,10.862106421056625,7.714258163363702
380747,9.765936668219855,10.8,7.26922377959252,10.75
380748,8.82688912734951,10.674443428938208,8.81051704156101,10.5
