game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
413846,2015-04-21,434538,475243,Francisco Liriano,Travis Wood,Pittsburgh Pirates,Chicago Cubs,5.0,5.0,3,4,3,3,3,3,2,2,9,5,0,2,0.00,0.00,0.00,0.00,97,84,57,51,1,0,0,0,0,0,22,20,4,2,3,7,0,0,0,0,0,0,0,0,0,0
413856,2015-04-21,461829,458681,Gio Gonzalez,Lance Lynn,Washington Nationals,St. Louis Cardinals,6.0,6.1,8,5,0,1,0,1,4,4,4,7,0,0,0.00,0.00,0.00,0.00,107,112,67,67,0,0,0,0,0,0,28,26,10,6,2,4,0,0,0,0,0,0,0,0,0,0
413851,2015-04-21,425532,429717,Jerome Williams,Dan Haren,Philadelphia Phillies,Miami Marlins,6.0,6.0,8,4,3,4,2,4,1,3,6,7,1,2,0.00,0.00,0.00,0.00,94,97,59,62,0,0,0,0,0,0,26,25,4,3,7,8,1,0,0,1,0,0,0,0,0,0
413844,2015-04-21,279824,502032,Mark Buehrle,Bud Norris,Toronto Blue Jays,Baltimore Orioles,6.0,2.1,8,6,3,9,3,9,1,3,2,2,0,1,0.00,0.00,0.00,0.00,99,65,60,38,0,0,0,0,0,0,26,17,10,2,5,4,1,0,0,1,0,0,0,0,0,0
413853,2015-04-21,543456,543135,Kyle Lobstein,Nathan Eovaldi,Detroit Tigers,New York Yankees,6.0,7.0,3,8,1,1,1,1,4,1,3,4,0,0,0.00,0.00,0.00,0.00,96,94,57,63,0,0,0,1,0,0,23,26,5,8,8,5,0,1,1,0,0,0,0,0,0,0
413845,2015-04-21,502042,489119,Chris Archer,Wade Miley,Tampa Bay Rays,Boston Red Sox,5.2,5.2,7,3,1,0,0,0,1,4,9,3,0,0,0.00,0.00,0.00,0.00,106,88,72,52,0,0,1,0,0,0,25,22,4,6,4,6,0,1,1,0,0,0,0,0,0,0
413843,2015-04-21,477003,502239,Jonathon Niese,Trevor Cahill,New York Mets,Atlanta Braves,6.2,4.0,4,5,1,4,1,3,4,1,5,1,1,0,0.00,0.00,0.00,0.00,106,75,67,41,1,0,0,0,0,0,29,20,8,9,7,4,1,0,0,1,0,0,0,0,0,0
413852,2015-04-21,450306,543548,Jason Vargas,Tommy Milone,Kansas City Royals,Minnesota Twins,5.2,5.2,8,5,5,4,5,4,1,4,4,1,0,2,0.00,0.00,0.00,0.00,84,92,50,50,0,0,0,1,0,0,25,26,5,5,7,11,0,0,0,0,0,0,0,0,0,0
413848,2015-04-21,456051,471911,Hector Noesí,Carlos Carrasco,Chicago White Sox,Cleveland Indians,5.2,5.0,4,4,4,1,4,1,1,0,5,8,2,1,0.00,0.00,0.00,0.00,99,60,62,46,0,0,0,0,0,0,22,18,4,4,8,2,0,1,1,0,0,0,0,0,0,0
413847,2015-04-21,571666,150302,Mike Fiers,Jason Marquis,Milwaukee Brewers,Cincinnati Reds,4.0,5.0,6,9,8,5,4,5,3,0,4,8,2,1,0.00,0.00,0.00,0.00,92,73,52,49,0,0,0,0,0,0,22,23,4,2,5,4,0,1,1,0,0,0,0,0,0,0
413855,2015-04-21,554431,453344,Tyler Matzek,Brandon Morrow,Colorado Rockies,San Diego Padres,5.0,6.0,4,6,2,5,2,5,6,1,3,3,1,0,0.00,0.00,0.00,0.00,85,95,44,62,0,0,0,0,0,0,21,25,6,8,2,7,0,0,0,0,0,0,0,0,0,0
413857,2015-04-21,502624,607259,Chase Anderson,Nick Martinez,Arizona Diamondbacks,Texas Rangers,7.0,6.0,3,5,1,1,1,1,0,1,5,3,0,0,0.00,0.00,0.00,0.00,106,96,72,70,0,0,0,0,0,0,25,25,10,13,7,3,0,0,0,0,0,0,0,0,0,0
413854,2015-04-21,502327,519141,Héctor Santiago,Drew Pomeranz,Los Angeles Angels,Oakland Athletics,6.0,5.0,3,8,1,5,1,4,3,1,8,6,1,1,0.00,0.00,0.00,0.00,101,100,63,62,0,0,0,0,0,0,24,25,4,4,6,6,1,0,0,1,0,0,0,0,0,0
413849,2015-04-21,592836,543521,Taijuan Walker,Collin McHugh,Seattle Mariners,Houston Astros,5.1,7.0,4,7,1,3,1,3,4,2,8,3,0,0,0.00,0.00,0.00,0.00,102,105,62,64,1,0,0,2,0,0,25,28,1,7,7,9,0,1,0,0,0,0,0,0,0,0
413850,2015-04-21,453311,474463,Tim Lincecum,Brett Anderson,San Francisco Giants,Los Angeles Dodgers,6.0,4.0,5,9,1,4,1,4,3,0,5,1,0,0,0.00,0.00,0.00,0.00,85,72,46,48,0,0,0,0,0,1,22,20,4,6,5,4,1,0,0,1,0,0,0,0,0,0
