game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
415228,2015-09-15,543037.0,434628.0,Gerrit Cole,Jason Hammel,Pittsburgh Pirates,Chicago Cubs,6.3333,3.6667,6.0,5.0,4.0,4.0,3.0,4.0,0.0,3.0,8.0,5.0,0.0,0.0,4.426229508196721,11.25,0.9836065573770492,2.5,105.0,72.0,73.0,40.0,1.0,1.0,0.0,1.0,0.0,0.0,26.0,20.0,3.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415805,2015-09-15,433587.0,607374.0,Félix Hernández,Nick Tropeano,Seattle Mariners,Los Angeles Angels,7.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,5.0,5.0,2.0,1.0,5.142857142857143,3.6,1.0,1.4,96.0,83.0,65.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,13.0,2.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415806,2015-09-15,434622.0,523260.0,Ubaldo Jiménez,Joe Kelly,Baltimore Orioles,Boston Red Sox,5.0,2.3333,6.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,0.0,1.0,7.2,12.857142857142856,1.8,2.857142857142857,91.0,53.0,58.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415807,2015-09-15,457918.0,452657.0,J.A. Happ,Jon Lester,Pittsburgh Pirates,Chicago Cubs,5.6667,9.0,8.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,8.0,9.0,0.0,0.0,3.461538461538461,1.0,1.923076923076923,0.6666666666666666,94.0,111.0,62.0,71.0,0.0,1.0,0.0,1.0,0.0,0.0,27.0,32.0,4.0,10.0,5.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415808,2015-09-15,518790.0,543424.0,Chris Heston,John Lamb,San Francisco Giants,Cincinnati Reds,5.0,4.0,3.0,6.0,3.0,3.0,3.0,3.0,4.0,0.0,8.0,3.0,0.0,1.0,5.4,6.75,1.4,1.5,91.0,77.0,51.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,5.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415809,2015-09-15,474463.0,543734.0,Brett Anderson,Chris Rusin,Los Angeles Dodgers,Colorado Rockies,6.0,6.0,7.0,5.0,3.0,3.0,2.0,3.0,0.0,2.0,7.0,3.0,0.0,0.0,3.0,4.5,1.1666666666666667,1.1666666666666667,78.0,85.0,57.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,7.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415810,2015-09-15,461833.0,430580.0,Phil Hughes,Alfredo Simon,Minnesota Twins,Detroit Tigers,3.0,6.3333,6.0,8.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,0.0,0.0,9.0,4.426229508196721,2.333333333333333,1.475409836065574,65.0,102.0,43.0,69.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,29.0,3.0,7.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415811,2015-09-15,502706.0,543521.0,Derek Holland,Collin McHugh,Texas Rangers,Houston Astros,5.6667,3.6667,10.0,8.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,4.0,0.0,0.0,8.653846153846153,14.0625,2.3076923076923075,3.4375,106.0,91.0,64.0,55.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,22.0,6.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415812,2015-09-15,458708.0,450665.0,Josh Tomlin,Kris Medlen,Cleveland Indians,Kansas City Royals,9.0,6.3333,4.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,0.4444444444444444,0.9836065573770492,110.0,94.0,75.0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,31.0,25.0,13.0,11.0,7.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415813,2015-09-15,594798.0,543408.0,Jacob deGrom,Tom Koehler,New York Mets,Miami Marlins,5.0,6.0,10.0,5.0,6.0,1.0,6.0,1.0,0.0,4.0,5.0,4.0,0.0,0.0,10.8,1.5,2.0,1.5,86.0,102.0,59.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,27.0,4.0,7.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
