game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_games,away_games,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9
491805,2017-08-09,121,140,New York Mets,Texas Rangers,109,110,390.2,363.1,394,356,1.01,0.98,201,165,0.52,0.45,172,155,0.44,0.43,409,339,1.05,0.93,55,46,0.14,0.13,4.64,4.09,1.45,1.41,9.43,8.4,2.38,2.19,1.27,1.14,3.97,3.84
491804,2017-08-09,133,136,Oakland Athletics,Seattle Mariners,113,113,387.3,402.5,362,354,0.93,0.88,197,170,0.51,0.42,147,145,0.38,0.36,365,373,0.94,0.93,55,54,0.14,0.13,4.58,3.8,1.31,1.24,8.48,8.34,2.48,2.57,1.28,1.21,3.42,3.24
491803,2017-08-09,113,135,Cincinnati Reds,San Diego Padres,111,111,445.6,402.4,395,343,0.89,0.85,204,190,0.46,0.47,179,148,0.4,0.37,434,413,0.97,1.03,63,64,0.14,0.16,4.12,4.25,1.29,1.22,8.77,9.24,2.42,2.79,1.27,1.43,3.62,3.31
491802,2017-08-09,116,134,Detroit Tigers,Pittsburgh Pirates,111,111,356.2,389.2,342,362,0.96,0.93,195,157,0.55,0.4,149,142,0.42,0.36,308,344,0.86,0.88,57,45,0.16,0.12,4.93,3.63,1.38,1.29,7.78,7.95,2.07,2.42,1.44,1.04,3.76,3.28
491801,2017-08-09,144,143,Atlanta Braves,Philadelphia Phillies,111,110,369.7,367.2,343,366,0.93,1.0,177,177,0.48,0.48,147,150,0.4,0.41,338,344,0.91,0.94,47,50,0.13,0.14,4.31,4.34,1.33,1.41,8.23,8.43,2.3,2.29,1.14,1.23,3.58,3.68
491800,2017-08-09,141,147,Toronto Blue Jays,New York Yankees,110,110,421.2,383.9,367,286,0.87,0.74,201,129,0.48,0.34,155,150,0.37,0.39,438,430,1.04,1.12,56,33,0.13,0.09,4.29,3.02,1.24,1.14,9.36,10.08,2.83,2.87,1.2,0.77,3.31,3.52
491798,2017-08-09,120,146,Washington Nationals,Miami Marlins,109,110,328.2,422.8,335,396,1.02,0.94,179,191,0.55,0.45,120,184,0.37,0.44,307,379,0.94,0.9,51,41,0.16,0.1,4.91,4.07,1.39,1.37,8.42,8.07,2.56,2.06,1.4,0.87,3.29,3.92
491799,2017-08-09,158,142,Milwaukee Brewers,Minnesota Twins,113,105,405.9,402.0,381,411,0.94,1.02,188,196,0.46,0.49,197,129,0.49,0.32,405,324,1.0,0.81,50,59,0.12,0.15,4.17,4.39,1.42,1.34,8.98,7.25,2.06,2.51,1.11,1.32,4.37,2.89
491796,2017-08-09,138,118,St. Louis Cardinals,Kansas City Royals,111,111,363.5,395.3,335,362,0.92,0.92,149,166,0.41,0.42,120,159,0.33,0.4,356,343,0.98,0.87,42,33,0.12,0.08,3.69,3.78,1.25,1.32,8.81,7.81,2.97,2.16,1.04,0.75,2.97,3.62
491795,2017-08-09,145,117,Chicago White Sox,Houston Astros,110,111,396.1,398.6,335,333,0.85,0.84,164,186,0.41,0.47,160,144,0.4,0.36,385,477,0.97,1.2,51,52,0.13,0.13,3.73,4.2,1.25,1.2,8.75,10.77,2.41,3.31,1.16,1.17,3.64,3.25
491794,2017-08-09,114,115,Cleveland Indians,Colorado Rockies,105,112,351.5,381.6,287,377,0.82,0.99,111,192,0.32,0.5,110,149,0.31,0.39,369,376,1.05,0.99,35,50,0.1,0.13,2.84,4.53,1.13,1.38,9.45,8.87,3.35,2.52,0.9,1.18,2.82,3.51
491793,2017-08-09,137,112,San Francisco Giants,Chicago Cubs,113,111,356.8,395.5,353,299,0.99,0.76,159,148,0.45,0.37,156,176,0.44,0.45,322,423,0.9,1.07,29,45,0.08,0.11,4.01,3.37,1.43,1.2,8.12,9.63,2.06,2.4,0.73,1.02,3.93,4.01
491792,2017-08-09,139,111,Tampa Bay Rays,Boston Red Sox,114,109,376.5,361.3,334,291,0.89,0.81,171,112,0.45,0.31,147,115,0.39,0.32,319,365,0.85,1.01,40,34,0.11,0.09,4.09,2.79,1.28,1.12,7.63,9.09,2.17,3.17,0.96,0.85,3.51,2.86
491791,2017-08-09,108,110,Los Angeles Angels,Baltimore Orioles,113,113,391.9,420.0,337,395,0.86,0.94,166,177,0.42,0.42,120,142,0.31,0.34,392,353,1.0,0.84,49,57,0.13,0.14,3.81,3.79,1.17,1.28,9.0,7.56,3.27,2.49,1.13,1.22,2.76,3.04
491797,2017-08-09,109,119,Arizona Diamondbacks,Los Angeles Dodgers,110,111,349.9,380.6,299,292,0.85,0.77,129,125,0.37,0.33,126,113,0.36,0.3,343,417,0.98,1.1,37,45,0.11,0.12,3.32,2.96,1.21,1.06,8.82,9.86,2.72,3.69,0.95,1.06,3.24,2.67
