id,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
7306,2018,2018-04-25T00:05:00.000Z,False,regular,STATUS_FINAL,Choctaw Stadium,False,28,20,texas-rangers,oakland-athletics,TEX,OAK,Texas Rangers,Oakland Athletics,Rangers,Athletics,Rangers,Athletics,Texas,Oakland,American,American,West,West,2,3,,,,,,
7307,2018,2018-04-25T00:10:00.000Z,False,regular,STATUS_FINAL,Minute Maid Park,False,11,13,houston-astros,los-angeles-angels,HOU,LAA,Houston Astros,Los Angeles Angels,Astros,Angels,Astros,Angels,Houston,Los Angeles,American,American,West,West,7,8,,,,,,
7308,2018,2018-04-25T00:15:00.000Z,False,regular,STATUS_FINAL,Kauffman Stadium,False,12,16,kansas-city-royals,milwaukee-brewers,KC,MIL,Kansas City Royals,Milwaukee Brewers,Royals,Brewers,Royals,Brewers,Kansas City,Milwaukee,American,National,Central,Central,2,5,,,,,,
7309,2018,2018-04-25T00:15:00.000Z,False,regular,STATUS_FINAL,Busch Stadium,False,26,18,st-louis-cardinals,new-york-mets,STL,NYM,St. Louis Cardinals,New York Mets,Cardinals,Mets,Cardinals,Mets,St. Louis,New York,National,National,Central,East,5,6,,,,,,
7310,2018,2018-04-25T00:40:00.000Z,False,regular,STATUS_FINAL,Coors Field,False,9,23,colorado-rockies,san-diego-padres,COL,SD,Colorado Rockies,San Diego Padres,Rockies,Padres,Rockies,Padres,Colorado,San Diego,National,National,West,West,8,0,,,,,,
7311,2018,2018-04-25T02:10:00.000Z,False,regular,STATUS_FINAL,Dodger Stadium,False,14,15,los-angeles-dodgers,miami-marlins,LAD,MIA,Los Angeles Dodgers,Miami Marlins,Dodgers,Marlins,Dodgers,Marlins,Los Angeles,Miami,National,National,West,East,2,3,,,,,,
7312,2018,2018-04-25T02:15:00.000Z,False,regular,STATUS_FINAL,Oracle Park,False,24,30,san-francisco-giants,washington-nationals,SF,WSH,San Francisco Giants,Washington Nationals,Giants,Nationals,Giants,Nationals,San Francisco,Washington,National,National,West,East,4,3,,,,,,
7389,2018,2018-04-25T18:10:00.000Z,False,regular,STATUS_FINAL,Guaranteed Rate Field,False,6,25,chicago-white-sox,seattle-mariners,CHW,SEA,Chicago White Sox,Seattle Mariners,White Sox,Mariners,White Sox,Mariners,Chicago,Seattle,American,American,Central,West,3,4,,,,,,
7390,2018,2018-04-25T18:10:00.000Z,False,regular,STATUS_FINAL,Minute Maid Park,False,11,13,houston-astros,los-angeles-angels,HOU,LAA,Houston Astros,Los Angeles Angels,Astros,Angels,Astros,Angels,Houston,Los Angeles,American,American,West,West,5,2,,,,,,
7391,2018,2018-04-25T19:10:00.000Z,False,regular,STATUS_FINAL,Coors Field,False,9,23,colorado-rockies,san-diego-padres,COL,SD,Colorado Rockies,San Diego Padres,Rockies,Padres,Rockies,Padres,Colorado,San Diego,National,National,West,West,5,2,,,,,,
7392,2018,2018-04-25T19:45:00.000Z,False,regular,STATUS_FINAL,Oracle Park,False,24,30,san-francisco-giants,washington-nationals,SF,WSH,San Francisco Giants,Washington Nationals,Giants,Nationals,Giants,Nationals,San Francisco,Washington,National,National,West,East,2,15,,,,,,
7393,2018,2018-04-25T20:05:00.000Z,False,regular,STATUS_FINAL,PNC Park,False,22,10,pittsburgh-pirates,detroit-tigers,PIT,DET,Pittsburgh Pirates,Detroit Tigers,Pirates,Tigers,Pirates,Tigers,Pittsburgh,Detroit,National,American,Central,Central,10,13,,,,,,
7394,2018,2018-04-25T22:35:00.000Z,False,regular,STATUS_FINAL,Yankee Stadium,False,19,17,new-york-yankees,minnesota-twins,NYY,MIN,New York Yankees,Minnesota Twins,Yankees,Twins,Yankees,Twins,New York,Minnesota,American,American,East,Central,7,4,,,,,,
7395,2018,2018-04-25T22:40:00.000Z,False,regular,STATUS_FINAL,Great American Ball Park,False,7,2,cincinnati-reds,atlanta-braves,CIN,ATL,Cincinnati Reds,Atlanta Braves,Reds,Braves,Reds,Braves,Cincinnati,Atlanta,National,National,Central,East,4,5,,,,,,
7396,2018,2018-04-25T23:00:00.000Z,False,regular,STATUS_FINAL,Progressive Field,False,8,5,cleveland-guardians,chicago-cubs,CLE,CHC,Cleveland Guardians,Chicago Cubs,Guardians,Cubs,Guardians,Cubs,Cleveland,Chicago,American,National,Central,Central,4,1,,,,,,
