game_pk,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10
566083,,,,
566084,1.75,2.0,1.75,2.0
565220,,,,
565702,,,,
565799,,,,
565895,,,,
566086,1.6666666666666667,,1.6666666666666667,
566275,,,,
566372,1.5714285714285714,,1.5714285714285714,
566664,,,,
566763,,,,
566864,,,,
566962,,,,
567059,,,,
567359,,,,
567456,,,,
567552,,,,
565800,,0.0,,0.0
566087,1.6,,1.6,
566276,,,,
566373,2.142857142857143,2.5,2.142857142857143,2.5
566665,,,,
566865,,3.0,,3.0
567360,2.5,,2.5,
567553,,2.0,,2.0
565703,0.0,0.5,0.0,0.5
565801,2.4,0.625,2.4,0.625
565896,,,,
566088,1.3333333333333333,5.0,1.3333333333333333,5.0
566277,7.0,2.0,7.0,2.0
566374,1.8,3.0,1.8,3.0
566666,3.5,6.0,3.5,6.0
566764,0.6666666666666666,,0.6666666666666666,
566866,,1.6666666666666667,,1.6666666666666667
566963,,,,
567060,1.0,0.5,1.0,0.5
567361,1.5,,1.5,
567457,4.0,1.25,4.0,1.25
567554,2.75,3.0,2.75,3.0
565222,0.75,4.0,0.75,4.0
565704,1.0,1.0,1.0,1.0
565802,2.1666666666666665,0.5,2.1666666666666665,0.5
565897,1.0,2.6666666666666665,1.0,2.6666666666666665
566089,1.5833333333333333,4.0,1.5833333333333333,4.0
566278,3.6666666666666665,5.5,3.6666666666666665,5.5
566375,2.0,3.4,2.0,3.4
566667,2.5,10.0,2.5,10.0
566765,0.6666666666666666,2.6,0.6666666666666666,2.6
566867,17.0,1.2,17.0,1.2
566964,5.0,1.0,5.0,1.0
567061,1.5,1.6,1.5,1.6
567362,3.25,4.0,3.25,4.0
567458,8.0,1.8571428571428572,8.0,1.8571428571428572
567555,4.25,1.8,4.25,1.8
565223,1.1428571428571428,4.0,1.1428571428571428,4.0
565316,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333
565803,2.8333333333333335,4.333333333333333,2.8333333333333335,4.333333333333333
566090,1.5555555555555556,3.125,1.6153846153846154,3.125
566180,3.5,1.5714285714285714,3.5,1.5714285714285714
566279,3.5,0.6875,3.5,0.6875
566376,1.5,3.0,1.5625,3.0
566668,2.0,2.5,2.0,2.5
566766,0.8333333333333334,14.0,0.8333333333333334,14.0
566868,4.4,2.0,4.4,2.0
567157,1.3333333333333333,2.0,1.3333333333333333,2.0
567363,2.8,4.0,2.8,4.0
567459,2.2857142857142856,2.0,2.2857142857142856,2.0
565224,1.2222222222222223,4.6,1.2222222222222223,4.6
565705,0.75,2.1666666666666665,0.75,2.1666666666666665
565804,3.5,3.75,3.5,3.75
565898,2.3333333333333335,2.0,2.3333333333333335,2.0
566091,2.2,3.375,1.8571428571428572,3.375
566280,4.0,0.8125,4.0,0.8125
566377,1.5,2.25,1.5294117647058822,2.25
566669,3.1666666666666665,2.25,3.1666666666666665,2.25
566767,0.9285714285714286,16.0,0.9285714285714286,16.0
566869,5.166666666666667,2.0,5.166666666666667,2.0
567364,3.6666666666666665,4.0,3.6666666666666665,4.0
567460,2.0,2.8,2.0,2.8
565225,1.0769230769230769,3.142857142857143,1.0769230769230769,3.7142857142857144
565317,1.75,0.8571428571428571,1.75,0.8571428571428571
565706,1.1,2.2857142857142856,1.1,2.2857142857142856
565805,2.75,3.2,3.0,3.2
565899,1.6666666666666667,3.25,1.6666666666666667,3.25
566092,3.2,3.5714285714285716,2.1333333333333333,3.3333333333333335
566181,2.2857142857142856,1.5454545454545454,2.2857142857142856,1.5454545454545454
566281,3.0,1.0,3.25,0.9411764705882353
566670,2.142857142857143,1.6666666666666667,2.857142857142857,2.0
566768,1.1428571428571428,9.0,1.1428571428571428,10.5
566870,3.7142857142857144,1.9166666666666667,4.857142857142857,1.9166666666666667
567158,1.5555555555555556,1.75,1.5555555555555556,1.75
567365,2.5,3.8,2.5,3.8
567461,2.3,3.25,2.3,3.2
564734,2.25,1.75,2.375,1.2857142857142858
564930,1.9,2.5555555555555554,1.7142857142857142,2.7
565318,2.6,3.7142857142857144,2.6,5.142857142857143
565510,5.333333333333333,1.0,3.5,1.0
565990,2.2857142857142856,1.6666666666666667,2.857142857142857,1.6666666666666667
566093,6.666666666666667,3.6666666666666665,2.4,3.4
566182,1.9,1.0714285714285714,1.9,1.0714285714285714
567159,1.6666666666666667,1.2941176470588236,1.6666666666666667,1.2941176470588236
