game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
633500,2021-06-26,137,133,SF,OAK,Giants,Athletics,San Francisco Giants,Oakland Athletics,0,0,regular,regular,2021,2021,78,80,36,35,6,5,9,6,1,0,0,0,2,1,6,4,16,9,7,2,9,9,1,0,0.241,0.237,0.325,0.318,0.433,0.411,0.758,0.729,1,0,0,1,3.17,3.91,10.0,9.3333,6,9,3,5,1,2,2,7,9,9,0.0,0.0,1.1,1.26,1,0,2021-06-26
633509,2021-06-26,116,117,DET,HOU,Tigers,Astros,Detroit Tigers,Houston Astros,0,0,regular,regular,2021,2021,81,78,26,24,2,3,5,5,1,1,0,0,0,2,2,3,6,12,2,3,10,4,0,0,0.232,0.279,0.302,0.351,0.381,0.457,0.683,0.808,0,1,1,0,4.54,3.52,7.0,7.0,5,5,3,2,2,0,3,2,4,10,0.0,0.0,1.38,1.16,0,0,2021-06-26
633510,2021-06-26,113,144,CIN,ATL,Reds,Braves,Cincinnati Reds,Atlanta Braves,0,0,regular,regular,2021,2021,79,81,29,34,4,1,6,8,1,2,0,0,2,0,4,1,13,10,1,4,12,9,0,0,0.249,0.235,0.329,0.317,0.422,0.423,0.751,0.74,1,0,0,1,4.68,4.36,9.0,8.0,8,6,1,4,0,2,4,1,9,12,0.0,0.0,1.37,1.31,0,0,2021-06-26
633512,2021-06-26,135,109,SD,AZ,Padres,D-backs,San Diego Padres,Arizona Diamondbacks,0,0,regular,regular,2021,2021,80,80,34,40,1,10,9,16,2,3,0,0,0,2,1,10,11,25,4,3,6,4,0,0,0.237,0.233,0.321,0.306,0.397,0.374,0.718,0.68,0,1,1,0,3.2,5.25,9.0,9.0,16,9,10,1,2,0,3,4,4,6,0.0,0.0,1.15,1.45,0,0,2021-06-26
633518,2021-06-26,158,115,MIL,COL,Brewers,Rockies,Milwaukee Brewers,Colorado Rockies,0,0,regular,regular,2021,2021,78,82,37,32,10,4,14,7,3,1,0,0,2,1,9,4,23,11,4,6,9,10,2,3,0.215,0.244,0.303,0.31,0.37,0.394,0.673,0.704,1,0,0,1,3.66,4.93,9.0,8.0,7,14,4,9,1,2,6,4,10,9,0.0,0.0,1.18,1.42,0,1,2021-06-26
633520,2021-06-26,141,110,TOR,BAL,Blue Jays,Orioles,Toronto Blue Jays,Baltimore Orioles,0,0,regular,regular,2021,2021,79,81,39,33,12,4,15,7,4,2,0,0,3,0,12,4,28,9,4,2,4,5,0,0,0.262,0.234,0.326,0.298,0.449,0.388,0.775,0.686,1,0,0,1,3.97,5.5,9.0,8.0,7,15,4,12,0,3,2,4,5,4,0.0,0.0,1.26,1.44,0,0,2021-06-26
633525,2021-06-26,139,108,TB,LAA,Rays,Angels,Tampa Bay Rays,Los Angeles Angels,0,0,regular,regular,2021,2021,78,79,38,32,13,3,15,5,3,3,1,0,2,0,11,3,26,8,5,3,8,10,0,0,0.23,0.252,0.317,0.315,0.391,0.429,0.708,0.744,1,0,0,1,3.32,4.95,9.0,8.0,5,15,3,13,0,2,3,5,10,8,0.0,0.0,1.11,1.41,1,1,2021-06-26
633530,2021-06-26,116,117,DET,HOU,Tigers,Astros,Detroit Tigers,Houston Astros,0,0,regular,regular,2021,2021,80,77,22,27,3,1,6,6,1,0,0,0,1,0,3,1,10,6,0,2,6,7,1,0,0.232,0.28,0.302,0.351,0.382,0.456,0.684,0.807,1,0,0,1,4.55,3.53,7.0,6.0,6,6,1,3,0,1,2,0,7,6,0.0,0.0,1.39,1.16,0,0,2021-06-26
633531,2021-06-26,111,147,BOS,NYY,Red Sox,Yankees,Boston Red Sox,New York Yankees,0,0,regular,regular,2021,2021,81,77,30,34,4,2,10,9,2,0,0,0,0,1,4,2,12,12,2,4,6,7,0,0,0.256,0.235,0.317,0.321,0.433,0.394,0.75,0.715,1,0,0,1,4.12,3.6,9.0,8.0,9,10,2,4,1,0,4,2,7,6,0.0,0.0,1.4,1.15,0,0,2021-06-26
633534,2021-06-26,140,118,TEX,KC,Rangers,Royals,Texas Rangers,Kansas City Royals,0,0,regular,regular,2021,2021,77,77,37,29,8,0,12,3,2,0,0,0,2,0,8,0,20,3,7,3,9,12,0,0,0.234,0.241,0.304,0.306,0.379,0.385,0.683,0.691,1,0,0,1,4.62,4.87,9.0,8.0,3,12,0,8,0,2,3,7,12,9,0.0,0.0,1.37,1.45,0,1,2021-06-26
