game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games,is_divisional_game
633544,2021-06-27,135,109,SD,AZ,San Diego Padres,Arizona Diamondbacks,Padres,Diamondbacks,National League,National League,NL,NL,NL West,NL West,NL West,NL West,2021,2021,79,78,46,22,33,56,0.582,0.282,360,331,284,437,76,-106,4.56,4.24,3.59,5.6,0.96,-1.36,0.0,0.0,0.0,0.0,0.543,0.31,0.583,0.226,29,12,15,24,17,10,18,32,L1,W1,0,0,0.0,0.0,0.0,0.0,46-33,22-56,29-15,12-24,17-18,10-32,21-15,7-24,38-32,22-49,8-2,2-8,True
633516,2021-06-27,140,118,TEX,KC,Texas Rangers,Kansas City Royals,Rangers,Royals,American League,American League,AL,AL,AL West,AL Central,AL West,AL Central,2021,2021,77,75,29,33,48,42,0.377,0.44,315,312,374,372,-59,-60,4.09,4.16,4.86,4.96,-0.77,-0.8,0.0,0.0,0.0,0.0,0.422,0.406,0.357,0.395,19,18,21,19,10,15,27,23,W2,L4,0,0,0.0,0.0,0.0,0.0,29-48,33-42,19-21,18-19,10-27,15-23,10-18,15-23,27-37,28-41,4-6,3-7,False
633504,2021-06-27,121,143,NYM,PHI,New York Mets,Philadelphia Phillies,Mets,Phillies,National League,National League,NL,NL,NL East,NL East,NL East,NL East,2021,2021,72,74,40,35,32,39,0.556,0.473,260,315,239,329,21,-14,3.61,4.26,3.32,4.45,0.29,-0.19,0.0,0.0,0.0,0.0,0.587,0.484,0.562,0.462,24,21,10,14,16,14,22,25,W2,L2,0,0,0.0,0.0,0.0,0.0,40-32,35-39,24-10,21-14,16-22,14-25,18-14,18-21,37-26,31-33,5-5,3-7,True
633501,2021-06-27,145,136,CWS,SEA,Chicago White Sox,Seattle Mariners,White Sox,Mariners,American League,American League,AL,AL,AL Central,AL West,AL Central,AL West,2021,2021,75,77,44,40,31,37,0.587,0.519,359,313,279,355,80,-42,4.79,4.06,3.72,4.61,1.07,-0.55,0.0,0.0,0.0,0.0,0.588,0.554,0.667,0.556,27,24,13,16,17,16,18,21,L1,W1,0,0,0.0,0.0,0.0,0.0,44-31,40-37,27-13,24-16,17-18,16-21,24-12,15-12,40-28,36-29,3-7,8-2,False
633499,2021-06-27,145,136,CWS,SEA,Chicago White Sox,Seattle Mariners,White Sox,Mariners,American League,American League,AL,AL,AL Central,AL West,AL Central,AL West,2021,2021,76,78,44,41,32,37,0.579,0.526,361,316,282,357,79,-41,4.75,4.05,3.71,4.58,1.04,-0.53,0.0,0.0,0.0,0.0,0.58,0.561,0.667,0.556,27,24,14,16,17,17,18,21,L2,W2,0,0,0.0,0.0,0.0,0.0,44-32,41-37,27-14,24-16,17-18,17-21,24-12,15-12,40-29,37-29,3-7,8-2,False
633494,2021-06-27,116,117,DET,HOU,Detroit Tigers,Houston Astros,Tigers,Astros,American League,American League,AL,AL,AL Central,AL West,AL Central,AL West,2021,2021,77,77,33,48,44,29,0.429,0.623,301,441,374,298,-73,143,3.91,5.73,4.86,3.87,-0.95,1.86,0.0,0.0,0.0,0.0,0.418,0.657,0.368,0.657,18,26,21,13,15,22,23,16,L1,W1,0,0,0.0,0.0,0.0,0.0,33-44,48-29,18-21,26-13,15-23,22-16,14-24,23-12,28-39,46-24,5-5,9-1,False
633493,2021-06-27,113,144,CIN,ATL,Cincinnati Reds,Atlanta Braves,Reds,Braves,National League,National League,NL,NL,NL Central,NL East,NL Central,NL East,2021,2021,75,76,38,36,37,40,0.507,0.474,372,348,378,355,-6,-7,4.96,4.58,5.04,4.67,-0.08,-0.09,0.0,0.0,0.0,0.0,0.5,0.531,0.613,0.459,18,20,17,20,20,16,20,20,W1,L1,0,0,0.0,0.0,0.0,0.0,38-37,36-40,18-17,20-20,20-20,16-20,19-12,17-20,33-33,34-30,4-6,5-5,False
633527,2021-06-27,137,133,SF,OAK,San Francisco Giants,Oakland Athletics,Giants,Athletics,National League,American League,NL,AL,NL West,AL West,NL West,AL West,2021,2021,76,79,50,46,26,33,0.658,0.582,380,358,276,328,104,30,5.0,4.53,3.63,4.15,1.37,0.38,0.0,0.0,0.0,0.0,0.651,0.582,0.645,0.5,26,25,10,18,24,21,16,15,W5,L2,0,0,0.0,0.0,0.0,0.0,50-26,46-33,26-10,25-18,24-16,21-15,20-11,15-15,41-22,39-28,9-1,4-6,False
633486,2021-06-27,158,115,MIL,COL,Milwaukee Brewers,Colorado Rockies,Brewers,Rockies,National League,National League,NL,NL,NL Central,NL West,NL Central,NL West,2021,2021,77,77,44,31,33,46,0.571,0.403,314,336,308,398,6,-62,4.08,4.36,4.0,5.17,0.08,-0.81,0.0,0.0,0.0,0.0,0.6,0.358,0.567,0.4,22,25,18,16,22,6,15,30,W4,L2,0,0,0.0,0.0,0.0,0.0,44-33,31-46,22-18,25-16,22-15,6-30,17-13,14-21,42-28,24-43,6-4,5-5,False
633489,2021-06-27,146,120,MIA,WSH,Miami Marlins,Washington Nationals,Marlins,Nationals,National League,National League,NL,NL,NL East,NL East,NL East,NL East,2021,2021,76,74,33,36,43,38,0.434,0.486,300,287,279,303,21,-16,3.95,3.88,3.67,4.09,0.28,-0.22,0.0,0.0,0.0,0.0,0.484,0.469,0.56,0.484,18,21,17,18,15,15,26,20,W2,L2,0,0,0.0,0.0,0.0,0.0,33-43,36-38,18-17,21-18,15-26,15-20,14-11,15-16,31-33,30-34,4-6,7-3,True
