game_pk,date,home_ip_per_gs_rolling_5,away_ip_per_gs_rolling_5
661042,2022-04-07,,
661577,2022-04-07,,
662021,2022-04-07,,
662571,2022-04-07,,
662766,2022-04-07,,
663178,2022-04-07,,
663418,2022-04-07,,
661041,2022-04-08,,
661131,2022-04-08,,
661333,2022-04-08,,
661576,2022-04-08,,
661750,2022-04-08,,
661782,2022-04-08,,
661918,2022-04-08,,
662124,2022-04-08,,
662559,2022-04-08,,
662888,2022-04-08,,
662933,2022-04-08,,
663417,2022-04-08,,
661040,2022-04-09,,
661130,2022-04-09,,
661332,2022-04-09,,
661575,2022-04-09,,
661756,2022-04-09,,
661803,2022-04-09,,
661917,2022-04-09,,
662020,2022-04-09,,
662123,2022-04-09,,
662588,2022-04-09,,
662765,2022-04-09,,
662864,2022-04-09,,
662931,2022-04-09,,
663205,2022-04-09,,
663404,2022-04-09,,
661039,2022-04-10,,
661129,2022-04-10,,
661316,2022-04-10,,
661573,2022-04-10,,
661738,2022-04-10,,
661802,2022-04-10,,
661916,2022-04-10,,
662019,2022-04-10,,
662122,2022-04-10,,
662570,2022-04-10,,
662755,2022-04-10,,
662887,2022-04-10,,
662934,2022-04-10,,
663204,2022-04-10,,
663395,2022-04-10,,
661036,2022-04-11,,
661315,2022-04-11,,
661572,2022-04-11,,
661637,2022-04-11,,
661754,2022-04-11,,
661915,2022-04-11,,
662042,2022-04-11,,
662116,2022-04-11,,
662754,2022-04-11,,
662863,2022-04-11,,
663403,2022-04-11,,
661038,2022-04-12,,
661314,2022-04-12,,
661538,2022-04-12,,
661571,2022-04-12,,4.0
661636,2022-04-12,,5.0
661753,2022-04-12,,
661944,2022-04-12,,
661995,2022-04-12,,
662017,2022-04-12,,
662104,2022-04-12,,6.0
662318,2022-04-12,,
662862,2022-04-12,,
663088,2022-04-12,5.0,4.6667
663295,2022-04-12,,
663411,2022-04-12,3.0,
661313,2022-04-13,4.0,0.3333
661530,2022-04-13,,7.0
661570,2022-04-13,5.6667,4.0
661643,2022-04-13,6.0,6.0
661734,2022-04-13,,
661943,2022-04-13,4.3333,5.0
662115,2022-04-13,6.0,7.0
662317,2022-04-13,,5.3333
662885,2022-04-13,4.0,5.0
663117,2022-04-13,,
663341,2022-04-13,4.0,6.6667
663433,2022-04-13,4.0,5.0
661292,2022-04-14,3.6667,6.0
661312,2022-04-14,3.0,5.0
661418,2022-04-14,5.0,7.0
661529,2022-04-14,,5.0
661942,2022-04-14,,5.3333
661993,2022-04-14,5.0,4.6667
662237,2022-04-14,6.0,5.3333
662307,2022-04-14,3.0,4.3333
662627,2022-04-14,5.0,
662702,2022-04-14,5.6667,5.0
662950,2022-04-14,3.6667,5.0
661267,2022-04-15,4.0,3.6667
661417,2022-04-15,5.0,4.0
661528,2022-04-15,5.0,4.0
661792,2022-04-15,,5.0
662014,2022-04-15,,4.0
662192,2022-04-15,2.0,4.0
662236,2022-04-15,,6.0
662291,2022-04-15,4.0,5.0
662485,2022-04-15,6.0,5.0
662620,2022-04-15,3.0,4.3333
662701,2022-04-15,6.0,4.0
662960,2022-04-15,7.0,5.0
663136,2022-04-15,5.6667,5.0
663265,2022-04-15,5.6667,4.0
663357,2022-04-15,5.0,3.3333
661335,2022-04-16,3.6667,3.0
661416,2022-04-16,5.0,2.6667
661527,2022-04-16,4.0,4.6667
661759,2022-04-16,3.3333,5.0
661981,2022-04-16,4.0,5.3333
662206,2022-04-16,4.3333,5.0
662235,2022-04-16,5.0,2.6667
662290,2022-04-16,4.0,5.3333
662619,2022-04-16,2.0,5.0
662626,2022-04-16,5.6667,
662798,2022-04-16,0.6667,6.0
662966,2022-04-16,3.3333,
663076,2022-04-16,5.0,3.6667
663238,2022-04-16,3.3333,4.6667
663266,2022-04-16,1.6667,5.0
661226,2022-04-17,,4.0
661415,2022-04-17,4.6667,4.6667
661462,2022-04-17,4.0,
661804,2022-04-17,6.0,1.3333
662038,2022-04-17,4.0,4.3333
662174,2022-04-17,5.3333,5.0
662234,2022-04-17,3.8333500000000003,5.6667
662294,2022-04-17,5.3333,3.3333500000000003
662618,2022-04-17,4.3333,4.5
662625,2022-04-17,,
662930,2022-04-17,4.6667,5.0
663132,2022-04-17,3.3333,4.3333
663308,2022-04-17,4.3333,5.0
663365,2022-04-17,4.0,4.3333
661242,2022-04-18,4.3333,4.0
662233,2022-04-18,6.5,4.0
662407,2022-04-18,5.666650000000001,3.0
662617,2022-04-18,7.0,3.0
662928,2022-04-18,4.0,6.0
662929,2022-04-18,4.3333,4.66665
663197,2022-04-18,4.5,4.5
663236,2022-04-18,4.3333,5.0
661211,2022-04-19,6.0,3.66665
661405,2022-04-19,5.0,5.166650000000001
662161,2022-04-19,6.666650000000001,4.0
662232,2022-04-19,6.333349999999999,2.3333
662350,2022-04-19,5.166650000000001,5.0
662406,2022-04-19,5.8333,
662583,2022-04-19,4.5,
662587,2022-04-19,4.5,4.0
662616,2022-04-19,5.5,7.0
662717,2022-04-19,5.333349999999999,5.5
662753,2022-04-19,4.3333,4.0
662896,2022-04-19,5.3333,4.833349999999999
662925,2022-04-19,4.5,5.833349999999999
662927,2022-04-19,4.833349999999999,4.0
663196,2022-04-19,4.666650000000001,
663249,2022-04-19,5.0,3.3333
661203,2022-04-20,4.33335,3.8333500000000003
661404,2022-04-20,5.666650000000001,5.1667
662178,2022-04-20,5.0,4.33335
662231,2022-04-20,5.3333,4.166650000000001
662349,2022-04-20,6.0,6.0
662392,2022-04-20,4.666650000000001,5.166650000000001
662560,2022-04-20,5.0,4.666650000000001
662703,2022-04-20,5.0,4.0
662734,2022-04-20,3.5,5.166650000000001
662861,2022-04-20,3.8333500000000003,4.0
662924,2022-04-20,5.666650000000001,4.0
662926,2022-04-20,4.166650000000001,4.1667
663075,2022-04-20,4.0,3.0
663094,2022-04-20,5.0,5.0
663146,2022-04-20,4.5,4.5
663247,2022-04-20,3.83335,2.66665
661391,2022-04-21,5.166650000000001,
662177,2022-04-21,4.5,3.8333500000000003
662391,2022-04-21,5.0,2.8333500000000003
662558,2022-04-21,4.8333,4.666650000000001
662593,2022-04-21,5.333349999999999,4.1667
662742,2022-04-21,5.5,5.0
662850,2022-04-21,,4.16665
663093,2022-04-21,5.5,5.333349999999999
663145,2022-04-21,3.3333,4.166650000000001
663225,2022-04-21,4.5,5.333349999999999
661037,2022-04-22,3.6666499999999997,4.5
661311,2022-04-22,4.833349999999999,
661569,2022-04-22,5.5,3.3333500000000003
661621,2022-04-22,3.8333500000000003,3.5
661755,2022-04-22,5.5,4.5
661914,2022-04-22,4.833349999999999,4.666650000000001
662175,2022-04-22,5.166650000000001,6.5
662230,2022-04-22,5.0,3.5
662390,2022-04-22,2.3333,
662557,2022-04-22,4.0,
662922,2022-04-22,6.5,4.0
663169,2022-04-22,5.166650000000001,4.333349999999999
663195,2022-04-22,4.833349999999999,4.666650000000001
663394,2022-04-22,4.0,4.3333
661035,2022-04-23,5.666650000000001,4.0
661310,2022-04-23,4.666650000000001,4.833349999999999
661568,2022-04-23,4.1667,5.333349999999999
661620,2022-04-23,3.83335,4.6667
661752,2022-04-23,5.166650000000001,4.333349999999999
661941,2022-04-23,2.0,
662191,2022-04-23,5.3333,2.5
662276,2022-04-23,4.7778,
662389,2022-04-23,5.777766666666667,4.0
662549,2022-04-23,,4.666650000000001
662848,2022-04-23,4.833349999999999,4.16665
662849,2022-04-23,,4.5
