game_pk,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
663390,2022-06-10,646242,656731,Jhonathan Díaz,Tylor Megill,108,121,LAA,NYM,2022,2022,0,0,regular,regular,2,7,2,7,0,1,1,5,1,1,0.0,4.41,0,0,0,0,9.7,34.7,4,30,0,17,0,4,8,9,1.24,1.13,8,37,7.45,9.61,,
663014,2022-06-10,663474,621112,Triston McKenzie,Paul Blackburn,114,133,CLE,OAK,2022,2022,0,0,regular,regular,9,11,9,11,5,2,3,7,4,3,2.95,2.62,0,0,0,0,55.0,58.3,32,48,18,17,9,3,14,14,0.84,1.06,48,44,7.85,6.79,,
662831,2022-06-10,660730,621244,Elvin Rodríguez,José Berríos,116,141,DET,TOR,2022,2022,0,0,regular,regular,3,11,3,11,0,5,0,6,2,3,9.45,5.24,0,0,0,0,13.3,56.7,17,64,14,33,5,10,5,16,1.65,1.41,12,49,8.1,7.78,,
662759,2022-06-10,677651,641154,Luis Garcia,Pablo López,117,146,HOU,MIA,2022,2022,0,0,regular,regular,10,11,10,11,4,5,5,6,4,4,3.07,2.18,0,0,0,0,55.7,66.0,41,47,19,16,8,6,16,17,1.02,0.97,53,67,8.57,9.14,,
662676,2022-06-10,669169,669145,Jonathan Heasley,Bruce Zimmermann,118,110,KC,BAL,2022,2022,0,0,regular,regular,5,11,5,11,2,3,0,4,4,6,4.62,4.87,0,0,0,0,25.3,57.3,25,66,13,31,4,13,18,11,1.7,1.34,15,42,5.33,6.59,,
662511,2022-06-10,607200,676879,Erick Fedde,Aaron Ashby,120,158,WSH,MIL,2022,2022,0,0,regular,regular,11,6,11,6,2,1,4,3,3,2,4.88,3.45,0,0,0,0,51.7,31.3,56,25,28,12,6,4,25,18,1.57,1.37,43,39,7.49,11.2,,
662275,2022-06-10,605397,641771,Joe Musgrove,Chad Kuhl,135,115,SD,COL,2022,2022,0,0,regular,regular,10,10,10,10,10,6,9,4,1,4,1.64,3.17,0,0,0,0,66.0,54.0,47,48,12,19,4,5,14,20,0.92,1.26,64,41,8.73,6.83,,
661513,2022-06-10,675911,672710,Spencer Strider,Roansy Contreras,144,134,ATL,PIT,2022,2022,0,0,regular,regular,2,3,2,3,0,0,0,1,1,2,4.32,1.15,0,0,0,0,8.3,15.7,6,12,4,2,1,1,7,5,1.56,1.09,12,16,12.96,9.19,,
662090,2022-06-10,596001,621111,Jakob Junis,Walker Buehler,137,119,SF,LAD,2022,2022,0,0,regular,regular,6,11,6,11,2,3,3,7,2,3,3.27,3.84,0,0,0,0,33.0,61.0,24,63,12,26,5,7,8,17,0.97,1.31,25,52,6.82,7.67,,
661983,2022-06-10,669467,622491,Andre Pallante,Luis Castillo,138,113,STL,CIN,2022,2022,0,0,regular,regular,1,6,1,6,0,3,0,2,0,3,2.25,3.55,0,0,0,0,4.0,33.0,4,25,1,13,0,3,4,12,2.0,1.12,2,34,4.5,9.27,,
661678,2022-06-10,656970,656876,Devin Smeltzer,Drew Rasmussen,142,139,MIN,TB,2022,2022,0,0,regular,regular,5,11,5,11,2,2,2,6,2,2,1.93,3.02,0,0,0,0,28.0,53.7,20,41,6,18,2,5,6,14,0.93,1.02,13,46,4.18,7.71,,
661617,2022-06-10,502043,668678,Kyle Gibson,Zac Gallen,143,109,PHI,AZ,2022,2022,0,0,regular,regular,11,10,11,10,4,5,3,6,5,3,4.4,2.4,0,0,0,0,57.3,56.3,56,39,28,15,5,4,17,15,1.27,0.96,52,53,8.16,8.47,,
661485,2022-06-10,625643,456713,Reynaldo López,Matt Bush,145,140,CWS,TEX,2022,2022,0,0,regular,regular,0,2,0,2,0,0,0,0,0,0,0.0,4.5,0,0,0,0,0.0,2.0,0,1,0,1,0,1,0,0,0.0,0.5,0,4,0.0,18.0,,
661284,2022-06-10,622663,489119,Luis Severino,Wade Miley,147,112,NYY,CHC,2022,2022,0,0,regular,regular,10,3,10,3,3,2,6,2,2,0,2.95,3.38,0,0,0,0,55.0,16.0,41,12,18,6,7,0,14,7,1.0,1.19,61,10,9.98,5.62,,
662129,2022-06-10,594835,448179,Marco Gonzales,Rich Hill,136,111,SEA,BOS,2022,2022,0,0,regular,regular,11,10,11,10,6,2,4,2,5,5,3.59,4.4,0,0,0,0,57.7,45.0,59,42,23,22,11,6,18,11,1.34,1.18,34,34,5.31,6.8,,
