game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds,pitcher_id,pitcher_name,team_id,team_abbreviation,opponent_id,opponent_abbreviation,home_away,win,loss,save,ip,h,r,er,bb,so,hr,era,pitches,strikes,date_dt
744808,2024-08-31,687792.0,665871.0,DJ Herz,Javier Assad,Washington Nationals,Chicago Cubs,4.2,6.0,3.0,8.0,4.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,87.0,90.0,55.0,56.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,25.0,4.0,5.0,5.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
744971,2024-08-31,674003.0,683155.0,Cody Bradford,Joey Estes,Texas Rangers,Oakland Athletics,7.0,6.0,4.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,97.0,84.0,68.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,3.0,5.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
745050,2024-08-31,669358.0,681190.0,Shane Baz,Randy Vásquez,Tampa Bay Rays,San Diego Padres,5.0,4.1,2.0,11.0,2.0,9.0,2.0,9.0,3.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,78.0,93.0,50.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,28.0,4.0,4.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
745296,2024-08-31,696131.0,665795.0,Mason Black,Edward Cabrera,San Francisco Giants,Miami Marlins,5.0,5.1,4.0,6.0,2.0,2.0,2.0,1.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,98.0,58.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0,3.0,7.0,5.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
745532,2024-08-31,554430.0,608331.0,Zack Wheeler,Max Fried,Philadelphia Phillies,Atlanta Braves,7.0,7.0,4.0,5.0,0.0,3.0,0.0,3.0,0.0,4.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,96.0,103.0,65.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,8.0,11.0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
745699,2024-08-31,701542.0,502043.0,Will Warren,Kyle Gibson,New York Yankees,St. Louis Cardinals,4.0,7.0,5.0,5.0,4.0,1.0,4.0,1.0,3.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,93.0,44.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,27.0,6.0,9.0,2.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
745859,2024-08-31,805673.0,621244.0,Zebby Matthews,José Berríos,Minnesota Twins,Toronto Blue Jays,2.0,6.0,10.0,3.0,9.0,0.0,9.0,0.0,0.0,1.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,69.0,63.0,45.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,1.0,7.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
746182,2024-08-31,542881.0,693433.0,Tyler Anderson,Bryan Woo,Los Angeles Angels,Seattle Mariners,4.0,6.1,6.0,5.0,4.0,4.0,4.0,4.0,3.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,83.0,69.0,46.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,5.0,6.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
746348,2024-08-31,579328.0,666142.0,Yusei Kikuchi,Cole Ragans,Houston Astros,Kansas City Royals,7.0,5.0,5.0,4.0,1.0,5.0,1.0,5.0,0.0,2.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,93.0,75.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,22.0,6.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
746424,2024-08-31,669373.0,601713.0,Tarik Skubal,Nick Pivetta,Detroit Tigers,Boston Red Sox,8.0,6.0,4.0,7.0,1.0,2.0,1.0,2.0,0.0,1.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,96.0,72.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,25.0,8.0,3.0,7.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
