balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
1,778563,2025-03-18,112,119,CHC,LAD,Chicago Cubs,Los Angeles Dodgers,Cubs,Dodgers,0,0,regular,regular,2025,2025,1,1,30,34,1,4,3,7,1,2,0,0,0,0,1,3,4,9,1,8,9,9,1,0,0.1,0.206,0.156,0.357,0.133,0.265,0.289,0.622,0,1,1,0,3.0,1.0,9.0,9.0,7,3,3,1,0,0,8,1,9,9,0.205,0.1,1.67,0.44,2,0,2025-03-18
125,778564,2025-03-19,112,119,CHC,LAD,Chicago Cubs,Los Angeles Dodgers,Cubs,Dodgers,0,0,regular,regular,2025,2025,2,2,34,30,3,6,8,7,2,3,0,0,0,3,3,5,10,19,7,7,12,9,2,0,0.172,0.219,0.274,0.363,0.219,0.438,0.493,0.801,0,1,1,0,4.5,2.0,9.0,9.0,7,8,6,3,3,0,7,7,9,12,0.233,0.235,1.61,1.06,0,0,2025-03-19
1828,778556,2025-03-27,141,110,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,Blue Jays,Orioles,0,0,regular,regular,2025,2025,1,1,28,39,2,12,4,14,0,1,0,0,1,6,2,12,7,33,5,5,3,8,0,0,0.143,0.359,0.273,0.444,0.25,0.846,0.523,1.29,0,1,1,0,12.0,2.0,9.0,9.0,14,4,12,2,6,1,5,5,8,3,0.358,0.142,2.11,1.0,0,0,2025-03-27
1830,778557,2025-03-27,147,158,NYY,MIL,New York Yankees,Milwaukee Brewers,Yankees,Brewers,0,0,regular,regular,2025,2025,1,1,29,33,4,2,7,7,1,1,0,0,2,1,4,2,14,11,4,4,10,13,0,1,0.241,0.212,0.324,0.289,0.483,0.333,0.807,0.622,1,0,0,1,2.0,4.5,9.0,8.0,7,7,2,4,1,2,4,4,13,10,0.212,0.241,1.22,1.38,0,1,2025-03-27
1831,778555,2025-03-27,120,143,WSH,PHI,Washington Nationals,Philadelphia Phillies,Nationals,Phillies,0,0,regular,regular,2025,2025,1,1,33,37,3,7,5,8,1,2,0,1,1,2,3,6,9,18,3,6,13,19,3,1,0.152,0.216,0.243,0.326,0.273,0.486,0.516,0.812,0,1,1,0,5.4,2.7,10.0,10.0,8,5,6,3,2,1,6,3,19,13,0.216,0.151,1.4,0.8,0,0,2025-03-27
1832,778562,2025-03-27,146,134,MIA,PIT,Miami Marlins,Pittsburgh Pirates,Marlins,Pirates,0,0,regular,regular,2025,2025,1,1,30,31,5,4,7,4,1,1,1,0,0,1,4,4,10,8,7,7,11,11,1,6,0.233,0.129,0.395,0.325,0.333,0.258,0.728,0.583,1,0,0,1,4.0,5.63,9.0,8.0,4,7,4,5,1,0,7,7,11,11,0.129,0.233,1.22,1.75,0,1,2025-03-27
1833,778561,2025-03-27,113,137,CIN,SF,Cincinnati Reds,San Francisco Giants,Reds,Giants,0,0,regular,regular,2025,2025,1,1,33,33,4,6,8,6,1,0,0,0,0,2,4,6,9,12,4,2,8,17,0,0,0.242,0.182,0.342,0.229,0.273,0.364,0.615,0.593,0,1,1,0,6.0,4.0,9.0,9.0,6,8,6,4,2,0,2,4,17,8,0.181,0.242,0.89,1.33,0,0,2025-03-27
1834,778554,2025-03-27,145,108,CWS,LAA,Chicago White Sox,Los Angeles Angels,White Sox,Angels,0,0,regular,regular,2025,2025,1,1,33,32,8,1,9,5,2,1,0,0,3,1,8,1,20,9,2,2,6,10,0,0,0.273,0.156,0.314,0.229,0.606,0.281,0.92,0.51,1,0,0,1,1.0,9.0,9.0,8.0,5,9,1,8,1,3,2,2,10,6,0.156,0.272,0.78,1.38,0,0,2025-03-27
1835,778553,2025-03-27,140,111,TEX,BOS,Texas Rangers,Boston Red Sox,Rangers,Red Sox,0,0,regular,regular,2025,2025,1,1,33,33,2,5,7,6,1,0,0,0,0,2,2,5,8,12,2,3,7,13,0,2,0.212,0.182,0.257,0.25,0.242,0.364,0.499,0.614,0,1,1,0,5.0,2.0,9.0,9.0,6,7,5,2,2,0,3,2,13,7,0.181,0.212,1.0,1.0,0,0,2025-03-27
1836,778558,2025-03-27,118,114,KC,CLE,Kansas City Royals,Cleveland Guardians,Royals,Guardians,0,0,regular,regular,2025,2025,1,1,35,36,4,7,7,10,2,3,0,1,1,1,4,7,12,18,1,3,10,5,2,0,0.2,0.278,0.216,0.317,0.343,0.5,0.559,0.817,0,1,1,0,5.4,3.6,10.0,10.0,10,7,6,4,1,1,3,1,5,10,0.277,0.2,1.3,0.8,0,0,2025-03-27
