balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
30194,777294,2025-07-01,111,113,BOS,CIN,Boston Red Sox,Cincinnati Reds,Red Sox,Reds,0,0,regular,regular,2025,2025,92,89,30,27,5,3,8,3,4,0,0,0,0,1,5,3,12,6,2,2,10,5,2,0,0.25,0.247,0.323,0.319,0.421,0.4,0.744,0.719,1,0,0,1,4.01,3.93,9.0,8.0,3,8,3,5,1,0,2,2,5,10,0.111,0.266,1.32,1.23,0,0,2025-07-01
30198,777283,2025-07-01,141,147,TOR,NYY,Toronto Blue Jays,New York Yankees,Blue Jays,Yankees,0,0,regular,regular,2025,2025,87,86,32,36,12,5,8,9,0,2,0,0,3,0,12,4,17,11,6,7,6,5,0,0,0.257,0.252,0.328,0.336,0.398,0.445,0.726,0.781,1,0,0,1,4.2,3.57,9.0,8.0,9,8,4,11,0,3,7,6,5,6,0.25,0.25,1.26,1.18,2,1,2025-07-01
30201,777288,2025-07-01,134,138,PIT,STL,Pittsburgh Pirates,St. Louis Cardinals,Pirates,Cardinals,0,0,regular,regular,2025,2025,88,93,26,32,1,0,4,7,1,3,0,0,0,0,1,0,5,10,2,4,4,8,0,0,0.234,0.253,0.307,0.324,0.348,0.395,0.655,0.719,1,0,0,1,3.69,3.92,9.0,8.0,7,4,0,1,0,0,4,2,8,4,0.218,0.153,1.2,1.26,0,0,2025-07-01
30197,777293,2025-07-01,146,142,MIA,MIN,Miami Marlins,Minnesota Twins,Marlins,Twins,0,0,regular,regular,2025,2025,84,88,31,29,2,0,8,2,0,1,1,0,1,0,2,0,13,3,1,1,4,9,0,1,0.254,0.239,0.317,0.31,0.391,0.392,0.708,0.702,1,0,0,1,4.83,4.19,9.0,8.0,2,8,0,2,0,1,1,1,9,4,0.068,0.258,1.37,1.25,0,0,2025-07-01
30199,777286,2025-07-01,139,133,TB,ATH,Tampa Bay Rays,Athletics,Rays,Athletics,0,0,regular,regular,2025,2025,86,88,36,33,3,4,8,7,1,2,0,0,3,2,3,4,18,15,6,2,8,15,3,1,0.258,0.248,0.324,0.316,0.41,0.408,0.734,0.724,0,1,1,0,3.73,5.32,10.0,10.0,7,8,3,3,2,3,2,6,15,8,0.212,0.222,1.19,1.48,1,1,2025-07-01
30194,777294,2025-07-01,111,113,BOS,CIN,Boston Red Sox,Cincinnati Reds,Red Sox,Reds,0,0,regular,regular,2025,2025,91,88,30,27,5,3,8,3,4,0,0,0,0,1,5,3,12,6,2,2,10,5,2,0,0.25,0.247,0.323,0.319,0.421,0.4,0.744,0.719,1,0,0,1,4.01,3.93,9.0,8.0,3,8,3,5,1,0,2,2,5,10,0.111,0.266,1.32,1.23,0,0,2025-07-01
30193,777298,2025-07-01,144,108,ATL,LAA,Atlanta Braves,Los Angeles Angels,Braves,Angels,0,0,regular,regular,2025,2025,87,84,34,35,0,4,7,8,1,3,1,0,0,0,0,4,10,11,2,7,11,10,0,0,0.243,0.229,0.318,0.297,0.379,0.409,0.697,0.706,0,1,1,0,3.75,4.52,9.0,9.0,8,7,3,0,0,0,7,2,10,11,0.228,0.205,1.24,1.45,1,0,2025-07-01
30203,777287,2025-07-01,112,114,CHC,CLE,Chicago Cubs,Cleveland Guardians,Cubs,Guardians,0,0,regular,regular,2025,2025,86,87,29,30,5,2,10,5,2,1,0,0,1,0,5,2,15,6,5,2,3,8,0,0,0.257,0.225,0.326,0.297,0.446,0.364,0.772,0.661,1,0,0,1,3.84,4.05,9.0,8.0,5,10,2,5,0,1,2,5,8,3,0.166,0.344,1.24,1.38,0,1,2025-07-01
30202,777282,2025-07-01,140,110,TEX,BAL,Texas Rangers,Baltimore Orioles,Rangers,Orioles,0,0,regular,regular,2025,2025,86,90,37,33,10,2,14,7,6,0,0,0,1,1,9,2,23,10,5,1,7,9,1,1,0.228,0.241,0.296,0.307,0.366,0.4,0.662,0.707,1,0,0,1,3.27,4.99,9.0,8.0,7,14,2,10,1,1,1,5,9,7,0.212,0.378,1.15,1.43,0,0,2025-07-01
30204,777285,2025-07-01,115,117,COL,HOU,Colorado Rockies,Houston Astros,Rockies,Astros,0,0,regular,regular,2025,2025,88,85,38,36,5,6,12,10,2,0,0,0,2,1,5,6,20,13,2,4,10,9,0,0,0.228,0.255,0.29,0.321,0.379,0.399,0.669,0.72,0,1,1,0,5.5,3.49,9.0,9.0,10,12,6,5,1,2,4,2,9,10,0.277,0.315,1.55,1.15,1,0,2025-07-01
