balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
13973,778046,2025-05-06,120,114,WSH,CLE,Washington Nationals,Cleveland Guardians,Nationals,Guardians,0,0,regular,regular,2025,2025,39,38,28,35,1,9,4,8,0,3,0,0,1,3,1,7,7,20,3,4,7,5,1,1,0.239,0.236,0.309,0.308,0.384,0.388,0.693,0.696,0,1,1,0,5.3,4.26,9.0,9.0,8,4,9,1,3,1,4,3,5,7,0.228,0.142,1.44,1.41,0,0,2025-05-06
13973,778046,2025-05-06,120,114,WSH,CLE,Washington Nationals,Cleveland Guardians,Nationals,Guardians,0,0,regular,regular,2025,2025,37,36,28,35,1,9,4,8,0,3,0,0,1,3,1,7,7,20,3,4,7,5,1,1,0.239,0.236,0.309,0.308,0.384,0.388,0.693,0.696,0,1,1,0,5.3,4.26,9.0,9.0,8,4,9,1,3,1,4,3,5,7,0.228,0.142,1.44,1.41,0,0,2025-05-06
14532,777984,2025-05-09,136,141,SEA,TOR,Seattle Mariners,Toronto Blue Jays,Mariners,Blue Jays,0,0,regular,regular,2025,2025,37,40,37,35,3,6,9,10,2,3,0,0,0,1,3,6,11,16,2,3,11,8,0,0,0.246,0.246,0.338,0.316,0.411,0.362,0.749,0.678,0,1,1,0,3.68,4.35,9.0,9.0,10,9,6,3,1,0,3,2,8,11,0.285,0.243,1.31,1.26,1,0,2025-05-09
14532,777970,2025-05-10,136,141,SEA,TOR,Seattle Mariners,Toronto Blue Jays,Mariners,Blue Jays,0,0,regular,regular,2025,2025,38,41,32,37,3,6,6,10,1,1,0,0,1,1,3,6,10,14,1,5,10,10,0,2,0.245,0.246,0.335,0.317,0.409,0.362,0.744,0.679,0,1,1,0,3.74,4.31,9.0,9.0,10,6,6,3,1,1,5,1,10,10,0.27,0.187,1.32,1.25,0,0,2025-05-10
17253,777861,2025-05-19,142,114,MIN,CLE,Minnesota Twins,Cleveland Guardians,Twins,Guardians,0,0,regular,regular,2025,2025,49,49,34,34,6,5,12,8,3,3,1,0,0,1,6,5,17,14,6,2,8,8,1,0,0.245,0.233,0.313,0.306,0.388,0.38,0.701,0.686,1,0,0,1,3.24,4.19,9.0,8.2,8,12,5,6,1,0,2,6,8,8,0.235,0.352,1.14,1.42,0,0,2025-05-19
17253,777861,2025-05-19,142,114,MIN,CLE,Minnesota Twins,Cleveland Guardians,Twins,Guardians,0,0,regular,regular,2025,2025,51,51,34,34,6,5,12,8,3,3,1,0,0,1,6,5,17,14,6,2,8,8,1,0,0.245,0.233,0.313,0.306,0.388,0.38,0.701,0.686,1,0,0,1,3.24,4.19,9.0,8.2,8,12,5,6,1,0,2,6,8,8,0.235,0.352,1.14,1.42,0,0,2025-05-19
23516,777623,2025-06-06,113,109,CIN,AZ,Cincinnati Reds,Arizona Diamondbacks,Reds,D-backs,0,0,regular,regular,2025,2025,66,64,35,34,4,3,9,6,2,1,0,0,2,2,4,3,17,13,4,1,10,12,0,0,0.243,0.254,0.318,0.331,0.393,0.447,0.711,0.778,1,0,0,1,3.78,4.74,10.0,9.1,6,9,3,3,2,2,1,4,12,10,0.176,0.257,1.19,1.33,0,0,2025-06-06
23516,777623,2025-06-06,113,109,CIN,AZ,Cincinnati Reds,Arizona Diamondbacks,Reds,D-backs,0,0,regular,regular,2025,2025,65,63,35,34,4,3,9,6,2,1,0,0,2,2,4,3,17,13,4,1,10,12,0,0,0.243,0.254,0.318,0.331,0.393,0.447,0.711,0.778,1,0,0,1,3.78,4.74,10.0,9.1,6,9,3,3,2,2,1,4,12,10,0.176,0.257,1.19,1.33,0,0,2025-06-06
30194,777294,2025-07-01,111,113,BOS,CIN,Boston Red Sox,Cincinnati Reds,Red Sox,Reds,0,0,regular,regular,2025,2025,92,89,30,27,5,3,8,3,4,0,0,0,0,1,5,3,12,6,2,2,10,5,2,0,0.25,0.247,0.323,0.319,0.421,0.4,0.744,0.719,1,0,0,1,4.01,3.93,9.0,8.0,3,8,3,5,1,0,2,2,5,10,0.111,0.266,1.32,1.23,0,0,2025-07-01
30194,777294,2025-07-01,111,113,BOS,CIN,Boston Red Sox,Cincinnati Reds,Red Sox,Reds,0,0,regular,regular,2025,2025,91,88,30,27,5,3,8,3,4,0,0,0,0,1,5,3,12,6,2,2,10,5,2,0,0.25,0.247,0.323,0.319,0.421,0.4,0.744,0.719,1,0,0,1,4.01,3.93,9.0,8.0,3,8,3,5,1,0,2,2,5,10,0.111,0.266,1.32,1.23,0,0,2025-07-01
