id,date,home_starter_id,home_starter_name,away_starter_id,away_starter_name
32822,2025-07-12T17:05:00.000Z,3224,Matthew Boyd,5439,Max Fried
32823,2025-07-12T20:10:00.000Z,958,Bradley Blalock,67,Brady Singer
32824,2025-07-12T20:05:00.000Z,5349,Janson Junk,743,Trevor Rogers
32825,2025-07-12T17:10:00.000Z,418,George Kirby,159,Casey Mize
32826,2025-07-12T20:10:00.000Z,850,Shane Baz,555,Garrett Crochet
32827,2025-07-12T18:15:00.000Z,603,Aaron Bummer,172,Erick Fedde
32828,2025-07-12T20:10:00.000Z,708,Tanner Bibee,534,Sean Burke
32829,2025-07-12T20:10:00.000Z,78,Frankie Montas,119,Angel Zerpa
32830,2025-07-12T18:10:00.000Z,558,Mike Burrows,843,Cole Sands
32831,2025-07-12T23:35:00.000Z,1017,Jacob deGrom,481,Framber Valdez
32832,2025-07-12T20:10:00.000Z,11933,Shinnosuke Ogasawara,3198,Brandon Woodruff
32833,2025-07-13T01:38:00.000Z,24,Zac Gallen,1727,Yusei Kikuchi
32834,2025-07-12T20:05:00.000Z,208,Shohei Ohtani,928,Landen Roupp
32835,2025-07-12T23:35:00.000Z,473,Zack Wheeler,242,Yu Darvish
67906,2025-07-13T02:05:00.000Z,741,Kevin Gausman,949,Jacob Lopez
