game_pk,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
776881,2025-08-03,678022,593958,Jack Perkins,Eduardo Rodriguez,133,109,ATH,AZ,2025,2025,0,0,regular,regular,0,18,0,18,0,4,0,5,0,11,0.0,5.63,0,0,0,0,0.0,92.7,0,119,0,58,0,18,0,34,0.0,1.65,0,98,0.0,9.52,,
776885,2025-08-03,686799,680732,Jack Kochanowicz,Sean Burke,108,145,LAA,CWS,2025,2025,0,0,regular,regular,20,17,20,17,4,5,6,6,9,6,5.75,4.41,0,0,0,0,98.7,83.7,109,80,63,41,16,14,51,43,1.62,1.47,68,69,6.2,7.42,,
776886,2025-08-03,687134,656605,Bradley Blalock,Mitch Keller,115,134,COL,PIT,2025,2025,0,0,regular,regular,6,22,6,22,1,15,2,7,3,13,7.2,3.69,0,0,0,0,30.0,127.0,42,120,24,52,4,10,7,33,1.63,1.2,14,100,4.2,7.09,,
776890,2025-08-03,650911,450203,Cristopher Sánchez,Charlie Morton,143,110,PHI,BAL,2025,2025,0,0,regular,regular,21,17,21,17,14,6,14,8,5,6,2.55,5.72,0,0,0,0,130.7,85.0,110,97,37,54,10,13,33,40,1.09,1.61,139,84,9.57,8.89,,
776884,2025-08-03,656302,669467,Dylan Cease,Andre Pallante,135,138,SD,STL,2025,2025,0,0,regular,regular,22,21,22,21,6,8,8,7,11,11,4.79,4.62,0,0,0,0,118.3,117.0,111,116,63,60,17,14,47,37,1.34,1.31,153,76,11.64,5.85,,
776888,2025-08-03,607067,687064,Colin Rea,Brandon Young,112,110,CHC,BAL,2025,2025,0,0,regular,regular,18,8,18,8,5,1,9,1,6,6,4.72,6.63,0,0,0,0,95.3,36.7,102,46,50,27,19,8,27,16,1.35,1.69,73,34,6.89,8.35,,
776883,2025-08-03,688138,594798,Logan Evans,Jacob deGrom,136,140,SEA,TEX,2025,2025,0,0,regular,regular,12,21,12,21,2,12,5,13,6,8,4.22,2.55,0,0,0,0,64.0,123.7,69,88,30,35,11,16,23,26,1.44,0.92,50,130,7.03,9.46,,
776892,2025-08-03,676282,570632,Joey Cantillo,José Ureña,114,141,CLE,TOR,2025,2025,0,0,regular,regular,5,2,5,2,0,0,2,0,1,1,4.57,4.26,0,0,0,0,21.7,6.3,19,6,11,3,2,2,14,2,1.52,1.26,27,2,11.22,2.84,,
776895,2025-08-03,608337,664285,Lucas Giolito,Framber Valdez,111,117,BOS,HOU,2025,2025,0,0,regular,regular,16,21,16,21,10,16,7,15,4,6,3.8,2.62,0,0,0,0,87.7,134.0,84,105,37,39,13,8,26,44,1.25,1.11,77,141,7.9,9.47,,
776889,2025-08-03,671212,808967,Joe Boyle,Yoshinobu Yamamoto,139,119,TB,LAD,2025,2025,0,0,regular,regular,2,21,2,21,0,12,1,12,0,7,4.32,2.63,0,0,0,0,8.3,116.3,4,83,4,34,1,10,5,39,1.08,1.05,13,133,14.04,10.29,,
776891,2025-08-03,665795,661563,Edward Cabrera,Luis Gil,146,147,MIA,NYY,2025,2025,0,0,regular,regular,18,0,18,0,4,0,8,0,9,0,3.35,0.0,0,0,0,0,94.0,0.0,83,0,35,0,10,0,33,0,1.23,0.0,96,0,9.19,0.0,,
776893,2025-08-03,605135,607625,Chris Bassitt,Seth Lugo,141,118,TOR,KC,2025,2025,0,0,regular,regular,22,20,22,20,9,11,14,11,6,8,4.28,3.03,0,0,0,0,122.0,118.7,135,97,58,40,18,19,30,37,1.35,1.13,120,104,8.85,7.89,,
776887,2025-08-03,593423,687931,Frankie Montas,Carson Whisenhunt,121,137,NYM,SF,2025,2025,0,0,regular,regular,6,1,6,1,0,0,3,0,3,1,5.46,7.2,0,0,0,0,29.7,5.0,35,5,18,4,6,1,8,2,1.45,1.4,26,3,7.89,5.4,,
776894,2025-08-03,695418,701656,Brad Lord,Logan Henderson,120,158,WSH,MIL,2025,2025,0,0,regular,regular,8,4,8,4,1,1,2,4,4,0,3.79,1.71,0,0,0,0,35.7,21.0,34,14,15,4,2,3,10,6,1.23,0.95,24,29,6.06,12.43,,
