balldontlie_game_id,id,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
44345,776708,2025-08-17,680730,605400,Mitchell Parker,Aaron Nola,120,143,WSH,PHI,2025,2025,0,0,regular,regular,24,9,24,9,9,3,7,1,13,7,5.55,6.16,0,0,0,0,128.0,49.666666666666664,138,59,79,34,17,11,49,16,1.46,1.51,84,52,5.91,9.42,,
44343,776714,2025-08-17,676979,676083,Garrett Crochet,Janson Junk,111,146,BOS,MIA,2025,2025,0,0,regular,regular,24,15,24,10,15,3,13,6,5,2,2.48,4.06,0,1,0,0,152.33333333333331,75.33333333333334,127,77,42,34,13,5,40,8,1.1,1.13,188,52,11.11,6.21,,
44346,776710,2025-08-17,621244,543135,José Berríos,Nathan Eovaldi,141,140,TOR,TEX,2025,2025,0,0,regular,regular,25,20,25,20,13,12,9,10,4,3,3.74,1.71,0,0,0,0,142.00000000000003,116.00000000000001,130,81,59,22,20,8,49,21,1.26,0.88,119,114,7.54,8.84,,
44342,776706,2025-08-17,671106,607200,Logan Allen,Erick Fedde,114,144,CLE,ATL,2025,2025,0,0,regular,regular,23,23,22,23,6,6,7,4,9,12,3.94,5.4,0,0,0,0,118.66666666666666,116.66666666666666,117,119,52,70,14,16,48,55,1.39,1.49,92,70,6.98,5.4,,
44344,776709,2025-08-17,671096,500779,Andrew Abbott,Jose Quintana,113,158,CIN,MIL,2025,2025,0,0,regular,regular,21,18,21,18,9,6,8,10,3,4,2.41,3.44,0,0,0,0,123.0,99.33333333333333,101,93,33,38,13,14,35,36,1.11,1.3,105,69,7.68,6.25,,
44347,776705,2025-08-17,664299,665152,Cristian Javier,Dean Kremer,117,110,HOU,BAL,2025,2025,0,0,regular,regular,1,24,1,23,0,7,1,8,0,9,3.6,4.17,0,0,0,0,5.0,140.33333333333331,3,139,2,65,1,18,2,36,1.0,1.25,5,116,9.0,7.44,,
44349,776700,2025-08-17,641672,663978,Thomas Hatch,Chris Paddack,142,116,MIN,DET,2025,2025,0,0,regular,regular,3,24,0,24,0,6,1,4,0,10,5.59,4.76,0,0,0,0,9.666666666666666,126.66666666666669,9,127,6,67,2,20,8,28,1.76,1.22,6,92,5.59,6.54,,
44348,776702,2025-08-17,686701,663436,Ryan Bergert,Davis Martin,118,145,KC,CWS,2025,2025,0,0,regular,regular,13,18,9,17,0,7,1,4,1,9,2.87,4.17,0,0,0,0,47.0,101.33333333333333,30,101,15,47,5,15,21,31,1.09,1.3,44,70,8.43,6.22,,
44350,776698,2025-08-17,571945,701542,Miles Mikolas,Will Warren,138,147,STL,NYY,2025,2025,0,0,regular,regular,23,25,23,25,7,5,6,7,9,5,4.97,4.34,0,0,0,0,117.66666666666669,122.33333333333334,126,113,65,59,21,14,25,54,1.28,1.37,79,140,6.04,10.3,,
44351,776704,2025-08-17,665871,669387,Javier Assad,Carmen Mlodzinski,112,134,CHC,PIT,2025,2025,0,0,regular,regular,1,24,1,9,0,0,0,2,1,7,9.0,4.2,0,0,0,2,4.0,75.00000000000001,8,84,4,35,1,8,1,20,2.25,1.39,2,62,4.5,7.44,,
44352,776701,2025-08-17,622608,622503,Antonio Senzatela,Nabil Crismatt,115,109,COL,AZ,2025,,0,0,regular,regular,22,0,21,0,2,0,4,0,14,0,7.34,0.0,0,0,0,0,103.0,0.0,159,0,84,0,19,0,38,0,1.91,0.0,55,0,4.81,0.0,,
68339,776699,2025-08-17,605488,667755,Jeffrey Springs,José Soriano,133,108,ATH,LAA,2025,2025,0,0,regular,regular,25,25,23,25,15,14,10,8,8,9,4.06,3.84,0,0,0,0,135.33333333333334,143.0,115,133,61,61,23,8,41,63,1.15,1.37,109,125,7.25,7.87,,
44355,776703,2025-08-17,657277,686752,Logan Webb,Ryan Pepiot,137,139,SF,TB,2025,2025,0,0,regular,regular,25,25,25,25,16,14,10,8,9,9,3.34,3.86,0,0,0,0,153.66666666666669,142.33333333333334,158,119,57,61,11,26,35,49,1.26,1.18,168,138,9.84,8.73,,
44354,776697,2025-08-17,607192,506433,Tyler Glasnow,Yu Darvish,119,135,LAD,SD,2025,2025,0,0,regular,regular,11,7,11,7,4,2,1,2,1,3,3.08,5.61,0,0,0,0,52.666666666666664,33.66666666666667,32,30,18,21,8,4,27,11,1.12,1.22,64,29,10.94,7.75,,
44356,776707,2025-08-17,605280,669923,Clay Holmes,George Kirby,121,136,NYM,SEA,2025,2025,0,0,regular,regular,24,15,24,15,6,8,9,8,6,5,3.71,3.71,0,0,0,0,126.00000000000001,85.0,118,71,52,35,12,9,52,20,1.35,1.07,101,90,7.21,9.53,,
