balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games
21880,777685,2025-06-01,141,133,TOR,ATH,Toronto Blue Jays,Athletics,Blue Jays,Athletics,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,59,59,30,23,29,36,0.508,0.39,241,249,254,355,-13,-106,4.08,4.22,4.31,6.02,-0.22,-1.8,0.0,0.0,0.0,0.0,0.508,0.39,0.0,0.0,19,9,12,19,11,14,17,17,W4,L5,0,0,0.0,0.0,0.0,0.0,30-29,23-36,19-12,9-19,11-17,14-17,0-0,0-0,30-29,23-36,6-4,1-9
21883,777677,2025-06-01,118,116,KC,DET,Kansas City Royals,Detroit Tigers,Royals,Tigers,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,60,61,32,40,28,21,0.533,0.656,200,312,202,213,-2,99,3.33,5.11,3.37,3.49,-0.03,1.62,0.0,0.0,0.0,0.0,0.533,0.656,0.0,0.0,20,22,12,8,12,18,16,13,W1,L1,0,0,0.0,0.0,0.0,0.0,32-28,40-21,20-12,22-8,12-16,18-13,0-0,0-0,32-28,40-21,4-6,6-4
21881,777689,2025-06-01,146,137,MIA,SF,Miami Marlins,San Francisco Giants,Marlins,Giants,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,56,58,23,32,33,26,0.411,0.552,230,244,307,204,-77,40,4.11,4.21,5.48,3.52,-1.38,0.69,0.0,0.0,0.0,0.0,0.411,0.552,0.0,0.0,14,17,16,9,9,15,17,17,W1,L1,0,0,0.0,0.0,0.0,0.0,23-33,32-26,14-16,17-9,9-17,15-17,0-0,0-0,23-33,32-26,4-6,4-6
21878,777686,2025-06-01,121,115,NYM,COL,New York Mets,Colorado Rockies,Mets,Rockies,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,59,61,36,10,23,51,0.61,0.164,259,187,195,382,64,-195,4.39,3.07,3.31,6.26,1.08,-3.2,0.0,0.0,0.0,0.0,0.61,0.164,0.0,0.0,23,7,7,23,13,3,16,28,W2,L7,0,0,0.0,0.0,0.0,0.0,36-23,10-51,23-7,7-23,13-16,3-28,0-0,0-0,36-23,10-51,7-3,1-9
21875,777683,2025-06-01,114,108,CLE,LAA,Cleveland Guardians,Los Angeles Angels,Guardians,Angels,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,60,57,33,26,27,31,0.55,0.456,250,233,260,288,-10,-55,4.17,4.09,4.33,5.05,-0.17,-0.96,0.0,0.0,0.0,0.0,0.55,0.456,0.0,0.0,17,10,11,15,16,16,16,16,W1,L1,0,0,0.0,0.0,0.0,0.0,33-27,26-31,17-11,10-15,16-16,16-16,0-0,0-0,33-27,26-31,6-4,4-6
21879,777688,2025-06-01,143,158,PHI,MIL,Philadelphia Phillies,Milwaukee Brewers,Phillies,Brewers,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,60,59,37,31,23,28,0.617,0.525,291,269,272,254,19,15,4.85,4.56,4.53,4.31,0.32,0.25,0.0,0.0,0.0,0.0,0.617,0.525,0.0,0.0,20,18,12,10,17,13,11,18,L2,W6,0,0,0.0,0.0,0.0,0.0,37-23,31-28,20-12,18-10,17-11,13-18,0-0,0-0,37-23,31-28,6-4,7-3
21877,777684,2025-06-01,110,145,BAL,CWS,Baltimore Orioles,Chicago White Sox,Orioles,White Sox,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,61,58,21,18,40,40,0.344,0.31,237,199,352,250,-115,-51,3.89,3.43,5.77,4.31,-1.89,-0.88,0.0,0.0,0.0,0.0,0.344,0.31,0.0,0.0,11,12,18,15,10,6,22,25,W2,L2,0,0,0.0,0.0,0.0,0.0,21-40,18-40,11-18,12-15,10-22,6-25,0-0,0-0,21-40,18-40,5-5,4-6
21876,777692,2025-06-01,144,111,ATL,BOS,Atlanta Braves,Boston Red Sox,Braves,Red Sox,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,58,64,27,31,31,33,0.466,0.484,239,314,225,288,14,26,4.12,4.91,3.88,4.5,0.24,0.41,0.0,0.0,0.0,0.0,0.466,0.484,0.0,0.0,17,19,10,14,10,12,21,19,W1,L1,0,0,0.0,0.0,0.0,0.0,27-31,31-33,17-10,19-14,10-21,12-19,0-0,0-0,27-31,31-33,3-7,4-6
21889,777679,2025-06-01,109,120,AZ,WSH,Arizona Diamondbacks,Washington Nationals,D-backs,Nationals,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,58,60,27,28,31,32,0.466,0.467,293,266,305,311,-12,-45,5.05,4.43,5.26,5.18,-0.21,-0.75,0.0,0.0,0.0,0.0,0.466,0.467,0.0,0.0,14,13,17,15,13,15,14,17,L4,W4,0,0,0.0,0.0,0.0,0.0,27-31,28-32,14-17,13-15,13-14,15-17,0-0,0-0,27-31,28-32,1-9,7-3
21887,777682,2025-06-01,119,147,LAD,NYY,Los Angeles Dodgers,New York Yankees,Dodgers,Yankees,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,58,58,36,36,22,22,0.621,0.621,340,317,256,219,84,98,5.86,5.47,4.41,3.78,1.45,1.69,0.0,0.0,0.0,0.0,0.621,0.621,0.0,0.0,21,19,8,9,15,17,14,13,W2,L2,0,0,0.0,0.0,0.0,0.0,36-22,36-22,21-8,19-9,15-14,17-13,0-0,0-0,36-22,36-22,7-3,7-3
