balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_sv,away_pitching_sv,home_pitching_cg,away_pitching_cg,home_pitching_sho,away_pitching_sho,home_pitching_qs,away_pitching_qs,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,home_fielding_fp,away_fielding_fp,home_fielding_tc,away_fielding_tc,home_fielding_po,away_fielding_po,home_fielding_a,away_fielding_a
41652,776829,2025-08-08,134,113,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,Pirates,Reds,0,0,regular,regular,2025,2025,117,120,3896,4018,422,530,910,981,159,183,16,14,86,120,410,499,1359,1552,375,393,1024,1028,90,90,0.234,0.244,0.301,0.311,0.349,0.386,0.65,0.697,51,61,66,59,3.85,3.91,0,0,0,0,0,0,0,0,1036.0,1060.6666666666665,917,938,443,461,113,139,340,379,902,997,0.0,0.0,1.21,1.24,52,60,0.984,0.981,3180,3233,3128,3173,0,0
41655,776831,2025-08-08,110,133,BAL,ATH,Baltimore Orioles,Athletics,Orioles,Athletics,0,0,regular,regular,2025,2025,121,117,4065,4006,538,516,999,1017,206,204,12,16,147,161,510,501,1670,1736,330,365,1040,1002,84,64,0.246,0.254,0.302,0.316,0.411,0.433,0.713,0.749,54,51,67,66,5.01,4.96,0,0,0,0,0,0,0,0,1060.6666666666665,1036.3333333333333,1106,1032,590,571,174,166,407,412,984,940,0.0,0.0,1.43,1.39,64,69,0.98,0.978,3274,3204,3210,3135,0,0
41653,776835,2025-08-08,147,117,NYY,HOU,New York Yankees,Houston Astros,Yankees,Astros,0,0,regular,regular,2025,2025,116,115,3937,3894,592,497,985,1005,190,179,17,11,185,126,568,475,1764,1584,436,332,1014,894,84,57,0.25,0.258,0.325,0.316,0.448,0.407,0.773,0.723,62,64,54,51,4.02,3.72,0,0,0,0,0,0,0,0,1025.6666666666665,1022.0000000000001,885,880,458,422,130,135,406,342,1031,1107,0.0,0.0,1.26,1.2,63,48,0.98,0.984,3128,3091,3065,3043,0,0
41651,776832,2025-08-08,116,108,DET,LAA,Detroit Tigers,Los Angeles Angels,Tigers,Angels,0,0,regular,regular,2025,2025,120,115,4050,3847,588,498,1018,894,188,157,24,12,157,161,568,481,1725,1558,367,343,1054,1117,52,59,0.251,0.232,0.314,0.295,0.426,0.405,0.74,0.7,69,55,51,60,3.78,4.57,0,0,0,0,0,0,0,0,1064.3333333333335,1021.0,967,1015,447,519,130,155,351,432,1015,906,0.0,0.0,1.24,1.42,58,72,0.982,0.977,3217,3142,3159,3070,0,0
41654,776834,2025-08-08,144,146,ATL,MIA,Atlanta Braves,Miami Marlins,Braves,Marlins,0,0,regular,regular,2025,2025,116,114,3952,3887,484,492,962,982,172,191,15,20,129,112,468,473,1551,1549,415,345,1009,903,54,90,0.243,0.253,0.315,0.314,0.392,0.399,0.707,0.713,49,56,67,58,4.23,4.45,0,0,0,0,0,0,0,0,1025.6666666666665,1014.3333333333334,937,973,482,502,134,122,390,355,1026,896,0.0,0.0,1.29,1.31,38,58,0.988,0.981,3145,3101,3107,3043,0,0
41657,776833,2025-08-08,145,114,CWS,CLE,Chicago White Sox,Cleveland Guardians,White Sox,Guardians,0,0,regular,regular,2025,2025,117,119,3861,3913,448,476,878,895,180,181,9,12,115,127,431,457,1421,1481,372,373,982,975,73,88,0.227,0.229,0.295,0.296,0.368,0.378,0.663,0.674,42,62,75,57,4.15,3.81,0,0,0,0,0,0,0,0,1022.3333333333333,1060.6666666666667,963,945,471,449,130,128,428,422,885,1001,0.0,0.0,1.36,1.29,72,75,0.977,0.977,3180,3248,3108,3173,0,0
41660,776821,2025-08-08,140,143,TEX,PHI,Texas Rangers,Philadelphia Phillies,Rangers,Phillies,0,0,regular,regular,2025,2025,116,117,3868,3976,477,552,898,1018,173,186,12,17,121,144,455,529,1458,1670,348,392,969,946,101,96,0.232,0.256,0.296,0.323,0.377,0.42,0.673,0.743,60,67,56,50,3.23,3.82,0,0,0,0,0,0,0,0,1031.3333333333333,1042.3333333333333,858,981,370,442,108,131,342,322,948,1067,0.0,0.0,1.16,1.25,38,44,0.988,0.986,3126,3133,3088,3089,0,0
41658,776827,2025-08-08,142,118,MIN,KC,Minnesota Twins,Kansas City Royals,Twins,Royals,0,0,regular,regular,2025,2025,116,118,3880,3961,494,441,941,969,183,212,14,20,137,103,472,434,1563,1530,351,289,958,810,59,92,0.243,0.245,0.305,0.296,0.403,0.386,0.708,0.682,56,59,60,59,4.31,3.57,0,0,0,0,0,0,0,0,1017.9999999999999,1050.666666666667,999,937,487,417,133,118,296,359,981,933,0.0,0.0,1.27,1.23,52,50,0.983,0.984,3119,3203,3067,3153,0,0
41659,776828,2025-08-08,158,121,MIL,NYM,Milwaukee Brewers,New York Mets,Brewers,Mets,0,0,regular,regular,2025,2025,115,118,3895,3922,577,510,1002,932,178,181,12,16,117,140,539,495,1555,1565,394,408,902,940,128,96,0.257,0.238,0.325,0.309,0.399,0.399,0.724,0.708,71,63,44,55,3.61,3.74,0,0,0,0,0,0,0,0,1023.3333333333334,1047.0,878,955,410,435,121,107,381,423,995,1001,0.0,0.0,1.23,1.32,53,55,0.983,0.983,3086,3179,3033,3124,0,0
41656,776826,2025-08-08,138,112,STL,CHC,St. Louis Cardinals,Chicago Cubs,Cardinals,Cubs,0,0,regular,regular,2025,2025,122,114,4130,3915,552,588,1040,992,209,194,4,21,123,164,527,573,1626,1720,383,385,947,889,70,121,0.252,0.253,0.315,0.32,0.394,0.439,0.709,0.759,63,66,59,48,4.21,3.89,0,0,0,0,0,0,0,0,1080.0,1014.6666666666667,1066,937,505,439,120,144,329,296,888,862,0.0,0.0,1.29,1.22,51,48,0.985,0.984,3296,3065,3245,3017,0,0
