game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_sv,away_pitching_sv,home_pitching_cg,away_pitching_cg,home_pitching_sho,away_pitching_sho,home_pitching_qs,away_pitching_qs,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,home_fielding_fp,away_fielding_fp,home_fielding_tc,away_fielding_tc,home_fielding_po,away_fielding_po,home_fielding_a,away_fielding_a
776408,2025-09-08,119,115,LAD,COL,Los Angeles Dodgers,Colorado Rockies,Dodgers,Rockies,0,0,regular,regular,2025,2025,143,143,4831,4798,719,542,1216,1160,224,232,19,35,209,143,690,528,2105,1891,525,357,1206,1327,80,74,0.252,0.242,0.325,0.294,0.436,0.394,0.761,0.688,79,40,64,103,4.1,6.01,0,0,0,0,0,0,0,0,1267.0,1248.3,1144,1507,577,834,163,217,485,498,1283,960,0.237,0.314,1.29,1.61,61,101,0.0,0.0,0,0,0,0,0,0
776410,2025-09-08,133,111,ATH,BOS,Athletics,Boston Red Sox,Athletics,Red Sox,0,0,regular,regular,2025,2025,144,144,4946,4941,668,709,1260,1254,265,289,16,22,199,169,648,675,2154,2094,459,463,1236,1268,71,121,0.255,0.254,0.318,0.318,0.436,0.424,0.754,0.742,66,79,78,65,4.79,3.78,0,0,0,0,0,0,0,0,1277.3,1288.0,1234,1192,680,541,201,148,507,475,1190,1186,0.249,0.241,1.36,1.29,77,105,0.0,0.0,0,0,0,0,0,0
776399,2025-09-08,137,109,SF,AZ,San Francisco Giants,Arizona Diamondbacks,Giants,D-backs,0,0,regular,regular,2025,2025,143,144,4765,4862,618,711,1138,1215,212,243,26,34,152,197,589,692,1858,2117,482,481,1218,1164,64,106,0.239,0.25,0.309,0.317,0.39,0.435,0.699,0.753,72,72,71,72,3.76,4.43,0,0,0,0,0,0,0,0,1264.7,1282.7,1184,1248,529,632,123,167,444,447,1209,1145,0.248,0.257,1.29,1.32,83,72,0.0,0.0,0,0,0,0,0,0
776400,2025-09-08,136,138,SEA,STL,Seattle Mariners,St. Louis Cardinals,Mariners,Cardinals,0,0,regular,regular,2025,2025,143,144,4859,4823,667,622,1181,1186,192,231,8,7,210,136,638,592,2019,1839,480,429,1273,1148,140,77,0.243,0.246,0.311,0.308,0.416,0.381,0.727,0.689,75,72,68,72,4.01,4.27,0,0,0,0,0,0,0,0,1285.7,1272.7,1198,1269,573,604,171,148,421,403,1216,1066,0.247,0.263,1.26,1.31,62,70,0.0,0.0,0,0,0,0,0,0
776407,2025-09-08,135,113,SD,CIN,San Diego Padres,Cincinnati Reds,Padres,Reds,0,0,regular,regular,2025,2025,143,143,4788,4816,610,647,1211,1192,234,232,16,21,127,141,573,611,1858,1889,461,470,1015,1243,93,93,0.253,0.248,0.319,0.314,0.388,0.392,0.707,0.707,78,72,65,71,3.67,3.95,0,0,0,0,0,0,0,0,1262.0,1266.7,1061,1133,514,556,152,170,474,449,1232,1217,0.222,0.235,1.22,1.25,66,81,0.0,0.0,0,0,0,0,0,0
776411,2025-09-08,108,142,LAA,MIN,Los Angeles Angels,Minnesota Twins,Angels,Twins,0,0,regular,regular,2025,2025,143,143,4758,4794,608,600,1084,1145,197,218,15,19,198,167,587,570,1905,1902,443,439,1409,1184,74,88,0.228,0.239,0.294,0.303,0.4,0.397,0.694,0.699,67,63,76,80,4.81,4.56,0,0,0,0,0,0,0,0,1266.0,1258.0,1268,1264,676,637,200,173,547,405,1117,1196,0.266,0.264,1.43,1.33,81,71,0.0,0.0,0,0,0,0,0,0
776412,2025-09-08,144,112,ATL,CHC,Atlanta Braves,Chicago Cubs,Braves,Cubs,0,0,regular,regular,2025,2025,143,143,4863,4857,626,703,1184,1207,215,236,16,25,160,195,605,687,1911,2078,506,490,1236,1107,72,143,0.243,0.249,0.315,0.317,0.393,0.428,0.708,0.745,64,81,79,62,4.45,3.89,0,0,0,0,0,0,0,0,1266.0,1269.0,1186,1154,626,548,178,177,477,368,1227,1101,0.244,0.238,1.31,1.2,50,56,0.0,0.0,0,0,0,0,0,0
776405,2025-09-08,143,121,PHI,NYM,Philadelphia Phillies,New York Mets,Phillies,Mets,0,0,regular,regular,2025,2025,143,143,4874,4813,682,684,1258,1207,237,237,23,19,178,197,657,667,2075,2073,470,508,1155,1145,115,129,0.258,0.251,0.323,0.322,0.426,0.431,0.749,0.753,83,76,60,67,3.82,3.93,0,0,0,0,0,0,0,0,1268.3,1265.0,1187,1168,538,552,152,128,390,507,1299,1230,0.244,0.243,1.24,1.32,54,67,0.0,0.0,0,0,0,0,0,0
776409,2025-09-08,146,120,MIA,WSH,Miami Marlins,Washington Nationals,Marlins,Nationals,0,0,regular,regular,2025,2025,143,142,4881,4739,616,601,1218,1151,238,232,26,25,135,134,585,578,1913,1835,429,402,1125,1151,115,119,0.25,0.243,0.31,0.302,0.392,0.387,0.702,0.689,66,58,77,84,4.72,5.28,0,0,0,0,0,0,0,0,1267.3,1245.3,1218,1290,665,731,170,186,450,490,1125,1093,0.25,0.272,1.32,1.43,73,77,0.0,0.0,0,0,0,0,0,0
776413,2025-09-08,114,118,CLE,KC,Cleveland Guardians,Kansas City Royals,Guardians,Royals,0,0,regular,regular,2025,2025,142,143,4654,4764,552,551,1042,1168,201,253,15,20,146,138,532,541,1711,1875,432,380,1179,967,112,99,0.224,0.245,0.29,0.301,0.368,0.394,0.657,0.695,72,73,70,70,3.91,3.64,0,0,0,0,0,0,0,0,1261.0,1272.0,1170,1155,548,514,155,145,486,423,1177,1122,0.251,0.242,1.31,1.24,88,56,0.0,0.0,0,0,0,0,0,0
