Date,Home Team,Home Score,Away Team,Away Score,Status
2025-07-07,Detroit Tigers,5,Tampa Bay Rays,1,Final
2025-07-07,Boston Red Sox,9,Colorado Rockies,3,Final
2025-07-07,Cincinnati Reds,1,Miami Marlins,5,Final
2025-07-07,Kansas City Royals,9,Pittsburgh Pirates,3,Final
2025-07-07,Chicago White Sox,4,Toronto Blue Jays,8,Final
2025-07-07,Milwaukee Brewers,9,Los Angeles Dodgers,1,Final
2025-07-07,Houston Astros,5,Cleveland Guardians,7,Final
2025-07-07,Los Angeles Angels,6,Texas Rangers,5,Final
2025-07-07,San Diego Padres,3,Arizona Diamondbacks,6,Final
2025-07-07,San Francisco Giants,3,Philadelphia Phillies,1,Final
