game_pk,date,home_hr_per_9_rolling_10,away_hr_per_9_rolling_10
778563,2025-03-18,0.0,0.0
778564,2025-03-19,0.0,0.0
778545,2025-03-27,0.0,0.0
778546,2025-03-27,0.0,0.0
778547,2025-03-27,0.0,0.0
778551,2025-03-27,0.0,0.0
778552,2025-03-27,0.0,4.5
778553,2025-03-27,0.0,0.0
778554,2025-03-27,0.0,0.0
778555,2025-03-27,0.0,0.0
778556,2025-03-27,0.0,0.0
778557,2025-03-27,0.0,0.0
778558,2025-03-27,0.0,0.0
778559,2025-03-27,0.0,0.0
778561,2025-03-27,0.0,0.0
778562,2025-03-27,0.0,0.0
778518,2025-03-28,0.0,0.0
778541,2025-03-28,0.0,0.0
778542,2025-03-28,0.0,0.0
778543,2025-03-28,0.0,0.0
778544,2025-03-28,0.0,0.0
778548,2025-03-28,0.0,0.0
778549,2025-03-28,0.0,0.0
778550,2025-03-28,0.0,0.0
778560,2025-03-28,0.0,0.0
778520,2025-03-29,0.0,0.0
778521,2025-03-29,0.0,0.0
778528,2025-03-29,0.0,0.0
778529,2025-03-29,0.0,0.0
778530,2025-03-29,0.0,0.0
778531,2025-03-29,0.0,0.0
778532,2025-03-29,0.0,0.0
778533,2025-03-29,0.0,0.0
778534,2025-03-29,0.0,0.0
778535,2025-03-29,0.0,0.0
778536,2025-03-29,0.0,0.0
778537,2025-03-29,0.0,0.0
778538,2025-03-29,0.0,0.0
778539,2025-03-29,0.0,0.0
778540,2025-03-29,0.0,0.0
778510,2025-03-30,0.0,0.0
778513,2025-03-30,0.0,0.0
778514,2025-03-30,0.0,0.0
778515,2025-03-30,0.0,0.0
778516,2025-03-30,0.0,0.0
778517,2025-03-30,0.0,0.0
778519,2025-03-30,0.0,0.0
778522,2025-03-30,0.0,0.0
778523,2025-03-30,0.0,0.0
778524,2025-03-30,0.0,0.0
778525,2025-03-30,0.0,0.0
778526,2025-03-30,0.0,0.0
778527,2025-03-30,0.0,0.0
778496,2025-03-31,0.0,0.0
778499,2025-03-31,0.0,0.0
778500,2025-03-31,0.0,0.0
778501,2025-03-31,0.0,0.0
778502,2025-03-31,0.0,0.0
778503,2025-03-31,0.0,0.0
778504,2025-03-31,0.0,0.0
778505,2025-03-31,0.0,0.0
778506,2025-03-31,0.0,0.0
778507,2025-03-31,0.0,0.0
778508,2025-03-31,0.0,0.0
778509,2025-03-31,0.0,0.0
778511,2025-03-31,0.0,0.0
778512,2025-03-31,0.0,0.0
778485,2025-04-01,4.090909090909091,0.0
778486,2025-04-01,1.2857142857142858,0.0
778487,2025-04-01,0.0,0.0
778488,2025-04-01,0.0,0.0
778489,2025-04-01,0.0,0.0
778490,2025-04-01,0.0,0.0
778491,2025-04-01,5.4,0.0
778492,2025-04-01,0.0,0.0
778493,2025-04-01,0.0,0.0
778494,2025-04-01,0.0,3.0
778495,2025-04-01,0.0,0.0
778497,2025-04-01,0.0,0.0
778498,2025-04-01,0.0,1.5
778469,2025-04-02,1.8,3.6
778471,2025-04-02,0.0,4.390243902439025
778472,2025-04-02,0.0,0.0
778473,2025-04-02,1.8,1.5
778474,2025-04-02,0.0,1.8
778475,2025-04-02,0.0,0.0
778476,2025-04-02,2.1951219512195124,1.8
778477,2025-04-02,3.6,0.0
778478,2025-04-02,0.0,0.0
778479,2025-04-02,0.0,0.0
778480,2025-04-02,1.8,0.0
778481,2025-04-02,1.8,0.0
778482,2025-04-02,1.5,0.0
778483,2025-04-02,1.5,0.0
778484,2025-04-02,1.7647058823529413,2.25
778462,2025-04-03,0.0,1.5
778466,2025-04-03,0.0,0.0
778467,2025-04-03,0.0,0.0
778468,2025-04-03,22.5,1.5
778470,2025-04-03,0.0,3.4615384615384612
778444,2025-04-04,1.8,0.0
778447,2025-04-04,0.0,0.0
778453,2025-04-04,0.0,3.0
778454,2025-04-04,0.0,0.0
778455,2025-04-04,1.8,1.7647058823529413
778456,2025-04-04,1.8,0.0
778457,2025-04-04,1.8,1.5
778458,2025-04-04,1.7307692307692306,0.0
778459,2025-04-04,1.8,1.8
778460,2025-04-04,0.0,0.0
778461,2025-04-04,0.0,0.0
778463,2025-04-04,2.1951219512195124,0.0
778464,2025-04-04,0.0,1.7307692307692306
778465,2025-04-04,0.0,1.5
778436,2025-04-05,3.5294117647058827,1.7307692307692306
778437,2025-04-05,1.5,0.0
778438,2025-04-05,0.0,0.0
778439,2025-04-05,2.25,0.0
778440,2025-04-05,8.181818181818182,0.0
778441,2025-04-05,0.0,0.0
778442,2025-04-05,0.0,1.4516129032258065
778445,2025-04-05,2.142857142857143,0.0
778446,2025-04-05,1.7307692307692306,0.0
778448,2025-04-05,3.5294117647058827,0.0
778449,2025-04-05,0.0,2.142857142857143
778450,2025-04-05,0.0,0.0
778451,2025-04-05,0.0,4.5
778452,2025-04-05,0.0,3.5294117647058827
778419,2025-04-06,8.709677419354838,0.0
778420,2025-04-06,6.0,0.0
778421,2025-04-06,0.0,1.5
778422,2025-04-06,0.0,0.0
778423,2025-04-06,0.0,6.75
778425,2025-04-06,3.6,0.0
778427,2025-04-06,0.0,1.5
778428,2025-04-06,0.0,1.8
778429,2025-04-06,0.0,4.390243902439025
778430,2025-04-06,1.8,3.6
778432,2025-04-06,0.0,0.0
778433,2025-04-06,4.5,0.0
778434,2025-04-06,1.7647058823529413,0.0
778435,2025-04-06,3.0,3.0
778443,2025-04-06,0.0,1.8
778405,2025-04-07,0.75,1.8
778410,2025-04-07,0.75,0.75
778411,2025-04-07,2.960526315789474,0.6
778412,2025-04-07,1.7647058823529413,0.0
778413,2025-04-07,0.8823529411764707,1.5
778414,2025-04-07,1.5,1.25
778415,2025-04-07,0.0,0.0
778416,2025-04-07,1.8,0.0
778418,2025-04-07,0.8181818181818182,0.0
778424,2025-04-07,0.0,1.6216216216216217
778426,2025-04-07,3.0,2.647058823529412
778394,2025-04-08,0.0,1.3846153846153846
778395,2025-04-08,1.0,0.8823529411764707
778396,2025-04-08,3.2530120481927707,2.2222222222222223
778397,2025-04-08,0.0,0.7377049180327869
778398,2025-04-08,1.5,1.5
778400,2025-04-08,0.9,1.5
778401,2025-04-08,2.6732673267326734,0.0
778402,2025-04-08,1.978021978021978,0.0
778403,2025-04-08,2.647058823529412,0.0
778404,2025-04-08,0.0,0.0
778406,2025-04-08,0.9,1.3846153846153846
778407,2025-04-08,0.0,0.9
778408,2025-04-08,0.0,2.4545454545454546
778409,2025-04-08,0.0,0.0
778417,2025-04-08,0.0,1.5
778376,2025-04-09,2.535211267605634,2.647058823529412
778379,2025-04-09,0.0,0.0
778380,2025-04-09,3.0,0.9782608695652175
778381,2025-04-09,0.0,0.0
778383,2025-04-09,0.0,0.75
778385,2025-04-09,0.49723756906077343,0.0
778386,2025-04-09,2.9347826086956523,1.6216216216216217
778387,2025-04-09,0.8653846153846153,0.9574468085106382
778388,2025-04-09,0.8181818181818182,1.8
778389,2025-04-09,0.0,2.0
778390,2025-04-09,0.0,0.8035714285714286
778391,2025-04-09,1.7647058823529413,1.7821782178217822
778392,2025-04-09,2.7,0.0
778393,2025-04-09,2.25,0.0
