game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_games,away_games,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9
777940,2025-05-13,116,111,Detroit Tigers,Boston Red Sox,42,43,184.3,188.3,105,139,0.57,0.738,43,60,0.233,0.319,49,46,0.266,0.244,125,144,0.678,0.765,14,10,0.076,0.053,2.1,2.87,0.84,0.98,6.1,6.88,2.55,3.13,0.68,0.48,2.39,2.2
777945,2025-05-13,113,145,Cincinnati Reds,Chicago White Sox,42,41,181.3,187.7,112,143,0.618,0.762,58,82,0.32,0.437,68,78,0.375,0.416,135,148,0.744,0.789,20,22,0.11,0.117,2.88,3.93,0.99,1.18,6.7,7.1,1.99,1.9,0.99,1.06,3.38,3.74
777944,2025-05-13,114,158,Cleveland Guardians,Milwaukee Brewers,41,42,200.3,194.0,157,140,0.784,0.722,67,83,0.334,0.428,57,77,0.285,0.397,160,157,0.799,0.809,15,16,0.075,0.082,3.01,3.85,1.07,1.12,7.19,7.28,2.81,2.04,0.67,0.74,2.56,3.57
777943,2025-05-13,121,134,New York Mets,Pittsburgh Pirates,42,42,187.3,175.0,129,132,0.689,0.754,54,71,0.288,0.406,55,60,0.294,0.343,158,127,0.843,0.726,12,14,0.064,0.08,2.59,3.65,0.98,1.1,7.59,6.53,2.87,2.12,0.58,0.72,2.64,3.09
777935,2025-05-13,141,139,Toronto Blue Jays,Tampa Bay Rays,40,40,190.7,158.0,121,120,0.635,0.759,65,50,0.341,0.316,58,45,0.304,0.285,187,128,0.981,0.81,17,18,0.089,0.114,3.07,2.85,0.94,1.04,8.83,7.29,3.22,2.84,0.8,1.03,2.74,2.56
777942,2025-05-13,144,120,Atlanta Braves,Washington Nationals,41,42,174.3,158.3,99,156,0.568,0.985,56,108,0.321,0.682,64,81,0.367,0.512,142,131,0.815,0.827,15,16,0.086,0.101,2.89,6.14,0.93,1.5,7.33,7.45,2.22,1.62,0.77,0.91,3.3,4.6
777934,2025-05-13,140,115,Texas Rangers,Colorado Rockies,41,41,171.7,203.7,126,151,0.734,0.741,62,71,0.361,0.349,52,77,0.303,0.378,133,136,0.775,0.668,13,17,0.076,0.083,3.25,3.14,1.04,1.12,6.97,6.01,2.56,1.77,0.68,0.75,2.73,3.4
777931,2025-05-13,117,118,Houston Astros,Kansas City Royals,39,43,162.7,178.7,106,119,0.652,0.666,44,47,0.27,0.263,53,46,0.326,0.257,158,117,0.971,0.655,10,12,0.061,0.067,2.43,2.37,0.98,0.92,8.74,5.89,2.98,2.54,0.55,0.6,2.93,2.32
777936,2025-05-13,112,146,Chicago Cubs,Miami Marlins,42,40,179.7,203.7,144,165,0.801,0.81,79,92,0.44,0.452,73,87,0.406,0.427,132,147,0.735,0.722,14,22,0.078,0.108,3.96,4.07,1.21,1.24,6.61,6.5,1.81,1.69,0.7,0.97,3.66,3.84
777932,2025-05-13,135,108,San Diego Padres,Los Angeles Angels,38,40,179.0,158.3,108,165,0.603,1.042,51,101,0.285,0.638,51,59,0.285,0.373,150,130,0.838,0.821,15,27,0.084,0.171,2.56,5.74,0.89,1.41,7.54,7.39,2.94,2.2,0.75,1.53,2.56,3.35
777930,2025-05-13,137,109,San Francisco Giants,Arizona Diamondbacks,42,42,159.0,188.0,99,138,0.623,0.734,36,79,0.226,0.42,48,52,0.302,0.277,135,144,0.849,0.766,9,22,0.057,0.117,2.04,3.78,0.92,1.01,7.64,6.89,2.81,2.77,0.51,1.05,2.72,2.49
777926,2025-05-13,136,147,Seattle Mariners,New York Yankees,40,41,175.0,184.0,157,109,0.897,0.592,64,60,0.366,0.326,61,73,0.349,0.397,131,161,0.749,0.875,18,10,0.103,0.054,3.29,2.93,1.25,0.99,6.74,7.88,2.15,2.21,0.93,0.49,3.14,3.57
777937,2025-05-13,119,133,Los Angeles Dodgers,Athletics,41,41,195.3,188.3,159,150,0.814,0.796,71,87,0.363,0.462,60,85,0.307,0.451,193,166,0.988,0.881,20,14,0.102,0.074,3.27,4.16,1.12,1.25,8.89,7.93,3.22,1.95,0.92,0.67,2.76,4.06
