game_pk,home_batting_bb_per_g_rolling_10,away_batting_bb_per_g_rolling_10
778563,,
778564,1.0,8.0
778557,,
778556,,
778553,,
778555,,
778558,,
778559,,
778561,,
778545,,
778554,,
778562,,
778551,,
778546,7.5,
778552,,4.0
778547,,
778560,,
778549,5.0,5.0
778548,7.0,7.0
778550,2.0,3.0
778518,5.0,6.0
778543,3.0,4.666666666666667
778541,7.0,1.0
778542,2.0,6.0
778544,5.333333333333333,6.0
778538,4.0,4.0
778534,2.0,2.0
778528,2.0,3.0
778536,4.0,4.5
778535,3.0,6.0
778529,1.0,3.0
778540,4.0,2.0
778537,1.0,3.0
778539,5.0,6.0
778531,2.5,2.5
778530,4.5,4.5
778520,2.0,5.0
778532,1.5,4.5
778533,4.5,5.5
778521,5.0,3.0
778526,3.5,7.0
778523,6.0,3.0
778525,4.333333333333333,3.3333333333333335
778522,2.5,1.0
778524,3.0,1.5
778519,4.333333333333333,6.666666666666667
778510,1.5,3.5
778527,3.0,3.0
778517,3.5,1.5
778516,2.0,3.6666666666666665
778515,2.0,3.8
778513,5.333333333333333,2.6666666666666665
778514,2.0,5.0
778506,2.6666666666666665,1.6666666666666667
778504,2.6666666666666665,2.3333333333333335
778512,3.0,4.0
778502,6.0,1.0
778511,2.3333333333333335,1.5
778509,3.75,4.333333333333333
778508,3.0,6.25
778507,3.75,2.3333333333333335
778503,4.0,2.6666666666666665
778505,4.333333333333333,1.3333333333333333
778499,3.0,4.333333333333333
778496,4.0,5.0
778501,2.75,3.8333333333333335
778500,4.2,4.0
778498,2.75,2.0
778497,3.8,4.0
778493,3.5,5.0
778492,5.333333333333333,3.75
778491,3.6,2.5
778490,3.25,2.25
778488,2.75,3.0
778495,4.25,3.25
778489,4.0,2.25
778485,3.4,3.5
778486,4.4,4.75
778494,2.6,4.714285714285714
778487,4.5,4.0
778480,2.2,2.3333333333333335
778479,4.0,4.166666666666667
778477,2.8,3.2
778473,4.0,3.0
778474,2.8,3.0
778478,3.3333333333333335,2.8
778471,2.5,4.5
778476,4.0,3.4
778469,4.333333333333333,4.0
778475,3.2,2.6
778481,3.3333333333333335,3.4
778483,3.0,4.0
778482,4.75,1.75
778484,4.75,4.4
778472,3.857142857142857,4.0
