game_pk,home_batting_hr_per_g_rolling_5,away_batting_hr_per_g_rolling_5
778563,,
778564,0.0,0.0
778557,,
778556,,
778553,,
778555,,
778558,,
778559,,
778561,,
778545,,
778554,,
778562,,
778551,,
778546,1.5,
778552,,0.0
778547,,
778560,,
778549,1.0,6.0
778548,0.0,1.0
778550,0.0,2.0
778518,0.0,0.0
778543,1.0,0.3333333333333333
778541,2.0,2.0
778542,1.0,2.0
778544,2.0,1.0
778538,2.0,1.0
778534,3.0,1.0
778528,2.0,1.0
778536,0.5,3.5
778535,1.0,2.0
778529,1.0,1.0
778540,0.0,2.0
778537,1.0,0.0
778539,0.5,1.0
778531,1.0,1.0
778530,0.0,0.5
778520,1.5,1.5
778532,1.5,0.25
778533,2.25,1.5
778521,1.0,2.5
778526,2.0,2.5
778523,5.5,1.0
778525,0.6666666666666666,3.3333333333333335
778522,1.0,1.5
778524,0.5,0.0
778519,0.3333333333333333,0.6666666666666666
778510,1.0,1.0
778527,1.5,0.5
778517,1.0,0.5
778516,1.0,1.0
778515,1.3333333333333333,0.6
778513,0.6666666666666666,2.0
778514,1.0,1.0
778506,1.3333333333333333,0.6666666666666666
778504,1.0,0.6666666666666666
778512,2.5,0.75
778502,1.6666666666666667,0.3333333333333333
778511,1.3333333333333333,1.25
778509,0.5,0.3333333333333333
778508,0.6666666666666666,0.75
778507,0.75,2.0
778503,1.6666666666666667,0.6666666666666666
778505,0.3333333333333333,1.6666666666666667
778499,0.75,1.6666666666666667
778496,0.75,1.0
778501,1.75,1.2
778500,2.4,0.75
778498,1.75,1.2
778497,0.8,1.25
778493,0.5,0.6
778492,5.0,1.25
778491,0.8,2.0
778490,1.75,0.5
778488,0.75,1.0
778495,1.75,0.5
778489,0.25,1.5
778485,0.6,1.75
778486,1.2,1.0
778494,1.6,2.0
778487,2.8,0.8
778480,1.4,1.4
778479,0.6,0.4
778477,1.0,0.8
778473,1.6,0.4
778474,1.6,0.6
778478,0.6,1.6
778471,1.6,2.2
778476,0.6,1.4
778469,0.8,1.0
778475,0.4,1.4
778481,1.0,1.2
778483,2.0,0.6
778482,2.0,0.5
778484,4.5,1.4
778472,2.4,0.4
778470,0.8,0.4
778467,1.6,0.6
778462,0.8,0.4
778466,3.8,1.4
778468,1.0,1.4
778458,1.0,1.2
778463,1.0,1.8
778460,2.6,0.6
778465,1.4,0.8
778456,0.6,1.2
778461,0.4,4.0
778444,1.6,1.0
778457,1.6,1.2
778459,1.4,2.4
778464,0.2,0.8
778455,0.6,0.8
778454,1.0,0.4
778453,0.8,1.0
778447,0.6,1.2
778445,1.2,1.2
778440,0.8,0.8
778450,2.2,0.8
778452,1.6,1.4
778448,0.8,2.0
778449,0.8,2.4
778441,0.4,0.2
778438,1.0,0.4
778446,1.4,0.6
778439,0.8,0.6
778451,0.6,0.8
778442,0.6,1.2
778436,1.6,1.4
778437,1.0,1.6
778429,1.2,1.2
778443,1.2,2.2
778443,1.2,1.4
778443,1.6,2.2
778443,1.6,1.4
778432,1.4,1.6
778434,0.8,1.8
778428,0.6,2.0
778435,1.4,0.4
778433,1.6,1.0
778422,0.6,0.2
778419,0.8,0.8
778421,0.8,0.8
778430,2.0,0.8
778420,1.2,0.6
778423,0.8,1.4
778427,1.2,1.4
778425,1.6,1.4
778443,1.2,2.2
778443,1.2,1.4
778443,1.6,2.2
778443,1.6,1.4
778424,1.4,1.4
778415,0.6,1.2
778418,0.8,1.8
778426,1.6,0.2
778416,0.6,1.0
778411,1.4,1.2
778412,0.2,0.8
778413,1.0,0.2
778405,1.2,1.0
778410,1.2,1.0
778414,1.6,1.0
778403,1.4,1.2
778402,1.2,0.4
778407,0.4,0.6
778408,0.8,1.0
778409,1.0,1.8
778404,1.0,0.2
778417,0.6,2.2
778406,0.6,0.4
778401,1.0,1.0
778400,0.4,0.6
778394,0.8,0.8
778396,0.8,0.4
778398,1.4,1.0
778397,1.0,1.0
778395,1.6,1.2
778389,0.8,0.6
778390,0.4,0.6
778387,2.0,0.6
778385,0.8,1.2
778381,1.6,1.0
778380,0.8,0.2
778376,0.4,1.0
778392,1.2,1.6
778383,1.2,1.0
778391,1.2,0.2
778386,0.6,0.2
778399,0.6,2.4
778393,0.6,0.6
778388,0.4,0.2
778379,0.8,1.2
778382,1.0,2.8
778378,1.4,0.0
778373,0.4,0.6
778371,1.0,1.8
778377,0.4,0.2
778384,0.8,0.8
778375,1.2,0.2
778374,1.0,0.4
778367,1.0,1.0
778370,0.6,0.6
778369,0.8,0.8
778366,0.0,0.2
778368,0.6,3.6
778363,0.6,1.4
778365,0.6,1.0
778361,0.8,1.2
778360,1.0,1.6
778364,1.2,1.6
778358,1.4,0.2
778356,1.8,0.8
778348,0.8,1.0
778347,0.4,1.0
778355,0.2,0.8
778346,1.2,0.6
778362,0.2,0.2
778353,1.0,1.0
778349,0.0,0.0
778354,0.8,1.2
778359,1.0,0.2
778357,0.4,0.6
778351,1.0,3.0
778350,1.2,1.6
778352,1.2,0.8
778345,1.6,0.4
778341,1.4,1.2
778344,0.6,0.4
778339,0.4,0.8
778342,1.0,0.2
778343,0.4,0.8
778340,1.4,1.8
778337,0.6,1.2
778329,1.0,2.8
778335,0.8,1.2
778338,0.2,0.0
778336,0.4,0.8
778333,0.8,0.8
778330,1.4,0.6
778334,1.2,1.0
778332,1.0,1.4
778331,1.2,1.0
778321,0.6,1.0
778320,0.6,1.2
778328,1.6,0.2
778327,0.6,0.4
778322,0.6,1.6
778324,1.2,0.8
778323,1.0,1.2
778325,0.4,1.0
778315,1.0,1.6
778326,1.0,0.4
778314,0.4,0.6
778316,0.4,1.2
778318,0.8,1.0
778313,0.4,1.8
778317,1.0,1.0
778319,2.0,0.4
778312,1.4,0.6
778311,0.6,2.0
778307,0.8,0.8
778309,0.2,0.4
778310,0.4,0.6
778308,0.6,1.2
778306,1.2,3.2
778305,1.4,1.6
778302,1.0,0.4
778297,1.0,2.4
