game_pk,home_fielding_e_per_g_rolling_10,away_fielding_e_per_g_rolling_10
778563,,
778564,2.0,0.0
778545,,
778546,0.0,
778547,,
778551,,
778552,,1.0
778553,,
778554,,
778555,,
778556,,
778557,,
778558,,
778559,,
778561,,
778562,,
778518,0.0,1.0
778541,0.0,1.0
778542,1.0,0.0
778543,1.0,0.6666666666666666
778544,0.0,0.0
778548,0.0,1.0
778549,0.0,0.0
778550,0.0,0.0
778560,,
778520,0.5,0.0
778521,0.0,0.5
778528,0.0,1.0
778529,0.0,0.0
778530,0.5,0.5
778531,0.0,0.0
778532,2.0,0.5
778533,0.0,0.0
778534,0.0,0.0
778535,0.0,0.0
778536,0.5,1.0
778537,1.0,1.0
778538,0.0,1.0
778539,2.0,0.5
778540,0.0,0.0
778510,0.0,0.0
778513,0.3333333333333333,1.0
778514,0.3333333333333333,0.0
778515,2.0,0.6
778516,0.0,0.3333333333333333
778517,0.5,0.5
778519,1.6666666666666667,0.6666666666666666
778522,0.0,0.0
778523,2.5,1.0
778524,0.5,0.5
778525,0.3333333333333333,0.6666666666666666
778526,0.0,0.0
778527,0.0,0.0
778496,0.5,0.0
778499,0.25,0.3333333333333333
778500,0.0,0.0
778501,0.75,0.5
778502,0.0,0.6666666666666666
778503,0.3333333333333333,0.0
778504,0.6666666666666666,0.0
778505,0.3333333333333333,0.0
778506,0.3333333333333333,0.3333333333333333
778507,0.25,0.3333333333333333
778508,0.3333333333333333,0.75
778509,1.5,0.3333333333333333
778511,0.6666666666666666,0.25
778512,0.75,0.25
778485,0.4,0.5
778486,0.4,0.25
778487,0.0,0.0
778488,0.75,0.0
778489,0.25,0.0
778490,0.5,0.5
778491,0.2,0.25
778492,1.6666666666666667,1.5
778493,0.25,0.6
778494,0.8,0.42857142857142855
778495,0.25,0.0
778497,1.2,0.25
778498,0.5,0.6
778469,0.3333333333333333,0.2
778471,0.8333333333333334,0.375
778472,0.14285714285714285,0.16666666666666666
778473,0.2,0.2
778474,0.4,0.4
778475,0.4,0.0
778476,0.3333333333333333,0.8
778477,0.6,0.4
778478,0.16666666666666666,0.4
778479,0.2,0.6666666666666666
778480,0.6,0.5
778481,1.0,0.6
778482,0.0,0.5
778483,0.8,0.6
778484,1.25,1.4
778462,0.5,0.5
778466,1.0,1.1666666666666667
778467,0.0,0.6
778468,0.5,0.5
778470,0.6666666666666666,0.5
778444,0.0,0.2857142857142857
778447,0.3333333333333333,0.8333333333333334
778453,0.5714285714285714,0.5714285714285714
778454,0.5714285714285714,0.16666666666666666
778455,0.3333333333333333,0.5714285714285714
778456,0.6666666666666666,0.8571428571428571
778457,0.5,1.0
778458,0.16666666666666666,0.5
778459,0.16666666666666666,0.5
778460,0.4444444444444444,0.2857142857142857
778461,0.7142857142857143,0.8333333333333334
778463,0.42857142857142855,0.16666666666666666
778464,0.2857142857142857,1.0
778465,0.6666666666666666,0.14285714285714285
778436,0.14285714285714285,0.375
778437,0.2857142857142857,0.8571428571428571
778438,0.5,0.2857142857142857
778439,0.625,0.625
778440,0.42857142857142855,0.5714285714285714
778441,0.42857142857142855,0.625
778442,0.7142857142857143,0.75
778445,0.14285714285714285,0.5714285714285714
778446,0.5714285714285714,0.125
778448,0.14285714285714285,0.5555555555555556
778449,0.875,0.7142857142857143
778450,0.4,0.375
778451,0.25,0.875
778452,0.5714285714285714,0.875
778419,0.375,0.75
778420,0.4444444444444444,0.5
778421,0.6666666666666666,0.6666666666666666
778422,0.375,0.5555555555555556
778423,0.75,0.6666666666666666
778425,0.375,0.75
778427,0.125,0.3333333333333333
778428,0.7777777777777778,0.625
778429,0.625,0.7777777777777778
778430,0.2,0.5555555555555556
778432,0.75,0.14285714285714285
778433,0.125,0.5
778434,0.125,0.5
778435,0.5,0.1111111111111111
778443,0.8888888888888888,0.375
778405,0.3,0.6666666666666666
778410,0.2222222222222222,0.7
778411,0.4,0.4
778412,0.4444444444444444,0.4444444444444444
778413,0.7,0.6
778414,0.6,0.5
778415,0.8,0.3333333333333333
778416,0.4444444444444444,0.7777777777777778
778418,0.5555555555555556,0.5
778424,0.2222222222222222,0.5555555555555556
778426,0.8,0.1
778394,0.6666666666666666,0.6
778395,0.5,0.5
778396,0.6,0.7
778397,0.2,0.7
778398,0.5,0.6
778400,0.4,0.4
778401,0.4,0.4
778402,0.8888888888888888,0.4444444444444444
778403,0.4,0.6
778404,1.0,0.2
778406,0.3333333333333333,0.1111111111111111
778407,0.4,0.7
778408,0.8,0.4
778409,0.5,0.7
778417,0.5555555555555556,0.3333333333333333
778376,0.2,0.8
778379,0.7,0.6
778380,0.5,0.6
778381,0.6,0.6
778383,0.6,0.6
778385,0.4,0.7
778386,1.2,0.2
778387,0.4,0.6
778388,0.4,0.6
778389,0.9,0.4
778390,0.3,0.9
778391,0.9,0.4
778392,0.6,0.7
778393,0.3,0.1
778399,0.5,0.4
778371,1.0,0.5
778373,0.4,0.6
778377,1.1,0.3
778378,1.0,0.4
778382,0.4,0.4
778384,0.3,0.1
778356,0.7,0.3
778358,0.4,0.4
778360,0.7,0.7
778361,0.6,1.1
778363,0.8,0.5
778364,0.3,0.5
778365,0.4,0.1
778366,0.6,1.3
778367,0.5,0.3
778368,0.5,0.5
778369,0.5,0.6
778370,0.1,0.3
778374,0.7,0.8
778375,1.0,0.5
778341,0.6,0.6
778345,0.7,0.3
778346,0.6,0.4
778347,0.5,0.2
778348,0.9,0.5
778349,0.6,1.6
778350,0.3,0.5
778351,0.5,0.6
778352,0.6,1.2
778353,0.6,0.4
778354,0.4,0.8
778355,0.1,0.3
778357,0.7,0.8
778359,0.9,0.8
778362,0.6,0.5
778329,0.5,0.6
778330,0.5,1.3
778331,0.8,0.3
778332,0.2,0.5
778333,0.6,0.5
778334,0.6,0.4
778335,1.0,0.4
778336,0.5,0.3
778337,0.3,0.8
778338,0.5,1.6
778339,0.2,0.3
778340,0.6,0.4
778342,0.8,0.6
778343,0.6,0.9
778344,0.5,0.7
778315,0.5,0.3
778320,0.3,0.3
778321,0.8,0.7
778322,0.9,0.5
778323,0.6,0.4
778324,0.9,0.4
778325,0.5,0.4
778326,0.7,1.2
778327,0.3,0.7
778328,0.8,1.6
778302,0.5,1.2
778305,0.6,0.2
778306,0.5,0.5
778307,1.1,0.3
778308,0.5,0.5
778309,0.6,0.7
778310,0.7,0.4
778311,0.9,0.4
778312,0.3,0.6
778313,0.3,0.3
778314,1.1,0.6
778316,0.6,0.6
778317,0.4,0.6
778318,0.4,0.2
778319,0.8,1.4
778287,0.4,1.1
778288,0.6,0.4
778289,0.4,0.7
778290,0.5,0.4
778293,1.0,0.6
778294,0.6,0.7
778295,0.6,0.5
778296,0.3,0.3
778297,0.9,0.3
778298,0.7,1.2
778299,1.2,0.4
778300,0.3,0.7
778301,0.4,0.6
778303,0.5,0.2
778304,0.5,0.7
778278,0.4,0.3
778279,0.4,0.4
778280,1.0,0.5
778281,0.4,0.9
778282,0.5,0.3
778283,0.6,0.7
778285,0.5,0.6
778286,0.6,0.6
778291,0.4,0.2
778292,0.4,0.5
778260,0.8,0.4
778261,0.6,0.9
778263,0.4,0.4
778268,0.5,0.4
778269,0.3,0.4
778270,0.4,0.3
778271,0.9,0.5
778272,0.4,0.3
778273,1.0,0.6
778274,0.6,0.4
778275,1.2,0.7
778276,0.3,0.7
778277,0.5,0.6
778284,0.4,1.1
778243,0.8,0.5
778247,1.0,0.5
778251,0.5,0.4
778252,0.6,0.4
778253,0.6,1.1
778254,0.9,0.3
778255,0.5,0.2
778256,0.4,0.3
778257,0.6,0.4
778258,1.0,0.6
778259,0.3,0.4
778262,0.4,0.6
778264,1.2,0.8
778265,0.4,0.6
778267,0.3,1.2
778232,0.7,0.5
778234,0.6,0.2
778235,1.1,0.5
778236,0.7,0.4
778237,0.3,0.3
778239,0.5,1.1
778240,0.5,0.3
778241,0.9,0.4
778242,0.8,0.2
778244,0.4,0.3
778245,1.1,0.9
778246,0.5,0.6
778248,0.7,0.4
778249,0.3,0.9
778250,0.4,0.6
778266,1.3,0.4
778225,0.3,0.8
778226,0.4,0.5
778227,0.2,0.5
778228,0.5,0.2
778230,0.2,0.6
778231,0.4,0.9
778233,0.4,0.3
778238,1.2,1.1
778210,0.4,0.6
778211,0.8,0.8
778212,0.4,0.4
778213,1.4,0.3
778215,0.6,0.9
778216,0.9,0.9
778217,0.4,0.8
778218,0.3,0.5
778219,0.2,0.5
778220,0.8,0.2
778221,0.5,0.2
778222,0.4,0.4
778223,0.3,0.7
778224,1.1,0.3
778229,0.6,0.2
778197,1.4,0.3
778198,0.6,0.5
778199,0.4,0.3
778200,0.4,0.6
778201,0.7,1.0
778202,0.8,0.7
778203,0.2,0.7
778204,0.1,0.4
778205,0.9,0.3
778206,0.4,0.5
778207,0.6,0.2
778208,0.2,0.6
778209,0.6,0.2
778214,0.6,0.4
778188,0.4,0.4
778189,0.6,1.1
778190,0.3,0.8
778191,0.7,0.7
778192,1.3,0.4
778193,0.1,0.4
778194,0.6,0.7
778195,0.3,0.6
778196,0.8,0.2
778171,0.7,0.5
778172,0.3,0.2
778175,0.2,0.2
778176,0.3,0.8
778177,0.7,0.6
778178,1.3,1.0
778181,0.6,0.6
778182,1.0,0.7
778183,0.1,0.2
778184,0.4,0.7
778185,0.5,0.4
778186,0.5,0.7
778187,0.2,0.4
778154,0.3,0.1
778159,0.7,0.4
778160,0.4,0.2
778161,0.8,0.6
778162,0.8,0.5
778163,0.3,0.5
778164,0.5,0.6
778165,1.1,1.0
778166,0.6,0.7
778167,0.2,0.4
778168,0.7,0.5
778169,0.4,0.8
778173,0.3,0.2
778174,1.0,0.7
778179,0.4,0.8
778180,0.8,0.5
778136,0.3,0.1
778144,0.4,0.5
778145,0.3,0.5
778146,0.5,0.2
778147,0.9,0.5
778148,0.7,0.7
778149,1.1,0.9
778150,0.5,0.7
778151,0.6,0.4
778152,0.1,0.2
778153,0.2,0.1
778155,0.7,0.5
778156,0.5,0.2
778157,0.3,0.8
778158,1.0,0.8
778170,0.6,0.3
778132,0.2,0.1
778137,0.7,0.6
778138,0.3,0.2
778139,0.7,0.3
778140,0.5,0.6
778141,0.7,0.5
778142,0.2,0.6
778143,0.7,1.2
778120,0.7,0.6
778121,0.3,0.4
778122,0.7,1.0
778123,0.4,0.1
778124,0.1,0.8
778125,0.8,0.6
778126,0.4,0.5
778127,0.5,0.8
778128,0.2,0.2
778129,0.7,0.3
778130,0.2,1.1
778131,0.7,0.3
778133,0.6,0.6
778135,0.7,1.0
778102,0.8,0.6
778104,0.3,0.4
778105,0.5,0.5
778106,0.6,0.8
778109,0.4,0.3
778110,0.1,0.7
778111,0.8,0.6
778112,0.7,0.8
778113,0.2,0.2
778114,0.4,0.6
778115,0.8,0.6
778116,0.7,0.2
778117,0.3,0.9
778118,0.6,0.3
778119,0.4,0.5
778134,0.4,0.4
778094,1.0,0.7
778095,0.5,0.5
778096,0.5,0.8
778097,0.2,0.3
778098,0.5,0.5
778099,0.6,0.4
778100,0.6,0.8
778101,0.6,0.7
778103,0.3,0.9
778107,0.4,0.4
778108,0.8,0.3
778079,0.9,0.3
778080,0.8,0.6
778081,0.5,0.7
778082,0.6,0.5
778083,0.5,0.4
778084,0.4,0.5
778085,0.7,0.6
778086,0.6,0.9
778087,0.4,0.4
778088,0.6,0.2
778089,0.4,0.3
778090,0.6,0.5
778091,0.4,0.5
778092,0.6,0.4
778093,0.8,0.3
778064,0.5,0.8
778065,0.8,0.5
778066,1.1,0.2
778067,0.7,0.6
778069,0.6,0.5
778070,0.6,0.4
778071,0.7,0.5
778072,0.7,0.2
778073,0.4,0.4
778074,0.5,0.3
778075,0.6,0.5
778076,0.5,0.4
778077,0.4,0.4
778078,0.5,0.7
778048,0.5,0.5
778050,0.7,0.6
778051,0.8,0.6
778052,0.5,0.4
778053,0.5,0.6
778054,0.8,0.4
778055,0.9,0.3
778056,0.5,0.7
778057,0.6,0.3
778058,0.5,0.5
778059,0.5,0.8
778060,0.4,0.4
778061,0.6,0.4
778062,0.7,0.2
778063,0.4,0.4
778068,0.4,0.6
778036,0.4,0.8
778038,0.3,0.4
778039,0.8,0.5
778042,0.7,0.4
778043,0.2,0.8
778044,0.3,0.7
778045,0.7,0.6
778047,0.6,0.3
778049,0.3,0.6
778024,0.3,0.5
778025,0.7,0.5
778026,0.5,1.0
778027,0.2,1.0
778028,0.4,0.7
778030,0.4,0.7
778031,0.7,0.4
778032,0.5,0.5
778033,0.2,0.8
778034,0.3,0.6
778035,0.7,0.4
778037,0.3,0.4
778040,0.2,0.5
778041,0.6,0.7
778046,0.3,1.2
778009,0.7,0.6
778010,0.2,0.6
778011,0.3,0.8
778012,0.3,0.8
778013,0.4,0.5
778014,0.4,0.7
778015,0.6,0.4
778016,0.4,0.6
778017,0.7,0.3
778018,0.3,0.4
778019,0.7,0.7
778020,0.4,1.0
778021,0.2,0.5
778022,0.3,1.2
778023,0.3,0.5
777999,0.4,0.5
778000,0.7,0.6
778003,0.3,0.4
778004,0.3,0.4
778005,0.3,0.4
778006,0.3,0.5
778007,0.3,0.8
778008,0.3,0.8
778029,0.6,0.4
777984,0.5,0.7
777986,0.7,0.8
777988,0.2,0.5
777989,0.4,0.5
777990,0.2,0.3
777991,0.8,0.6
777992,0.4,1.0
777993,0.8,0.7
777994,0.1,0.7
777995,0.2,0.5
777996,0.4,0.2
777997,0.9,0.3
777998,0.5,0.3
778001,0.6,0.5
778002,0.4,0.7
777970,0.5,0.5
777972,0.3,0.7
777973,0.6,0.8
777974,0.4,1.1
777975,0.3,0.3
777976,1.1,0.7
777977,0.2,0.3
777978,0.8,0.7
777979,0.4,0.5
777980,0.3,0.5
777981,0.5,1.0
777982,0.7,0.6
777983,1.0,0.3
777985,0.3,0.2
777987,0.2,0.2
777954,0.3,0.3
777955,1.0,0.7
777956,0.4,1.1
777957,0.4,0.8
777958,0.5,0.5
777961,0.7,0.7
777962,0.3,0.5
777963,0.4,0.5
777964,0.7,1.0
777965,0.1,0.5
777966,0.5,0.7
777967,0.4,0.3
777968,0.7,0.7
777969,0.2,0.2
777971,1.0,0.2
777939,1.2,0.3
777941,0.5,0.8
777947,0.6,0.7
777948,0.4,0.1
777949,0.2,1.1
777950,0.7,0.4
777951,0.2,0.7
777952,0.6,0.5
777953,0.2,0.5
777959,0.3,0.2
777960,0.9,0.9
777926,0.4,0.7
777930,1.1,0.3
777931,0.2,0.3
777932,0.7,0.7
777934,0.2,1.1
777935,0.4,0.6
777936,0.5,0.4
777937,0.3,0.4
777940,0.2,0.9
777942,0.4,0.2
777943,0.6,0.4
777944,0.9,0.8
777945,0.5,0.5
777914,0.7,0.8
777915,0.5,0.6
777916,1.1,0.4
777917,0.4,0.4
777918,0.1,1.1
777919,0.7,0.2
777920,0.2,0.3
777921,0.6,0.4
777922,0.1,0.4
777923,0.4,0.6
777924,0.4,0.3
777925,0.7,0.8
777927,0.2,0.9
777928,0.5,0.3
777929,0.3,0.3
777933,0.1,0.3
777938,0.4,0.7
777909,0.5,0.3
777910,0.1,0.1
777911,0.4,0.6
777912,0.3,0.3
777913,0.5,0.6
777946,0.4,0.4
777891,1.0,0.4
777895,0.2,0.0
777896,0.6,0.5
777897,0.4,1.1
777898,0.7,0.5
777899,0.4,0.8
777900,0.6,0.4
777901,0.3,0.2
777902,0.2,0.7
777903,0.4,0.6
777904,0.5,0.7
777905,0.2,0.2
777906,0.5,0.1
777907,0.3,0.4
777908,1.0,0.6
777875,0.6,0.4
777879,0.8,0.4
777881,0.6,0.6
777882,0.2,0.1
777883,0.6,0.5
777884,0.3,0.8
777885,0.4,0.2
777886,0.5,0.1
777887,0.4,1.1
777888,0.3,0.8
777889,0.5,0.7
777890,0.5,0.5
777892,0.2,0.5
777893,0.9,0.6
777894,0.1,0.1
777864,0.4,0.1
777865,0.5,0.5
777866,0.4,0.9
777867,0.4,0.4
777868,0.5,0.3
777869,0.1,0.4
777870,0.4,1.2
777871,0.4,0.1
777872,0.6,0.6
777873,0.3,0.7
777874,0.3,0.3
777876,0.9,0.7
777877,0.4,0.7
777878,0.3,0.8
777880,0.1,0.1
777852,0.9,0.1
777853,0.4,1.0
777854,0.2,0.3
777855,0.3,0.4
777856,0.8,0.8
777857,0.7,0.3
777858,0.7,0.4
777859,0.1,0.3
777860,0.6,0.4
777861,0.5,0.4
777862,0.1,0.3
777863,0.5,0.4
777836,0.4,0.4
777838,0.2,0.3
777840,0.1,0.4
777841,0.8,0.6
777842,0.8,0.2
777843,0.4,1.0
777844,0.5,0.4
777845,0.4,0.5
777846,0.8,0.3
777847,0.2,0.2
777848,0.6,0.5
777849,0.3,0.1
777850,0.5,0.3
777851,0.9,0.9
777819,0.4,0.6
777823,0.6,0.3
777824,0.2,0.2
777826,0.2,0.6
777827,0.1,0.4
777828,0.2,1.1
777829,0.4,0.3
777830,0.8,0.2
777831,0.9,0.8
777832,0.5,0.5
777833,0.4,0.2
777834,0.2,0.3
777835,0.2,0.1
777837,0.2,0.4
777812,0.1,1.1
777814,0.1,0.3
777816,0.3,0.6
777817,0.8,0.3
777818,0.2,0.1
777820,0.7,0.7
