game_pk,home_pitching_qs_rate_rolling_10,away_pitching_qs_rate_rolling_10
778563,,
778564,1.0,1.0
778545,,
778546,1.0,
778547,,
778551,,
778552,,0.5
778553,,
778554,,
778555,,
778556,,
778557,,
778558,,
778559,,
778561,,
778562,,
778518,1.0,1.0
778541,1.0,1.0
778542,0.0,0.0
778543,0.0,0.3333333333333333
778544,0.6666666666666666,0.0
778548,0.0,0.0
778549,0.0,1.0
778550,0.0,1.0
778560,,
778520,0.5,0.0
778521,0.5,1.0
778528,1.0,1.0
778529,0.0,0.0
778530,1.0,1.0
778531,0.5,0.5
778532,0.5,0.25
778533,0.5,0.0
778534,1.0,0.0
778535,0.0,1.0
778536,0.5,0.5
778537,1.0,1.0
778538,1.0,0.0
778539,0.5,0.5
778540,0.0,0.0
778510,0.5,0.0
778513,0.6666666666666666,1.0
778514,0.6666666666666666,0.3333333333333333
778515,0.3333333333333333,0.4
778516,0.6666666666666666,0.3333333333333333
778517,1.0,0.5
778519,0.6666666666666666,0.6666666666666666
778522,0.5,0.5
778523,0.5,0.0
778524,1.0,1.0
778525,0.3333333333333333,0.3333333333333333
778526,0.0,0.5
778527,1.0,0.5
778496,0.75,0.0
778499,0.75,0.3333333333333333
778500,0.6,0.25
778501,1.0,0.3333333333333333
778502,0.3333333333333333,0.6666666666666666
778503,1.0,0.6666666666666666
778504,0.0,0.3333333333333333
778505,1.0,0.6666666666666666
778506,1.0,0.3333333333333333
778507,0.5,0.3333333333333333
778508,0.6666666666666666,0.75
778509,0.75,1.0
778511,0.3333333333333333,0.75
778512,0.5,0.5
778485,0.8,0.25
778486,0.6,0.0
778487,0.6666666666666666,0.2
778488,0.0,0.5
778489,0.75,0.75
778490,1.0,0.25
778491,0.6,0.25
778492,0.6666666666666666,0.25
778493,0.75,0.6
778494,0.8,0.42857142857142855
778495,0.75,0.75
778497,0.6,0.75
778498,0.5,0.6
778469,0.5,0.2
778471,0.6666666666666666,0.375
778472,0.7142857142857143,0.3333333333333333
778473,0.6,0.6
778474,0.8,0.4
778475,0.8,0.8
778476,0.8333333333333334,0.2
778477,0.2,0.4
778478,0.6666666666666666,0.4
778479,0.8,0.5
778480,0.6,0.6666666666666666
778481,0.6666666666666666,0.8
778482,0.5,0.5
778483,0.4,0.4
778484,0.5,0.4
778462,0.5,0.6666666666666666
778466,0.4,0.5
778467,0.6,0.4
778468,0.3333333333333333,0.6666666666666666
778470,0.5,0.5
778444,0.8333333333333334,0.5714285714285714
778447,0.5,0.16666666666666666
778453,0.42857142857142855,0.7142857142857143
778454,0.7142857142857143,0.6666666666666666
778455,0.5,0.42857142857142855
778456,0.5,0.5714285714285714
778457,0.5,0.42857142857142855
778458,0.3333333333333333,0.6666666666666666
778459,0.6666666666666666,0.75
778460,0.4444444444444444,0.8571428571428571
778461,0.5714285714285714,0.3333333333333333
778463,0.42857142857142855,0.5
778464,0.2857142857142857,0.5714285714285714
778465,0.8333333333333334,0.7142857142857143
778436,0.7142857142857143,0.5
778437,0.42857142857142855,0.14285714285714285
778438,0.75,0.5714285714285714
778439,0.5,0.75
778440,0.42857142857142855,0.7142857142857143
778441,0.5714285714285714,0.375
778442,0.42857142857142855,0.625
778445,0.2857142857142857,0.5714285714285714
778446,0.8571428571428571,0.625
778448,0.7142857142857143,0.7777777777777778
778449,0.5,0.2857142857142857
778450,0.5,0.875
778451,0.375,0.5
778452,0.42857142857142855,0.375
778419,0.5,0.625
778420,0.6666666666666666,0.5
778421,0.4444444444444444,0.6666666666666666
778422,0.5,0.4444444444444444
778423,0.375,0.5555555555555556
778425,0.5,0.125
778427,0.75,0.4444444444444444
778428,0.4444444444444444,0.25
778429,0.5,0.3333333333333333
778430,0.5,0.7777777777777778
778432,0.375,0.42857142857142855
778433,0.375,0.5
778434,0.75,0.8
778435,0.875,0.6666666666666666
778443,0.3333333333333333,0.375
778405,0.4,0.5555555555555556
778410,0.6666666666666666,0.6
778411,0.5,0.7
778412,0.5555555555555556,0.4444444444444444
778413,0.3,0.5
778414,0.5,0.7
778415,0.4,0.3333333333333333
778416,0.8888888888888888,0.5555555555555556
778418,0.4444444444444444,0.7
778424,0.4444444444444444,0.2222222222222222
778426,0.3,0.7
778394,0.3333333333333333,0.5
778395,0.4,0.7
778396,0.3,0.5
778397,0.7,0.7
778398,0.4,0.5
778400,0.6,0.4
778401,0.6,0.7
778402,0.1111111111111111,0.4444444444444444
778403,0.5,0.2
778404,0.2,0.8
778406,0.3333333333333333,0.6666666666666666
778407,0.9,0.6
778408,0.4,0.3
778409,0.4,0.6
778417,0.5555555555555556,0.5555555555555556
778376,0.8,0.7
778379,0.3,0.6
778380,0.3,0.5
778381,0.4,0.6
778383,0.5,0.5
778385,0.6,0.6
778386,0.3,0.8
778387,0.6,0.1
778388,0.7,0.4
778389,0.3,0.3
778390,0.8,0.6
778391,0.2,0.5
778392,0.5,0.6
778393,0.3,0.6
778399,0.5,0.6
778371,0.2,0.7
778373,0.6,0.5
778377,0.4,0.9
778378,0.3,0.5
778382,0.4,0.6
778384,0.3,0.6
778356,0.6,0.5
778358,0.4,0.8
778360,0.4,0.6
778361,0.6,0.2
778363,0.6,0.7
778364,0.4,0.7
778365,0.3,0.7
778366,0.4,0.4
778367,0.3,0.4
778368,0.4,0.6
778369,0.6,0.5
778370,0.2,0.7
778374,0.7,0.3
778375,0.4,0.7
778341,0.4,0.5
778345,0.6,0.6
778346,0.3,0.7
778347,0.3,0.8
778348,0.6,0.7
778349,0.4,0.4
778350,0.4,0.8
778351,0.4,0.5
778352,0.6,0.2
778353,0.4,0.3
778354,0.5,0.5
778355,0.1,0.6
778357,0.7,0.3
778359,0.4,0.6
778362,0.5,0.9
778329,0.4,0.5
778330,0.6,0.3
778331,0.5,0.6
778332,0.3,0.7
778333,0.4,0.8
778334,0.5,0.5
778335,0.6,0.8
778336,0.3,0.8
778337,0.4,0.5
778338,0.4,0.4
778339,0.2,0.5
778340,0.3,0.3
778342,0.5,0.6
778343,0.7,0.3
778344,0.4,0.9
778315,0.6,0.7
778320,0.7,0.4
778321,0.3,0.4
778322,0.8,0.3
778323,0.7,0.7
778324,0.6,0.8
778325,0.4,0.4
778326,0.4,0.3
778327,0.2,0.6
778328,0.3,0.5
778302,0.4,0.2
778305,0.6,0.6
778306,0.5,0.5
778307,0.6,0.8
778308,0.5,0.4
778309,0.5,0.4
778310,0.6,0.7
778311,0.7,0.2
778312,0.3,0.5
778313,0.6,0.3
778314,0.3,0.3
778316,0.7,0.6
778317,0.4,0.5
778318,0.4,0.3
778319,0.4,0.5
778287,0.4,0.2
778288,0.6,0.6
778289,0.5,0.6
778290,0.6,0.4
778293,0.4,0.4
778294,0.5,0.5
778295,0.6,0.8
778296,0.5,0.3
778297,0.8,0.2
778298,0.4,0.5
778299,0.6,0.7
778300,0.4,0.5
778301,0.3,0.6
778303,0.3,0.3
778304,0.6,0.5
778278,0.7,0.7
778279,0.4,0.2
778280,0.5,0.3
778281,0.5,0.7
778282,0.5,0.5
778283,0.6,0.5
778285,0.5,0.6
778286,0.7,0.4
778291,0.3,0.4
778292,0.4,0.6
778260,0.6,0.2
778261,0.7,0.6
778263,0.6,0.3
778268,0.5,0.5
778269,0.5,0.7
778270,0.7,0.7
778271,0.6,0.6
778272,0.4,0.6
778273,0.8,0.6
778274,0.5,0.3
778275,0.6,0.6
778276,0.5,0.5
778277,0.7,0.3
778284,0.2,0.7
778243,0.6,0.2
778247,0.2,0.4
778251,0.6,0.4
778252,0.6,0.2
778253,0.7,0.7
778254,0.6,0.6
778255,0.5,0.7
778256,0.6,0.7
