game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
776436,2025-09-06,661563,605135,Luis Gil,Chris Bassitt,New York Yankees,Toronto Blue Jays,6.0,5.0,3,3,1,2,1,0,4,3,1,3,0,0,0,0,0,0,90,80,56,44,0,0,1,0,0,0,24,22,3,7,13,6,1,0,0,1,0,0,0,0,0,0
776440,2025-09-06,571510,695418,Matthew Boyd,Brad Lord,Chicago Cubs,Washington Nationals,7.0,5.6667,7,2,2,1,2,1,0,4,3,7,1,0,0,0,0,0,87,90,56,53,1,0,0,0,0,0,26,21,8,4,7,4,0,1,1,0,0,0,0,0,0,0
776433,2025-09-06,645261,666200,Sandy Alcantara,Jesús Luzardo,Miami Marlins,Philadelphia Phillies,6.0,6.0,7,5,4,2,4,2,1,4,4,8,1,0,0,0,0,0,102,100,69,62,1,0,0,0,0,0,26,26,5,3,8,6,0,1,1,0,0,0,0,0,0,0
776435,2025-09-06,669373,527048,Tarik Skubal,Martín Pérez,Detroit Tigers,Chicago White Sox,7.0,4.0,2,5,0,6,0,6,1,3,6,0,0,2,0,0,0,0,90,89,63,48,0,0,0,0,0,0,23,21,8,3,6,10,1,0,0,1,0,0,0,0,0,0
776439,2025-09-06,663903,804636,Brady Singer,Jonah Tong,Cincinnati Reds,New York Mets,6.0,6.0,4,3,1,4,1,4,4,4,5,6,0,3,0,0,0,0,99,96,58,57,1,0,0,0,0,0,25,23,8,5,3,5,1,0,0,1,0,0,0,0,0,0
776441,2025-09-06,656605,605540,Mitch Keller,Brandon Woodruff,Pittsburgh Pirates,Milwaukee Brewers,6.3333,6.0,5,2,2,0,2,0,0,0,4,8,1,0,0,0,0,0,92,85,59,61,1,0,0,0,0,0,24,20,12,3,2,7,0,1,1,0,0,0,0,0,0,0
776443,2025-09-06,669432,808967,Trevor Rogers,Yoshinobu Yamamoto,Baltimore Orioles,Los Angeles Dodgers,5.3333,8.6667,8,1,2,1,2,1,1,2,6,10,0,1,0,0,0,0,96,112,71,70,0,0,0,1,0,0,24,28,7,8,2,7,0,0,0,0,0,0,0,0,0,0
776438,2025-09-06,669358,676440,Shane Baz,Tanner Bibee,Tampa Bay Rays,Cleveland Guardians,5.0,6.6667,5,5,2,2,2,2,1,1,8,3,0,1,0,0,0,0,82,92,55,60,1,0,0,0,0,0,22,24,3,8,4,7,0,0,0,0,0,0,0,0,0,0
776437,2025-09-06,669467,434378,Andre Pallante,Justin Verlander,St. Louis Cardinals,San Francisco Giants,6.0,6.0,5,3,2,0,2,0,1,0,3,6,0,0,0,0,0,0,89,88,56,65,2,1,2,0,0,0,24,22,10,6,3,6,0,0,0,0,0,0,0,0,0,0
776432,2025-09-06,594798,686613,Jacob deGrom,Hunter Brown,Texas Rangers,Houston Astros,5.3333,6.0,5,4,3,0,3,0,2,3,8,8,2,0,0,0,0,0,97,107,62,69,0,0,1,0,0,0,24,25,3,5,6,5,0,1,1,0,0,0,0,0,0,0
776434,2025-09-06,663568,657746,Stephen Kolek,Joe Ryan,Kansas City Royals,Minnesota Twins,7.0,2.0,6,4,2,5,2,5,1,4,4,2,0,1,0,0,0,0,95,62,64,33,0,0,0,0,0,0,28,14,6,1,11,3,1,0,0,1,0,0,0,0,0,0
776447,2025-09-06,694462,682243,Hurston Waldrep,Bryce Miller,Atlanta Braves,Seattle Mariners,5.0,5.3333,2,5,2,2,2,2,5,2,5,3,1,1,0,0,0,0,91,92,50,55,1,0,0,0,0,0,22,24,6,5,3,9,0,0,0,0,0,0,0,0,0,0
776424,2025-09-06,694297,608337,Brandon Pfaadt,Lucas Giolito,Arizona Diamondbacks,Boston Red Sox,6.0,5.0,6,7,1,4,1,2,0,3,7,2,0,0,0,0,0,0,96,94,65,53,0,0,0,0,0,0,24,24,8,5,3,7,1,0,0,1,0,0,0,0,0,0
776431,2025-09-06,685326,681190,McCade Brown,Randy Vásquez,Colorado Rockies,San Diego Padres,1.6667,6.0,5,8,6,3,6,2,1,0,1,3,1,1,0,0,0,0,44,77,30,60,2,0,0,0,0,0,13,25,3,7,1,7,0,1,1,0,0,0,0,0,0,0
776430,2025-09-06,579328,669372,Yusei Kikuchi,J.T. Ginn,Los Angeles Angels,Athletics,2.0,5.0,6,5,7,1,7,1,3,0,1,5,1,0,0,0,0,0,61,91,32,55,1,0,0,0,0,0,16,20,2,8,3,2,0,1,1,0,0,0,0,0,0,0
