balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
1119446,778134,2025-04-30,113,138,CIN,STL,Cincinnati Reds,St. Louis Cardinals,Reds,Cardinals,0,0,regular,regular,2025,2025,31,32,30,31,0,6,3,7,0,0,0,0,0,4,0,6,3,19,2,7,6,5,2,2,0.25,0.262,0.329,0.336,0.398,0.403,0.727,0.739,0,1,1,0,3.46,4.19,9.0,9.0,7,3,6,0,4,0,7,2,5,6,0.225,0.1,1.1,1.23,0,0,2025-04-30
12313,778119,2025-04-30,113,138,CIN,STL,Cincinnati Reds,St. Louis Cardinals,Reds,Cardinals,0,0,regular,regular,2025,2025,32,33,34,36,1,9,7,8,1,2,0,0,0,2,1,9,8,16,0,2,11,7,1,0,0.248,0.26,0.326,0.333,0.393,0.405,0.719,0.738,0,1,1,0,3.64,4.08,9.0,9.0,8,7,9,1,2,0,2,0,7,11,0.222,0.205,1.1,1.22,0,0,2025-04-30
12315,778110,2025-04-30,117,116,HOU,DET,Houston Astros,Detroit Tigers,Astros,Tigers,0,0,regular,regular,2025,2025,30,32,36,36,4,7,9,11,1,0,0,0,2,2,4,7,16,17,7,1,10,7,0,0,0.236,0.245,0.31,0.326,0.357,0.397,0.667,0.723,0,1,1,0,3.23,3.01,9.0,9.0,11,9,2,4,2,2,1,7,7,10,0.305,0.25,1.08,1.16,2,1,2025-04-30
12318,778102,2025-04-30,115,144,COL,ATL,Colorado Rockies,Atlanta Braves,Rockies,Braves,0,0,regular,regular,2025,2025,32,31,28,30,2,1,5,3,2,0,0,0,1,0,2,1,10,3,0,3,12,8,0,1,0.211,0.245,0.282,0.32,0.35,0.396,0.632,0.716,1,0,0,1,5.3,4.22,9.0,8.0,3,5,1,2,0,1,3,0,8,12,0.1,0.178,1.58,1.29,0,0,2025-04-30
12320,778109,2025-04-30,119,146,LAD,MIA,Los Angeles Dodgers,Miami Marlins,Dodgers,Marlins,0,0,regular,regular,2025,2025,31,31,40,36,12,7,17,9,2,2,3,0,2,2,11,7,31,17,5,2,7,12,3,0,0.258,0.255,0.337,0.317,0.462,0.388,0.799,0.705,1,0,0,1,3.86,5.89,9.0,8.0,9,17,7,12,2,2,2,5,12,7,0.25,0.425,1.28,1.59,0,1,2025-04-30
12319,778104,2025-04-30,136,108,SEA,LAA,Seattle Mariners,Los Angeles Angels,Mariners,Angels,0,0,regular,regular,2025,2025,30,29,36,36,9,3,12,10,1,0,0,0,1,1,8,3,16,13,3,3,6,4,2,1,0.241,0.214,0.339,0.271,0.415,0.388,0.754,0.659,1,0,0,1,3.74,4.91,9.0,8.0,10,12,3,8,1,1,3,3,4,6,0.277,0.333,1.31,1.48,1,2,2025-04-30
12321,778105,2025-04-30,135,137,SD,SF,San Diego Padres,San Francisco Giants,Padres,Giants,0,0,regular,regular,2025,2025,30,31,32,31,5,3,10,5,0,0,1,0,1,2,5,3,15,11,4,3,6,12,0,1,0.259,0.227,0.327,0.307,0.391,0.376,0.718,0.683,1,0,0,1,2.86,3.56,9.0,8.0,5,10,3,5,2,1,3,4,12,6,0.161,0.312,1.12,1.26,0,0,2025-04-30
12311,778116,2025-04-30,114,142,CLE,MIN,Cleveland Guardians,Minnesota Twins,Guardians,Twins,0,0,regular,regular,2025,2025,31,31,29,32,4,2,5,6,2,0,0,0,1,1,3,1,10,9,1,2,10,13,3,1,0.234,0.232,0.301,0.306,0.382,0.367,0.683,0.673,1,0,0,1,4.4,3.54,9.0,8.0,6,5,2,4,1,1,2,1,13,10,0.187,0.172,1.42,1.19,1,1,2025-04-30
12312,778115,2025-04-30,110,147,BAL,NYY,Baltimore Orioles,New York Yankees,Orioles,Yankees,0,0,regular,regular,2025,2025,32,32,34,33,5,4,10,7,0,0,0,0,2,2,5,4,16,13,3,5,12,8,2,0,0.223,0.267,0.296,0.351,0.382,0.478,0.678,0.829,1,0,0,1,5.47,3.72,9.0,8.0,7,10,4,5,2,2,5,3,8,12,0.212,0.294,1.58,1.2,1,1,2025-04-30
12309,778112,2025-04-30,134,112,PIT,CHC,Pittsburgh Pirates,Chicago Cubs,Pirates,Cubs,0,0,regular,regular,2025,2025,31,31,30,35,4,3,9,9,4,1,0,0,0,0,4,2,13,10,4,1,10,8,0,0,0.226,0.263,0.305,0.341,0.34,0.451,0.645,0.792,1,0,0,1,4.11,4.05,9.0,8.0,9,9,3,2,0,0,1,4,8,10,0.257,0.3,1.24,1.36,0,1,2025-04-30
12314,778118,2025-04-30,143,120,PHI,WSH,Philadelphia Phillies,Washington Nationals,Phillies,Nationals,0,0,regular,regular,2025,2025,30,32,34,31,7,2,10,5,1,1,0,0,3,0,7,2,20,6,3,3,2,12,2,0,0.251,0.24,0.336,0.306,0.385,0.389,0.721,0.695,1,0,0,1,4.0,5.27,9.0,8.0,5,10,2,7,0,3,3,3,12,2,0.161,0.294,1.3,1.43,0,1,2025-04-30
12310,778113,2025-04-30,139,118,TB,KC,Tampa Bay Rays,Kansas City Royals,Rays,Royals,0,0,regular,regular,2025,2025,30,32,31,36,0,3,4,11,0,1,0,0,0,1,0,3,4,15,5,1,4,7,0,1,0.248,0.228,0.316,0.29,0.382,0.328,0.698,0.618,0,1,1,0,3.42,3.2,9.0,9.0,11,4,3,0,1,0,1,5,7,4,0.305,0.129,1.15,1.21,1,1,2025-04-30
12308,778114,2025-04-30,141,111,TOR,BOS,Toronto Blue Jays,Boston Red Sox,Blue Jays,Red Sox,0,0,regular,regular,2025,2025,32,34,38,35,7,6,10,7,0,2,0,0,3,2,7,5,19,15,4,5,8,11,0,2,0.237,0.251,0.309,0.333,0.347,0.423,0.656,0.756,1,0,0,1,4.31,4.03,10.0,9.3333,7,10,6,6,2,3,5,4,11,8,0.2,0.263,1.25,1.31,1,0,2025-04-30
12307,778117,2025-04-30,121,109,NYM,AZ,New York Mets,Arizona Diamondbacks,Mets,D-backs,0,0,regular,regular,2025,2025,31,30,33,33,3,4,7,8,1,3,0,0,2,0,3,4,14,11,9,2,6,9,1,2,0.246,0.244,0.325,0.33,0.416,0.437,0.741,0.767,0,1,1,0,2.64,4.47,9.0,9.0,8,7,4,3,0,2,2,9,9,6,0.242,0.212,1.21,1.29,0,0,2025-04-30
12316,778111,2025-04-30,145,158,CWS,MIL,Chicago White Sox,Milwaukee Brewers,White Sox,Brewers,0,0,regular,regular,2025,2025,30,31,33,32,4,6,10,8,0,3,0,0,0,0,4,5,10,11,5,5,8,9,1,0,0.211,0.249,0.289,0.328,0.325,0.375,0.614,0.703,0,1,1,0,4.19,4.08,9.0,9.0,8,10,4,4,0,0,5,5,9,8,0.25,0.303,1.38,1.34,3,1,2025-04-30
12317,778106,2025-04-30,140,133,TEX,ATH,Texas Rangers,Athletics,Rangers,Athletics,0,0,regular,regular,2025,2025,31,31,35,36,1,7,9,11,0,1,0,0,0,2,1,7,9,18,3,2,9,10,0,0,0.233,0.254,0.289,0.312,0.375,0.425,0.664,0.737,0,1,1,0,3.27,4.6,9.0,9.0,11,9,7,1,2,0,2,3,10,9,0.305,0.257,1.13,1.48,0,0,2025-04-30
1119446,778134,2025-04-30,113,138,CIN,STL,Cincinnati Reds,St. Louis Cardinals,Reds,Cardinals,0,0,regular,regular,2025,2025,30,31,30,31,0,6,3,7,0,0,0,0,0,4,0,6,3,19,2,7,6,5,2,2,0.25,0.262,0.329,0.336,0.398,0.403,0.727,0.739,0,1,1,0,3.46,4.19,9.0,9.0,7,3,6,0,4,0,7,2,5,6,0.225,0.1,1.1,1.23,0,0,2025-04-30
