game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
778458,2025-04-04,3.3333,4,3,2,4,0,8.1,1.8,10.8,2.0,0.0,5.4,4.3333,7,4,2,6,2,8.31,2.08,12.46,3.0,4.15,4.15
778463,2025-04-04,4.0,7,3,1,5,0,6.75,2.0,11.25,5.0,0.0,2.25,5.0,11,7,4,2,0,12.6,3.0,3.6,0.5,0.0,7.2
778460,2025-04-04,1.6667,2,0,1,2,0,0.0,1.8,10.8,2.0,0.0,5.4,3.3333,1,0,2,3,0,0.0,0.9,8.1,1.5,0.0,5.4
778465,2025-04-04,3.6667,2,0,0,6,0,0.0,0.55,14.73,0.0,0.0,0.0,2.6667,2,2,2,1,0,6.75,1.5,3.37,0.5,0.0,6.75
778456,2025-04-04,6.0,3,2,2,3,0,3.0,0.83,4.5,1.5,0.0,3.0,6.0,5,1,4,9,0,1.5,1.5,13.5,2.25,0.0,6.0
778461,2025-04-04,5.3333,5,2,2,7,1,3.38,1.31,11.81,3.5,1.69,3.38,3.3333,3,3,2,5,1,8.1,1.5,13.5,2.5,2.7,5.4
778444,2025-04-04,8.6667,10,2,5,6,1,2.08,1.73,6.23,1.2,1.04,5.19,7.6667,11,6,4,10,1,7.04,1.96,11.74,2.5,1.17,4.7
778457,2025-04-04,4.0,4,2,1,3,0,4.5,1.25,6.75,3.0,0.0,2.25,3.0,2,0,0,2,0,0.0,0.67,6.0,0.0,0.0,0.0
778459,2025-04-04,2.0,3,2,2,3,1,9.0,2.5,13.5,1.5,4.5,9.0,2.0,2,2,2,2,0,9.0,2.0,9.0,1.0,0.0,9.0
778464,2025-04-04,1.0,2,0,0,2,0,0.0,2.0,18.0,0.0,0.0,0.0,2.0,8,7,1,1,2,31.5,4.5,4.5,1.0,9.0,4.5
778455,2025-04-04,3.0,1,0,1,3,0,0.0,0.67,9.0,3.0,0.0,3.0,3.6667,3,5,2,4,0,12.27,1.36,9.82,2.0,0.0,4.91
778454,2025-04-04,4.0,5,2,0,6,0,4.5,1.25,13.5,0.0,0.0,0.0,1.0,0,0,0,1,0,0.0,0.0,9.0,0.0,0.0,0.0
778453,2025-04-04,3.3333,5,0,0,1,0,0.0,1.5,2.7,0.0,0.0,0.0,3.3333,0,0,2,3,0,0.0,0.6,8.1,1.5,0.0,5.4
778447,2025-04-04,3.6667,5,3,3,2,1,7.36,2.18,4.91,0.67,2.45,7.36,6.0,7,2,1,9,1,3.0,1.33,13.5,9.0,1.5,1.5
