game_pk,date,home_bullpen_ip,away_bullpen_ip,home_bullpen_hits,away_bullpen_hits,home_bullpen_earned_runs,away_bullpen_earned_runs,home_bullpen_walks,away_bullpen_walks,home_bullpen_strikeouts,away_bullpen_strikeouts,home_bullpen_homeruns,away_bullpen_homeruns,home_bullpen_era,away_bullpen_era,home_bullpen_whip,away_bullpen_whip,home_bullpen_k_per_9,away_bullpen_k_per_9,home_bullpen_k_bb_ratio,away_bullpen_k_bb_ratio,home_bullpen_hr_per_9,away_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_bb_per_9
777739,2025-05-28,5.0,3.0,3,9,2,6,2,2,4,6,0,1,3.6,18.0,1.0,3.67,7.2,18.0,2.0,3.0,0.0,3.0,3.6,6.0
777738,2025-05-28,4.8,4.0,3,2,0,0,1,0,4,9,0,0,0.0,0.0,0.83,0.5,7.5,20.25,4.0,0.0,0.0,0.0,1.88,0.0
777732,2025-05-28,3.0,3.0,5,1,0,1,0,1,2,4,0,0,0.0,3.0,1.67,0.67,6.0,12.0,0.0,4.0,0.0,0.0,0.0,3.0
777737,2025-05-28,6.0,5.8,8,3,4,1,2,3,3,9,1,0,6.0,1.55,1.67,1.03,4.5,13.97,1.5,3.0,1.5,0.0,3.0,4.66
777736,2025-05-28,5.0,4.9,3,5,1,2,2,3,7,3,1,0,1.8,3.67,1.0,1.63,12.6,5.51,3.5,1.0,1.8,0.0,3.6,5.51
777734,2025-05-28,3.0,2.0,1,4,0,3,2,2,6,1,0,1,0.0,13.5,1.0,3.0,18.0,4.5,3.0,0.5,0.0,4.5,6.0,9.0
777729,2025-05-28,4.0,2.8,5,2,4,1,0,1,6,4,1,1,9.0,3.21,1.25,1.07,13.5,12.86,0.0,4.0,2.25,3.21,0.0,3.21
777726,2025-05-28,4.8,5.0,7,2,2,2,1,1,4,3,1,1,3.75,3.6,1.67,0.6,7.5,5.4,4.0,3.0,1.88,1.8,1.88,1.8
777740,2025-05-28,4.8,5.0,4,3,1,0,2,2,7,6,0,0,1.88,0.0,1.25,1.0,13.12,10.8,3.5,3.0,0.0,0.0,3.75,3.6
777733,2025-05-28,2.9,3.0,3,1,1,1,0,3,3,2,0,0,3.1,3.0,1.03,1.33,9.31,6.0,0.0,0.67,0.0,0.0,0.0,9.0
777731,2025-05-28,3.0,3.8,2,0,0,0,0,3,3,2,0,0,0.0,0.0,0.67,0.79,9.0,4.74,0.0,0.67,0.0,0.0,0.0,7.11
777724,2025-05-28,3.0,6.8,4,0,2,0,0,3,4,9,1,0,6.0,0.0,1.33,0.44,12.0,11.91,0.0,3.0,3.0,0.0,0.0,3.97
777728,2025-05-28,4.0,3.0,3,1,0,0,0,1,9,4,0,0,0.0,0.0,0.75,0.67,20.25,12.0,0.0,4.0,0.0,0.0,0.0,3.0
777730,2025-05-28,4.0,3.0,5,2,3,0,2,0,2,2,1,0,6.75,0.0,1.75,0.67,4.5,6.0,1.0,0.0,2.25,0.0,4.5,0.0
