game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
778563,2025-03-18,5.0,7,3,4,7,0,5.4,2.2,12.6,1.75,0.0,7.2,4.0,0,0,0,5,0,0.0,0.0,11.25,0.0,0.0,0.0
778564,2025-03-19,5.0,2,1,6,4,1,1.8,1.6,7.2,0.67,1.8,10.8,6.0,7,2,2,9,0,3.0,1.5,13.5,4.5,0.0,3.0
778557,2025-03-27,3.6667,3,1,2,6,0,2.45,1.36,14.73,3.0,0.0,4.91,3.0,3,2,3,2,0,6.0,2.0,6.0,0.67,0.0,9.0
778556,2025-03-27,4.0,5,6,3,3,3,13.5,2.0,6.75,1.0,6.75,6.75,3.0,2,0,4,1,0,0.0,2.0,3.0,0.25,0.0,12.0
778553,2025-03-27,3.0,3,3,3,4,1,9.0,2.0,12.0,1.33,3.0,9.0,4.0,2,0,0,3,0,0.0,0.5,6.75,0.0,0.0,0.0
778555,2025-03-27,4.0,7,6,6,6,2,13.5,3.25,13.5,1.0,4.5,13.5,4.0,3,2,1,5,0,4.5,1.0,11.25,5.0,0.0,2.25
778558,2025-03-27,5.0,5,3,1,2,1,5.4,1.2,3.6,2.0,1.8,1.8,5.0,3,1,1,7,0,1.8,0.8,12.6,7.0,0.0,1.8
778559,2025-03-27,2.0,2,1,4,3,0,4.5,3.0,13.5,0.75,0.0,18.0,3.3333,2,0,1,3,0,0.0,0.9,8.1,3.0,0.0,2.7
778561,2025-03-27,4.0,3,4,1,9,1,9.0,1.0,20.25,9.0,2.25,2.25,4.0,2,1,1,3,0,2.25,0.75,6.75,3.0,0.0,2.25
778545,2025-03-27,6.3333,3,1,2,7,1,1.42,0.79,9.95,3.5,1.42,2.84,3.0,4,4,1,2,1,12.0,1.67,6.0,2.0,3.0,3.0
778554,2025-03-27,3.0,2,1,2,7,1,3.0,1.33,21.0,3.5,3.0,6.0,2.0,4,5,2,1,2,22.5,3.0,4.5,0.5,9.0,9.0
