game_pk,date,venue,away_team,home_team,away_runs,away_hits,away_doubles,away_triples,away_homeruns,away_rbi,away_walks,away_strikeouts,away_stolen_bases,away_caught_stealing,away_hit_by_pitch,away_at_bats,away_obp,away_slg,away_ops,away_avg,away_left_on_base,away_sac_bunts,away_sac_flies,away_ground_into_dp,away_total_bases,home_runs,home_hits,home_doubles,home_triples,home_homeruns,home_rbi,home_walks,home_strikeouts,home_stolen_bases,home_caught_stealing,home_hit_by_pitch,home_at_bats,home_obp,home_slg,home_ops,home_avg,home_left_on_base,home_sac_bunts,home_sac_flies,home_ground_into_dp,home_total_bases,away_innings_pitched,away_earned_runs,away_pitcher_strikeouts,away_pitcher_walks,away_pitcher_hits,away_pitcher_homeruns,away_pitcher_era,away_pitcher_whip,away_hit_batters,away_wild_pitches,away_balks,away_pitches_thrown,away_strikes,home_innings_pitched,home_earned_runs,home_pitcher_strikeouts,home_pitcher_walks,home_pitcher_hits,home_pitcher_homeruns,home_pitcher_era,home_pitcher_whip,home_hit_batters,home_wild_pitches,home_balks,home_pitches_thrown,home_strikes,away_errors,away_putouts,away_assists,away_chances,away_passed_balls,away_double_plays,home_errors,home_putouts,home_assists,home_chances,home_passed_balls,home_double_plays
778563,2025-03-18,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,4,7,2,0,0,3,8,9,0,0,0,34,.357,.265,.622,.206,23,0,0,0,9,1,3,1,0,0,1,1,9,1,0,1,30,.156,.133,.289,.100,10,0,0,0,4,9.0,1,9,1,3,0,1.00,0.44,1,0,0,121,80,9.0,3,9,8,7,0,3.00,1.67,0,0,0,185,116,0,0,8,35,0,0,2,0,9,38,0,0
778564,2025-03-19,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,6,7,3,0,3,5,7,9,0,0,0,30,.363,.438,.801,.219,10,0,1,3,19,3,8,2,0,0,3,7,12,2,0,0,34,.274,.219,.493,.172,17,0,0,0,10,9.0,3,12,7,8,0,2.00,1.06,0,0,0,174,102,9.0,6,9,7,7,3,4.50,1.61,0,0,0,145,83,0,0,4,31,0,0,0,0,12,39,1,0
778557,2025-03-27,Yankee Stadium,Milwaukee Brewers,New York Yankees,2,7,1,0,1,2,4,13,1,0,0,33,.289,.333,.622,.212,18,0,1,0,11,4,7,1,0,2,4,4,10,0,1,0,29,.324,.483,.807,.241,15,0,1,0,14,8.0,4,10,4,7,2,4.50,1.38,0,0,0,156,94,9.0,2,13,4,7,1,2.00,1.22,0,0,0,175,113,1,0,4,29,1,0,0,0,10,37,0,0
778556,2025-03-27,Rogers Centre,Baltimore Orioles,Toronto Blue Jays,12,14,1,0,6,12,5,8,0,1,1,39,.444,.846,1.290,.359,17,0,0,0,33,2,4,0,0,1,2,5,3,0,0,0,28,.273,.250,.523,.143,9,0,0,2,7,9.0,2,3,5,4,1,2.00,1.00,0,1,0,129,76,9.0,12,8,5,14,6,12.00,2.11,1,0,0,193,121,0,0,10,37,0,0,0,0,4,31,0,0
778553,2025-03-27,Globe Life Field,Boston Red Sox,Texas Rangers,5,6,0,0,2,5,3,13,2,0,0,33,.250,.364,.614,.182,7,0,0,0,12,2,7,1,0,0,2,2,7,0,0,0,33,.257,.242,.499,.212,12,0,0,1,8,9.0,2,7,2,7,0,2.00,1.00,0,0,0,135,92,9.0,5,13,3,6,2,5.00,1.00,0,0,1,153,103,0,0,9,36,0,0,0,0,6,33,0,0
778555,2025-03-27,Nationals Park,Philadelphia Phillies,Washington Nationals,7,8,2,1,2,6,6,19,1,1,0,37,.326,.486,.812,.216,16,0,0,0,18,3,5,1,0,1,3,3,13,3,1,1,33,.243,.273,.516,.152,16,0,0,1,9,10.0,3,13,3,5,1,2.70,0.80,1,0,0,171,111,10.0,6,19,6,8,2,5.40,1.40,0,1,0,193,123,0,0,13,43,0,0,0,0,5,35,0,0
778558,2025-03-27,Kauffman Stadium,Cleveland Guardians,Kansas City Royals,7,10,3,1,1,7,3,5,0,0,0,36,.317,.500,.817,.278,13,1,2,1,18,4,7,2,0,1,4,1,10,2,0,0,35,.216,.343,.559,.200,12,1,1,0,12,10.0,4,10,1,7,1,3.60,0.80,0,0,0,142,102,10.0,6,5,3,10,1,5.40,1.30,0,0,0,152,103,0,0,6,36,0,0,0,0,15,45,0,0
778559,2025-03-27,Daikin Park,New York Mets,Houston Astros,1,6,1,0,0,1,6,7,0,0,1,30,.342,.233,.575,.200,22,0,1,1,7,3,7,0,0,0,2,5,7,0,0,1,29,.371,.241,.612,.241,16,1,0,1,7,8.0,2,7,5,7,0,2.25,1.50,1,0,0,137,85,9.0,1,7,6,6,0,1.00,1.33,1,1,0,150,92,1,0,10,35,0,0,0,0,11,38,0,0
778561,2025-03-27,Great American Ball Park,San Francisco Giants,Cincinnati Reds,6,6,0,0,2,6,2,17,0,0,0,33,.229,.364,.593,.182,7,0,0,0,12,4,8,1,0,0,4,4,8,0,0,1,33,.342,.273,.615,.242,10,0,0,1,9,9.0,4,8,4,8,0,4.00,1.33,1,0,0,135,82,9.0,6,17,2,6,2,6.00,0.89,0,1,0,158,107,0,0,10,37,0,0,0,0,0,27,0,0
778545,2025-03-27,Petco Park,Atlanta Braves,San Diego Padres,4,7,0,0,2,4,6,10,0,0,0,35,.317,.371,.688,.200,18,0,0,0,13,7,10,2,0,1,7,2,9,5,0,0,31,.343,.484,.827,.323,10,1,2,0,15,8.0,7,9,2,10,1,7.88,1.50,0,1,0,139,93,9.0,4,10,6,7,2,4.00,1.44,0,2,0,195,119,0,0,8,32,0,0,1,0,6,34,0,0
