fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
PHI,NYY,-1.5,1.5,0.439,0.575,+128,-135,0,2025-07-26T13:05:00-04:00,NYY +1.5,2025-07-26T16:50:09.659+00:00
CIN,TB,-1.5,1.5,0.38,0.654,+163,-189,1,2025-07-26T18:40:00-04:00,CIN -1.5,2025-07-26T16:20:55.484+00:00
ARI,PIT,-1.5,1.5,0.442,0.582,+126,-139,0,2025-07-26T18:40:00-04:00,PIT +1.5,2025-07-26T16:49:58.176+00:00
KAN,CLE,-1.5,1.5,0.356,0.668,+181,-201,1,2025-07-26T14:40:00-04:00,KAN -1.5,2025-07-26T16:49:58.176+00:00
TEX,ATL,-1.5,1.5,0.346,0.667,+189,-200,1,2025-07-26T19:05:00-04:00,TEX -1.5,2025-07-26T16:47:25.144+00:00
CHC,CWS,-1.5,1.5,0.526,0.5,-111,+100,0,2025-07-26T19:10:00-04:00,CWS +1.5,2025-07-26T16:43:26.18+00:00
DET,TOR,-1.5,1.5,0.432,0.585,+131,-141,1,2025-07-26T18:10:00-04:00,DET -1.5,2025-07-26T16:49:12.657+00:00
BAL,COL,-1.5,1.5,0.564,0.465,-129,+115,1,2025-07-26T19:05:00-04:00,BAL -1.5,2025-07-26T16:47:27.613+00:00
HOU,OAK,-1.5,1.5,0.451,0.578,+122,-137,1,2025-07-26T19:10:00-04:00,HOU -1.5,2025-07-26T16:44:17.381+00:00
MIL,MIA,-1.5,1.5,0.427,0.598,+134,-149,1,2025-07-26T19:10:00-04:00,MIL -1.5,2025-07-26T16:40:15.871+00:00
BOS,LAD,-1.5,1.5,0.394,0.641,+154,-179,1,2025-07-26T19:15:00-04:00,BOS -1.5,2025-07-26T16:15:29.053+00:00
MIN,WAS,-1.5,1.5,0.533,0.49,-114,+104,1,2025-07-26T19:10:00-04:00,MIN -1.5,2025-07-26T16:44:17.381+00:00
STL,SD,-1.5,1.5,0.412,0.62,+143,-163,0,2025-07-26T19:15:00-04:00,STL -1.5,2025-07-26T16:35:21.151+00:00
SEA,LAA,-1.5,1.5,0.449,0.58,+123,-138,0,2025-07-26T21:38:00-04:00,LAA +1.5,2025-07-26T16:41:15.852+00:00
SF,NYM,-1.5,1.5,0.327,0.684,+206,-216,0,2025-07-26T21:05:00-04:00,SF -1.5,2025-07-26T16:43:38.946+00:00
