balldontlie_id,mlb_id,full_name,status
3224,571510,Matthew Boyd,success
958,687134,Bradley Blalock,success
5349,676083,Janson Junk,success
418,669923,George Kirby,success
850,669358,Shane Baz,success
603,607481,Aaron Bummer,success
708,676440,Tanner Bibee,success
78,593423,Frankie Montas,success
558,681347,Mike Burrows,success
1017,594798,Jacob deGrom,success
11933,829272,Shinnosuke Ogasawara,success
24,668678,Zac Gallen,success
208,660271,Shohei Ohtani,success
473,554430,Zack Wheeler,success
741,592332,Kevin Gausman,success
5439,608331,Max Fried,success
67,663903,Brady Singer,success
743,669432,Trevor Rogers,success
159,663554,Casey Mize,success
555,676979,Garrett Crochet,success
172,607200,Erick Fedde,success
534,680732,Sean Burke,success
119,672582,Angel Zerpa,success
843,663485,Cole Sands,success
481,664285,Framber Valdez,success
3198,605540,Brandon Woodruff,success
1727,579328,Yusei Kikuchi,success
928,694738,Landen Roupp,success
242,506433,Yu Darvish,success
949,682052,Jacob Lopez,success
