Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,40,22,0.645,L 1,5.0,3.5,1.5,-0.1,1.4,41-21,-1.0,10-2,12-7,7-6,11-7,21-8,19-14,2-3,11-6,29-18,11-4,23-18,17-4,7-3,13-7,20-10
2.0,Chicago Cubs,38,22,0.633,W 3,5.8,4.1,1.7,-0.1,1.6,39-21,-1.0,7-6,8-4,15-11,8-1,20-11,18-11,3-3,9-4,29-15,9-7,12-13,26-9,8-2,15-5,20-10
3.0,New York Yankees,37,22,0.627,W 2,5.5,3.8,1.7,-0.1,1.6,39-20,-2.0,7-6,6-4,10-2,14-10,19-9,18-13,1-3,11-11,29-17,8-5,23-15,14-7,7-3,15-5,20-10
4.0,New York Mets,38,23,0.623,L 1,4.4,3.3,1.1,-0.1,1.0,38-23,0.0,9-4,9-4,9-5,11-10,24-7,14-16,3-3,13-9,30-16,8-7,19-11,19-12,8-2,12-8,17-13
5.0,Philadelphia Phillies,37,23,0.617,W 1,4.8,4.4,0.5,-0.2,0.2,33-27,4.0,9-9,7-8,13-4,8-2,19-12,18-11,4-4,11-4,29-13,8-10,14-15,23-8,5-5,13-7,20-10
6.0,Los Angeles Dodgers,37,24,0.607,W 1,5.8,4.5,1.3,0.0,1.3,38-23,-1.0,14-9,5-5,7-3,11-7,22-10,15-14,5-3,9-8,29-13,8-11,13-11,24-13,5-5,10-10,16-14
7.0,San Diego Padres,35,24,0.593,W 3,4.2,3.9,0.3,-0.2,0.2,32-27,3.0,8-2,8-4,9-1,10-17,20-10,15-14,3-3,13-5,24-17,11-7,13-18,22-6,7-3,10-10,17-13
8.0,Houston Astros,33,27,0.55,W 2,4.0,3.7,0.3,0.1,0.4,32-28,1.0,6-4,8-7,10-6,9-10,22-12,11-15,2-0,10-7,29-25,4-2,23-21,10-6,7-3,13-7,17-13
9.0,St. Louis Cardinals,33,27,0.55,L 2,4.7,4.2,0.5,0.1,0.5,33-27,0.0,10-9,8-5,3-0,12-13,19-9,14-18,0-4,10-8,23-18,10-9,16-13,17-14,6-4,12-8,20-10
10.0,Minnesota Twins,33,27,0.55,W 2,4.2,3.5,0.7,-0.1,0.6,35-25,-2.0,9-3,10-12,7-4,7-8,18-8,15-19,3-4,7-9,28-23,5-4,16-21,17-6,5-5,13-7,20-10
