team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,65,47,.580,-,19,-,5-5
Boston Red Sox,Unknown,61,51,.545,4.0,73,+2.0,7-3
New York Yankees,Unknown,60,51,.541,4.5,96,+1.5,4-6
Tampa Bay Rays,Unknown,55,57,.491,10.0,49,4.0,2-8
Baltimore Orioles,Unknown,51,60,.459,13.5,-67,7.5,7-3
Detroit Tigers,Unknown,65,47,.580,-,82,-,5-5
Cleveland Guardians,Unknown,56,54,.509,8.0,-27,2.0,6-4
Kansas City Royals,Unknown,55,56,.495,9.5,-14,3.5,6-4
Minnesota Twins,Unknown,51,59,.464,13.0,-35,7.0,3-7
Chicago White Sox,Unknown,42,69,.378,22.5,-60,16.5,6-4
Houston Astros,Unknown,62,49,.559,-,44,-,3-7
Seattle Mariners,Unknown,59,53,.527,3.5,21,-,5-5
Texas Rangers,Unknown,58,54,.518,4.5,67,1.0,6-4
Los Angeles Angels,Unknown,53,58,.477,9.0,-70,5.5,4-6
Athletics,Unknown,49,64,.434,14.0,-118,10.5,7-3
New York Mets,Unknown,63,48,.568,-,48,-,6-4
Philadelphia Phillies,Unknown,62,48,.564,0.5,66,+1.5,5-5
Miami Marlins,Unknown,54,55,.495,8.0,-44,6.0,8-2
Atlanta Braves,Unknown,46,63,.422,16.0,-24,14.0,2-8
Washington Nationals,Unknown,44,66,.400,18.5,-123,16.5,4-6
Milwaukee Brewers,Unknown,66,44,.600,-,108,-,6-4
Chicago Cubs,Unknown,64,46,.582,2.0,113,+3.5,5-5
Cincinnati Reds,Unknown,58,53,.523,8.5,44,3.0,6-4
St. Louis Cardinals,Unknown,56,56,.500,11.0,-9,5.5,4-6
Pittsburgh Pirates,Unknown,47,64,.423,19.5,-55,14.0,7-3
Los Angeles Dodgers,Unknown,64,47,.577,-,68,-,5-5
San Diego Padres,Unknown,61,50,.550,3.0,32,-,6-4
San Francisco Giants,Unknown,55,56,.495,9.0,0,6.0,3-7
Arizona Diamondbacks,Unknown,52,59,.468,12.0,-11,9.0,2-8
Colorado Rockies,Unknown,30,80,.273,33.5,-273,30.5,6-4
